,SPACA7 (122258)
ACH-000004,-0.14040332492830296
ACH-000005,-0.01300951238493046
ACH-000007,-0.05399808774288749
ACH-000009,-0.24306673893792335
ACH-000011,-0.25573497504888665
ACH-000012,-0.17325732946634653
ACH-000013,-0.20443649106156944
ACH-000014,-0.127151778848702
ACH-000015,-0.14684852054625638
ACH-000017,-0.06286615653283256
ACH-000018,-0.15962574183679598
ACH-000019,-0.25962582978724114
ACH-000021,-0.2044452644856884
ACH-000022,-0.21649786197032767
ACH-000025,-0.18687501301586354
ACH-000028,-0.07613745499229344
ACH-000030,-0.2323556126003089
ACH-000035,-0.2612524220721903
ACH-000036,-0.21831878541778066
ACH-000037,-0.4117658198084849
ACH-000039,-0.3528237018927071
ACH-000040,-0.2853410342811604
ACH-000041,-0.3220560261721319
ACH-000042,-0.2553055256869949
ACH-000045,-0.06494731113845376
ACH-000047,-0.13738765296472755
ACH-000052,-0.27751867804901664
ACH-000053,-0.14649110163672988
ACH-000054,-0.2863028336625821
ACH-000055,-0.2504371072214253
ACH-000060,-0.3356536243418621
ACH-000067,-0.345199573818033
ACH-000070,-0.096292866700809
ACH-000075,-0.2507546200488152
ACH-000078,-0.3252850235862285
ACH-000082,-0.1774903324663704
ACH-000085,-0.3160097194266813
ACH-000086,-0.2077059830956952
ACH-000087,-0.4313186413210416
ACH-000092,-0.1575242353224354
ACH-000095,-0.2577047167895189
ACH-000097,-0.22944398790236906
ACH-000098,-0.14621638464139894
ACH-000099,-0.2984581736927666
ACH-000108,-0.3182148339068569
ACH-000113,-0.14705446998536031
ACH-000116,-0.2519090189691676
ACH-000118,-0.18713926075953533
ACH-000120,-0.11829707517284906
ACH-000123,-0.08124480501431898
ACH-000127,-0.16463638854399346
ACH-000128,-0.4528968940224368
ACH-000132,-0.4643845463726345
ACH-000133,-0.0905809976196608
ACH-000137,-0.2275478257037903
ACH-000138,-0.1526766321990237
ACH-000142,-0.18075488797045064
ACH-000143,-0.2622000928490957
ACH-000146,-0.29459078543150946
ACH-000148,-0.08946717714169311
ACH-000150,-0.37959874873849603
ACH-000152,-0.2068040525575513
ACH-000153,-0.14826406992555424
ACH-000159,-0.2620229484966315
ACH-000160,-0.10918674762558483
ACH-000163,-0.24061668149132734
ACH-000167,-0.4388934347724742
ACH-000168,-0.3475160341693678
ACH-000169,-0.17372042426270864
ACH-000178,-0.4001768409311824
ACH-000183,-0.19251675181259845
ACH-000188,-0.0993949925427724
ACH-000189,-0.13686410856561773
ACH-000190,-0.09407349117513752
ACH-000198,-0.2855369594696689
ACH-000203,0.03950319866165093
ACH-000204,-0.31662005323812936
ACH-000206,-0.19545742403348396
ACH-000207,-0.3825307479592713
ACH-000208,-0.04103366005686655
ACH-000210,-0.3122596573069319
ACH-000211,-0.23555383508635094
ACH-000215,-0.2304449873585992
ACH-000221,-0.13632158662604307
ACH-000222,-0.2387443091983749
ACH-000223,-0.2335028575722831
ACH-000226,-0.020177576494123654
ACH-000227,-0.23021241579619145
ACH-000228,-0.13657952490552613
ACH-000231,-0.3206779114712502
ACH-000232,-0.3867693703873018
ACH-000233,-0.20283485065374512
ACH-000234,-0.3029447731169363
ACH-000235,-0.14678991092735771
ACH-000237,-0.2188121573466656
ACH-000238,-0.1513793321059624
ACH-000242,-0.132650385660828
ACH-000243,-0.16214013639275482
ACH-000244,-0.13710965847922985
ACH-000246,-0.3117790553518251
ACH-000248,-0.3114719697475044
ACH-000250,-0.24351589630666806
ACH-000251,-0.4941020407131391
ACH-000252,-0.37625164497510605
ACH-000253,-0.3288948451838065
ACH-000255,-0.01917058256441867
ACH-000256,-0.1879861801182444
ACH-000257,-0.11043032058792536
ACH-000258,-0.3347544858278775
ACH-000259,-0.16851291543188648
ACH-000260,-0.2975744341409696
ACH-000261,-0.26770980477518025
ACH-000262,-0.33693275064118555
ACH-000263,-0.044605061440308895
ACH-000264,-0.20158392376349787
ACH-000265,-0.21024063691695585
ACH-000266,-0.2823930231203851
ACH-000272,-0.13847770926586775
ACH-000274,-0.414870480925731
ACH-000277,-0.005580947673979099
ACH-000278,-0.15631197237225938
ACH-000279,-0.18512081546433728
ACH-000280,-0.2325762654740235
ACH-000281,-0.4468327621446051
ACH-000288,-0.16134708461060493
ACH-000291,-0.09849686306778148
ACH-000293,-0.2392261654743609
ACH-000294,-0.310666539806964
ACH-000295,-0.3264766694765773
ACH-000296,-0.2279944447054212
ACH-000302,-0.20169674704013424
ACH-000304,-0.2374170177722911
ACH-000307,-0.1627210374717171
ACH-000308,-0.2786857567287752
ACH-000310,-0.3571093577760079
ACH-000311,-0.1251698043585343
ACH-000312,-0.2336556531898507
ACH-000315,-0.6330155435994157
ACH-000316,-0.03881974777799858
ACH-000317,-0.20038517416011925
ACH-000318,-0.11012689959474613
ACH-000319,-0.1911948262948621
ACH-000320,-0.29188167025056
ACH-000322,-0.05338205368484924
ACH-000323,-0.3006515327784477
ACH-000324,-0.36570372179293387
ACH-000329,-0.2802576631590266
