,JADE2 (23338)
ACH-000004,0.03438333946987337
ACH-000005,0.10461835475384752
ACH-000007,-0.11609460895608165
ACH-000009,-0.035237101523730635
ACH-000011,0.14358526155769522
ACH-000012,-0.10152360771177507
ACH-000013,0.01977694314351056
ACH-000014,-0.18323346048563025
ACH-000015,-0.12359152445129548
ACH-000017,0.02817493526596728
ACH-000018,-0.07787978375863455
ACH-000019,0.04512435824094856
ACH-000021,-0.096650004362883
ACH-000022,-0.13973361971702827
ACH-000025,0.21903649800201724
ACH-000028,-0.14382120304080412
ACH-000030,0.03626336772902362
ACH-000035,0.012737751078648196
ACH-000036,0.05878216596182813
ACH-000037,-0.0107090751292447
ACH-000039,-0.1614239036058452
ACH-000040,0.11763758952962396
ACH-000041,0.09267397963583013
ACH-000042,-0.2955585198151927
ACH-000045,-0.14501616591294486
ACH-000047,0.04441307615728272
ACH-000052,0.022968629527646226
ACH-000053,0.12111149378454092
ACH-000054,0.07668534539448238
ACH-000055,0.09837413346946408
ACH-000060,0.07126538289242743
ACH-000067,0.15886191949532266
ACH-000070,0.3176241734398452
ACH-000075,-0.06272021429111156
ACH-000078,-0.05947613474122824
ACH-000082,0.04326126670033531
ACH-000085,0.016346686238754484
ACH-000086,-0.052852132869311015
ACH-000087,0.27004783417852224
ACH-000092,0.09036895725181712
ACH-000095,0.015530765447563384
ACH-000097,-0.0009487483710674232
ACH-000098,0.07121347016087178
ACH-000099,-0.11880338940053392
ACH-000108,0.1111476096982682
ACH-000113,-0.2991014586276872
ACH-000116,0.027686843921698425
ACH-000118,-0.11740310773048
ACH-000120,0.06359916618585577
ACH-000123,0.04226891744895732
ACH-000127,-0.0954806837541468
ACH-000128,0.1063471739641377
ACH-000132,0.1106476336134178
ACH-000133,0.16906116744342686
ACH-000137,-0.010973343610203334
ACH-000138,0.1706522853310796
ACH-000142,0.14076601071556166
ACH-000143,-0.251547184673792
ACH-000146,0.100354678193622
ACH-000148,0.1235212590243106
ACH-000150,-0.20089413713136864
ACH-000152,0.0627595234619852
ACH-000153,0.11010222567681363
ACH-000159,-0.001247049504687517
ACH-000160,0.3670768429163148
ACH-000163,0.14494558600565893
ACH-000167,1.4189484994144947
ACH-000168,-0.04940680366476
ACH-000169,0.1527903862226845
ACH-000178,0.022046183862199916
ACH-000183,0.13970945867266402
ACH-000188,-0.033491556669724185
ACH-000189,-0.03585707770140642
ACH-000190,0.3522013182086814
ACH-000198,-0.3880941620775588
ACH-000203,-0.23063079896763106
ACH-000204,0.10743980691150308
ACH-000206,0.026823432047834817
ACH-000207,0.06674501268602846
ACH-000208,0.029908433165491532
ACH-000210,0.0028053582276753378
ACH-000211,-0.1466101219469549
ACH-000215,0.1513445097764259
ACH-000221,0.2009173665783347
ACH-000222,0.12424793441261273
ACH-000223,-0.11123385929281253
ACH-000226,-0.08112190354885096
ACH-000227,-0.07620634588846573
ACH-000228,-0.11876236902503755
ACH-000231,-0.03559525253890345
ACH-000232,-0.02343759320999388
ACH-000233,-0.03563281279010221
ACH-000234,0.02865636856402377
ACH-000235,0.14676390597709787
ACH-000237,0.03620912787287958
ACH-000238,0.012409973702522028
ACH-000242,0.059894166168441926
ACH-000243,0.042943079137723
ACH-000244,-7.534453968615522e-05
ACH-000246,0.053690339731976115
ACH-000248,0.05900485606051897
ACH-000250,0.07449324310196166
ACH-000251,0.00559209083289081
ACH-000252,0.10500728309351336
ACH-000253,-0.028852039029769537
ACH-000255,0.21934814927995636
ACH-000256,-0.0435239838077013
ACH-000257,-0.12570364855840802
ACH-000258,-0.24559761687437345
ACH-000259,0.11426301383104777
ACH-000260,0.0682943725881888
ACH-000261,-0.00515929950124301
ACH-000262,0.05749404275831847
ACH-000263,0.13589951934090455
ACH-000264,0.02647227051604342
ACH-000265,0.06905728547709462
ACH-000266,-0.017772186630455197
ACH-000272,0.14706431753635255
ACH-000274,-0.028335518379976037
ACH-000277,0.016369625894957697
ACH-000278,0.20122942669507368
ACH-000279,-0.04257056212759309
ACH-000280,0.12987194636691832
ACH-000281,-0.029233998101285307
ACH-000288,0.06430915764704752
ACH-000291,0.06348711065663558
ACH-000293,0.07043235839146557
ACH-000294,0.07764360667292833
ACH-000295,0.03465126566753645
ACH-000296,-0.16108288539762353
ACH-000302,-0.007756023452432623
ACH-000304,0.24567201955412635
