,ARFGAP2 (84364)
ACH-000004,-0.18680280412524405
ACH-000005,-0.04111729292103218
ACH-000007,0.00546078216184935
ACH-000009,-0.024403321179757662
ACH-000011,0.05380667722253176
ACH-000012,-0.09846632008900087
ACH-000013,-0.23819048259786296
ACH-000014,-0.07041803911318685
ACH-000015,-0.05052487352704834
ACH-000017,0.023471142199497464
ACH-000018,0.04597018769708668
ACH-000019,-0.4496060881167525
ACH-000021,-0.229918836773411
ACH-000022,-0.030943690850437605
ACH-000025,-0.2367548937368345
ACH-000028,-0.16725066528924312
ACH-000030,-0.2308123102033311
ACH-000035,-0.06522178300743746
ACH-000036,-0.13455230680443206
ACH-000037,-0.10611334385978037
ACH-000039,-0.24251410102182275
ACH-000040,-0.17744919526352276
ACH-000041,-0.18056317229920668
ACH-000042,-0.03968962884809536
ACH-000045,-0.06430146261909679
ACH-000047,-0.07110035722891911
ACH-000052,-0.35351990344126394
ACH-000053,-0.049216303232373936
ACH-000054,-0.010663574085091587
ACH-000055,-0.10095151691402772
ACH-000060,-0.12794920087040929
ACH-000067,-0.19351411596301224
ACH-000070,-0.1990231033347504
ACH-000075,-0.3127858341798699
ACH-000078,-0.042020610843543416
ACH-000082,-0.15259675607141868
ACH-000085,-0.05698198030565165
ACH-000086,-0.09796353468406722
ACH-000087,-0.07280289252697138
ACH-000092,-0.038364178363310485
ACH-000095,-0.11327736603000305
ACH-000097,-0.08435211229557467
ACH-000098,-0.1762727417113635
ACH-000099,-0.040593398885056524
ACH-000108,-0.13321091551785058
ACH-000113,-0.025874060167930018
ACH-000116,-0.19195562266685956
ACH-000118,-0.15927845572359958
ACH-000120,-0.0820315926257864
ACH-000123,-0.035127195904193165
ACH-000127,-0.0273313625190342
ACH-000128,-0.08431218890592683
ACH-000132,-0.14325016922180395
ACH-000133,-0.34510199255574786
ACH-000137,-0.13743953085581426
ACH-000138,-0.18742729131158187
ACH-000142,-0.09537036484019737
ACH-000143,-0.010788882204173492
ACH-000146,-0.14916957266770522
ACH-000148,-0.2037750165201715
ACH-000150,-0.2448469581427857
ACH-000152,-0.1213167948772946
ACH-000153,-0.1045702807182183
ACH-000159,-0.13025684353705827
ACH-000160,-0.12910233087123096
ACH-000163,-0.14000797612874152
ACH-000167,-0.17016379705991933
ACH-000168,-0.24091681542681045
ACH-000169,-0.013809759327341416
ACH-000178,-0.11779017777535528
ACH-000183,0.05343023571987125
ACH-000188,0.006535287978616762
ACH-000189,-0.2588928057164681
ACH-000190,-0.05500021954081344
ACH-000198,-0.02139565203385236
ACH-000203,0.03798420534059629
ACH-000204,0.2638645206967078
ACH-000206,-0.20269888038078787
ACH-000207,-0.14798626901104184
ACH-000208,-0.13535008239186738
ACH-000210,-0.4527486529232605
ACH-000211,-0.032101875690109236
ACH-000215,-0.11148305529433516
ACH-000221,-0.2736133629212817
ACH-000222,-0.13101606348182862
ACH-000223,-0.06855416047840736
ACH-000226,-0.0046909529610826535
ACH-000227,0.1006944329649546
ACH-000228,-0.11883693835643976
ACH-000231,-0.15481685088806
ACH-000232,-0.2394172173606843
ACH-000233,-0.008147950492905547
ACH-000234,-0.12975782399760935
ACH-000235,-0.08984465428298949
ACH-000237,-0.2243211312524808
ACH-000238,-0.19592482492556493
ACH-000242,0.20859913371671412
ACH-000243,-0.048246423440844635
ACH-000244,-0.02795391651069869
ACH-000246,-0.04716251392643807
ACH-000248,0.09157772473331872
ACH-000250,-0.034760054693721364
ACH-000251,-0.03860449483615114
ACH-000252,-0.16243089714743278
ACH-000253,0.007760261762961675
ACH-000255,-0.2587755623266303
ACH-000256,-0.14912361084820924
ACH-000257,-0.024861814182983853
ACH-000258,0.010196528604366723
ACH-000259,-0.14506262511781454
ACH-000260,-0.3134463451328327
ACH-000261,-0.04555065668859636
ACH-000262,-0.1276070928025798
ACH-000263,-0.11283735273511245
ACH-000264,-0.18601461475819608
ACH-000265,-0.385860440360753
ACH-000266,-0.059560393835560575
ACH-000272,-0.0912831089529692
ACH-000274,-0.10591911904129922
ACH-000277,0.013272745129842077
ACH-000278,-0.1703133673676179
ACH-000279,-0.17323715056522468
ACH-000280,-0.06486577129754753
ACH-000281,0.015415048301059343
ACH-000288,-0.2577647296146335
ACH-000291,0.028483335009296982
ACH-000293,-0.02806714530967433
ACH-000294,0.07647956067268158
ACH-000295,-0.06376146765309106
ACH-000296,0.17268613033180866
ACH-000302,0.01986580789192217
ACH-000304,0.1164571776699054
ACH-000307,-0.14418659503081996
