,ENGASE (64772)
ACH-000004,0.009760846396080712
ACH-000005,-0.2852693193238485
ACH-000007,-0.07756917642127728
ACH-000009,-0.14260729361132435
ACH-000011,-0.21021475470324366
ACH-000012,-0.11499497218273548
ACH-000013,-0.08988212921592142
ACH-000014,-0.15382207490802505
ACH-000015,-0.09826928080641316
ACH-000017,-0.33593448726978226
ACH-000018,0.015871199176640413
ACH-000019,-0.06992552377154075
ACH-000021,-0.1341658993026285
ACH-000022,0.024574362327632833
ACH-000025,-0.08891714629948076
ACH-000028,-0.16764140187942275
ACH-000030,-0.12620758923274694
ACH-000035,-0.15385984575981268
ACH-000036,-0.17272810145117454
ACH-000037,-0.17221641495157758
ACH-000039,-0.24278683307411575
ACH-000040,-0.13154597359615414
ACH-000041,-0.07624743505424622
ACH-000042,-0.13683796909888846
ACH-000045,-0.1995485725579145
ACH-000047,-0.1915158094738287
ACH-000052,-0.3957186546389164
ACH-000053,-0.11129007550895838
ACH-000054,-0.06185807401565172
ACH-000055,-0.22377636786451285
ACH-000060,-0.21005100702760945
ACH-000067,-0.19820166171890824
ACH-000070,-0.028334480488397932
ACH-000075,-0.1214893718112988
ACH-000078,-0.3210318518369292
ACH-000082,-0.19660522098113775
ACH-000085,-0.4610524250237174
ACH-000086,-0.11109894221607483
ACH-000087,-0.20592467655532445
ACH-000092,-0.10047935206258682
ACH-000095,-0.2635704340880028
ACH-000097,-0.15032234893978189
ACH-000098,-0.1305366246545265
ACH-000099,-0.27690827507275423
ACH-000108,-0.23891549354318134
ACH-000113,-0.03682112820767892
ACH-000116,-0.10837022219361893
ACH-000118,-0.3091973841460269
ACH-000120,-0.29053787734611564
ACH-000123,-0.0980465485468514
ACH-000127,-0.1823008787870989
ACH-000128,-0.2220580931938478
ACH-000132,-0.029153061778791668
ACH-000133,-0.19270139408706635
ACH-000137,0.06026999285894896
ACH-000138,-0.12430187073382945
ACH-000142,-0.15912691829202094
ACH-000143,-0.0012801381437544735
ACH-000146,-0.03070637579628806
ACH-000148,-0.09719544930186512
ACH-000150,-0.1882905741606304
ACH-000152,-0.1443708258022273
ACH-000153,-0.1632083109750047
ACH-000159,-0.12151351330305775
ACH-000160,-0.1648070143596614
ACH-000163,-0.2278823559002648
ACH-000167,-0.3865131583862648
ACH-000168,-0.01480807252678979
ACH-000169,-0.061950021417940176
ACH-000178,-0.05630143546205396
ACH-000183,-0.10070698782632194
ACH-000188,-0.2224141418444265
ACH-000189,0.012578922351832002
ACH-000190,-0.17298893202344384
ACH-000198,-0.17208671523921792
ACH-000203,-0.3165667519112612
ACH-000204,0.0027296804628042827
ACH-000206,-0.009899681908407924
ACH-000207,-0.385093117617654
ACH-000208,-0.14453206922928344
ACH-000210,-0.4767600429442939
ACH-000211,-0.1731203160729178
ACH-000215,-0.22265254043376545
ACH-000221,-0.1703264826325657
ACH-000222,-0.01036070917417275
ACH-000223,-0.1502584387927376
ACH-000226,-0.05184855164044168
ACH-000227,-0.1953338963368237
ACH-000228,-0.1464798600114425
ACH-000231,-0.15505132966077126
ACH-000232,-0.10145552975779128
ACH-000233,-0.21329241632157764
ACH-000234,-0.13685165963547144
ACH-000235,-0.18620100065913972
ACH-000237,-0.2009776120975283
ACH-000238,-0.3297480593340153
ACH-000242,0.03669048546068025
ACH-000243,-0.1644010504304146
ACH-000244,-0.1427924168522955
ACH-000246,-0.2731389183493058
ACH-000248,-0.21828836611634106
ACH-000250,-0.20660396044497367
ACH-000251,0.03831882462890029
ACH-000252,-0.15532981107113514
ACH-000253,-0.26735869066849666
ACH-000255,-0.27888909389088257
ACH-000256,-0.26995155180294866
ACH-000257,-0.054243488530680055
ACH-000258,-0.21309719957448264
ACH-000259,-0.1941912210143257
ACH-000260,-0.12623813823030475
ACH-000261,-0.16461504914164454
ACH-000262,-0.29644329977893946
ACH-000263,-0.2968657345360053
ACH-000264,-0.21339931341313007
ACH-000265,-0.13026344244978855
ACH-000266,-0.14818151678636424
ACH-000272,-0.13372702067851347
ACH-000274,-0.21017238558256
ACH-000277,-0.3689634261847547
ACH-000278,-0.13522776561570574
ACH-000279,-0.1673461608144321
ACH-000280,-0.1677665847503577
ACH-000281,-0.18799608067334705
ACH-000288,-0.24494172427727146
ACH-000291,-0.08616251625689865
ACH-000293,-0.02009114193462144
ACH-000294,-0.1974210668428051
ACH-000295,-0.18844136594726124
ACH-000296,0.014290433686948469
ACH-000302,-0.20657230022366427
ACH-000304,-0.09601542944008552
ACH-000307,-0.04368254057985882
ACH-000308,-0.08779697784273707
ACH-000310,-0.28842926181020895
ACH-000311,-0.12410874692380128
ACH-000312,-0.14007397309753197
ACH-000315,-0.12688381054390718
ACH-000316,-0.2886983699356652
ACH-000317,0.02017189918693916
ACH-000318,-0.04022404334678641
ACH-000319,-0.186754424235725
ACH-000320,-0.13448687403984816
ACH-000322,-0.014436230637180315
ACH-000323,-0.2777409113093784
ACH-000324,-0.20508275030055634
ACH-000329,-0.16876779111866366
ACH-000330,-0.3639012605274882
ACH-000331,0.026864589711762345
ACH-000332,-0.17357031298545275
ACH-000334,-0.16907149107689462
ACH-000335,0.060737915253031835
ACH-000336,0.14375082540313566
ACH-000337,-0.09682630674807867
ACH-000338,0.1159309844850072
ACH-000339,-0.16843544690325252
ACH-000341,-0.1375193359820569
ACH-000348,-0.2076222971654715
ACH-000350,-0.11981022174829525
ACH-000352,-0.16342176837746591
ACH-000356,-0.206655923304996
ACH-000361,-0.26930175819421154
ACH-000362,-0.09078388556027564
ACH-000363,-0.20609326958654245
ACH-000364,-0.13579358861782528
ACH-000365,-0.0372902288265776
ACH-000366,-0.2344076901911589
ACH-000368,-0.044912436946803067
ACH-000374,-0.1988674623324108
ACH-000375,0.004251784659557696
ACH-000376,-0.19632253680127626
ACH-000381,-0.24220634615459605
ACH-000383,-0.19919921453135994
ACH-000387,-0.036321806422170214
ACH-000389,-0.22187553943664556
ACH-000390,-0.04270811886595624
ACH-000393,-0.2627115992036573
ACH-000395,-0.15830308563130288
ACH-000396,0.1398463427607412
ACH-000397,-0.1845594094902273
