,VAC14 (55697)
ACH-000004,-0.20848625495574
ACH-000005,-0.13524510857670555
ACH-000007,-0.3308605188766954
ACH-000009,-0.24136041410726936
ACH-000011,-0.43515131428715664
ACH-000012,-0.10849426344999516
ACH-000013,-0.4292258472165193
ACH-000014,-0.16354866125241108
ACH-000015,-0.09397619432030233
ACH-000017,-0.4621806101767533
ACH-000018,-0.2571961642888162
ACH-000019,-0.16747025038163862
ACH-000021,-0.26499681399103026
ACH-000022,-0.4777600114084475
ACH-000025,-0.17452407576066306
ACH-000028,-0.08535394944658782
ACH-000030,-0.34061658012623985
ACH-000035,-0.19251033910672088
ACH-000036,-0.2954986437979371
ACH-000037,-0.39125391692127004
ACH-000039,-0.22099031924181425
ACH-000040,-0.09252223847014422
ACH-000041,-0.06540450253955248
ACH-000042,-0.3973983482789586
ACH-000045,-0.2284823409677217
ACH-000047,-0.4210936008925839
ACH-000052,-0.4488676892275423
ACH-000053,-0.2159613293177416
ACH-000054,-0.3940508681169274
ACH-000055,-0.2305341307863027
ACH-000060,-0.22727179304538014
ACH-000067,-0.244501331203326
ACH-000070,-0.3465726467114251
ACH-000075,-0.18260131240859925
ACH-000078,-0.16638872881395497
ACH-000082,-0.2435220428488621
ACH-000085,-0.6400420647075027
ACH-000086,-0.139243620616061
ACH-000087,-0.10805699059001164
ACH-000092,-0.14087851119310546
ACH-000095,-0.2007391492976013
ACH-000097,-0.1908297951864292
ACH-000098,-0.006761013134699232
ACH-000099,-0.6572663592335775
ACH-000108,-0.2916433382234032
ACH-000113,0.0856547254288063
ACH-000116,-0.4905142359531154
ACH-000118,-0.20769855556113387
ACH-000120,-0.26839536890680105
ACH-000123,-0.2951009800531347
ACH-000127,-0.21711591545214
ACH-000128,-0.37108121074425865
ACH-000132,-0.3730173917130479
ACH-000133,-0.13617668766305613
ACH-000137,-0.2160390387419661
ACH-000138,-0.6710987926466582
ACH-000142,-0.4486388232543905
ACH-000143,-0.3609870058077221
ACH-000146,-0.17696597718821822
ACH-000148,-0.33595626052112154
ACH-000150,-0.22202212598080232
ACH-000152,-0.2033988267300043
