,PARPBP (55010)
ACH-000472,-0.08111656189652906
ACH-000473,-0.14556957693274414
ACH-000475,-0.04991497742727462
ACH-000476,-0.0272073624779864
ACH-000477,-0.026847214729965083
ACH-000479,-0.015638962825231424
ACH-000480,-0.1365057501895419
ACH-000481,-0.17202388386468476
ACH-000483,-0.10246945746438264
ACH-000484,-0.03844654363442093
ACH-000485,-0.1687818986913718
ACH-000486,-0.06577191899660904
ACH-000487,-0.008244677454285823
ACH-000488,-0.07872671534410887
ACH-000490,-0.040538582845540135
ACH-000491,-0.14158631341101158
ACH-000495,-0.024419866904408127
ACH-000496,-0.04197709955512697
ACH-000499,0.0966827806663872
ACH-000500,-0.7287364754098371
ACH-000502,-0.10880159828511618
ACH-000503,0.09358195504268417
ACH-000505,0.0035351770216938555
ACH-000507,-0.042762835713676686
ACH-000510,-0.07594536086006684
ACH-000511,-0.1424994133432867
ACH-000512,-0.10622755142939297
ACH-000516,-0.06662613080362115
ACH-000517,-0.16797682335974945
ACH-000518,-0.00032829355678772764
ACH-000520,-0.28086400746649304
ACH-000521,-0.08211654334527548
ACH-000522,-0.0941391108127594
ACH-000524,-0.12900140481261507
ACH-000527,-0.11589711088908243
ACH-000528,-0.08621435847970922
ACH-000537,-0.0009183361935785852
ACH-000541,-0.3554711249054662
ACH-000542,-0.05035895924530097
ACH-000544,-0.048648673592302495
ACH-000545,-0.011714026968849104
ACH-000547,0.0092738470947632
ACH-000548,-0.13913491739892644
ACH-000549,-0.2064481907871449
ACH-000550,-0.04979472920340101
ACH-000552,-0.03083090530595042
ACH-000556,-0.182301691186756
ACH-000557,-0.1337121637772446
ACH-000569,0.1452047662014111
ACH-000570,0.024529522419977308
ACH-000571,-0.1902300161403736
ACH-000573,0.021174318644134573
ACH-000576,-0.13458108778688466
ACH-000579,-0.1366894238060792
ACH-000580,0.011036429456992295
ACH-000584,-0.06519614304000719
ACH-000585,-0.10907602960145578
ACH-000588,-0.07603684763292315
ACH-000589,0.016945261310376953
ACH-000591,-0.1367373347584846
ACH-000593,-0.16611676927885768
ACH-000600,-0.035998604746592375
ACH-000601,-0.0073464664484357125
ACH-000605,-0.24926477720045045
ACH-000606,-0.025059851491003992
ACH-000608,-0.13627297651070333
ACH-000614,-0.05001486093632263
ACH-000616,-0.024451234874158827
ACH-000618,-0.1970530613783289
ACH-000619,-0.18221445820636886
ACH-000620,-0.10383777873589356
ACH-000621,-0.13063159553685816
ACH-000622,-0.03283217090812026
ACH-000623,-0.07706198665003358
ACH-000624,-0.04255718895303424
ACH-000627,-0.09195178677468864
ACH-000630,-0.04573700334910552
ACH-000631,0.15484443218859795
ACH-000632,-0.1722497960682179
ACH-000633,-0.024659457400795618
ACH-000637,-0.11886170348557612
ACH-000638,-0.0017229491354760966
ACH-000646,0.0336365637218951
ACH-000647,-0.01708497042286024
ACH-000648,-0.03814455990247118
ACH-000649,-0.04511526117655616
ACH-000651,-0.059973051228784824
ACH-000652,0.00372806208800088
ACH-000653,-0.02377801878604121
ACH-000657,-0.03864087157003683
ACH-000658,-0.07694337076291513
ACH-000661,0.0059627162239448
ACH-000662,-0.0757525578749253
ACH-000663,-0.03988118707839959
ACH-000665,-0.05223548749568759
ACH-000671,0.05740110667572959
ACH-000672,-0.14914315433694575
ACH-000673,-0.09306447977849153
ACH-000676,-0.11248326846908696
ACH-000677,-0.045625559237356283
ACH-000681,-0.00020875108185847236
ACH-000683,-0.14612567916843716
ACH-000684,-0.17635681182391
ACH-000688,-0.1438276890486668
ACH-000693,-0.045668250405173416
ACH-000694,-0.06969828814184625
ACH-000695,-0.13672428557407104
ACH-000696,-0.10307254214092974
ACH-000697,-0.12087315105283195
ACH-000699,-0.1220491374216842
ACH-000701,-0.06987077525444567
ACH-000706,-0.044643973989560735
ACH-000711,-0.044802169991036464
ACH-000713,0.026684250029146855
ACH-000714,-0.04593881975445932
ACH-000718,-0.1846235078161542
ACH-000720,-0.018529304005507646
ACH-000721,-0.09841817917142927
ACH-000724,-0.05217225326760201
ACH-000725,-0.09702709692004813
ACH-000732,-0.04596323159208349
ACH-000734,0.008197505797168969
ACH-000735,-0.09054769308615793
ACH-000736,-0.23027494774768015
ACH-000738,-0.08264117074553456
ACH-000746,-0.16953029925428234
ACH-000747,-0.15286619611508864
ACH-000748,-0.1300559148041741
ACH-000753,-0.11009532199765668
ACH-000756,-0.07697157764033934
