,POTEE (445582)
ACH-000004,0.4569222191190686
ACH-000005,0.6835393907358097
ACH-000007,0.4435516882710703
ACH-000009,0.4094006713034008
ACH-000011,0.38228109612815575
ACH-000012,0.3994534817363259
ACH-000013,0.4181999614863087
ACH-000014,0.4032624561191538
ACH-000015,0.4138749127937111
ACH-000017,0.4425991984884681
ACH-000018,0.3479094077738325
ACH-000019,0.3429328449984905
ACH-000021,0.34082560792993283
ACH-000022,0.44534571050882177
ACH-000025,0.4131655005116113
ACH-000028,0.39487155519645795
ACH-000030,0.3848105947052091
ACH-000035,0.37496943077265055
ACH-000036,0.3604239303684689
ACH-000037,0.468379718004168
ACH-000039,0.4132225995632942
ACH-000040,0.44304188959591023
ACH-000041,0.4372441913756398
ACH-000042,0.393993592962995
ACH-000045,0.4555165398857156
ACH-000047,0.3230966032814531
ACH-000052,0.4395857604407555
ACH-000053,0.4007804127690663
ACH-000054,0.4377453548027311
ACH-000055,0.3322558576941822
ACH-000060,0.4505227879804805
ACH-000067,0.2590512057126013
ACH-000070,0.4438848178963399
ACH-000075,0.5672428780872503
ACH-000078,0.4977304259873108
ACH-000082,0.4490600702434933
ACH-000085,0.5269862638191855
ACH-000086,0.4296947484504057
ACH-000087,0.2897373795061596
ACH-000092,0.384650043458346
ACH-000095,0.3090209176336333
ACH-000097,0.38555944158916977
ACH-000098,0.4232770142498616
ACH-000099,0.4077619553424425
ACH-000108,0.3363175710691773
ACH-000113,0.2903136702310348
ACH-000116,0.3492910725925473
ACH-000118,0.3744256248147815
ACH-000120,0.4629622323458581
ACH-000123,0.3505943423879421
ACH-000127,0.3324136745745991
ACH-000128,0.2977509387810323
ACH-000132,0.39987093415498703
ACH-000133,0.3445944957678847
ACH-000137,0.3696584258653912
ACH-000138,0.3725148292384037
ACH-000142,0.37992033021261895
ACH-000143,0.5264326789698996
ACH-000146,0.37016159293005374
ACH-000148,0.4241850519259672
ACH-000150,0.4214800622707012
ACH-000152,0.3415987064880377
ACH-000153,0.3013015752284511
ACH-000159,0.3321675156203924
ACH-000160,0.24771707523961095
ACH-000163,0.3723967594395928
ACH-000167,0.25564578367678314
ACH-000168,0.4099718988796836
ACH-000169,0.4032582704730888
ACH-000178,0.3642607025524883
