,WRAP73 (49856)
ACH-000004,-0.17002740423167093
ACH-000005,-0.12323821849047735
ACH-000007,-0.11606505278479402
ACH-000009,-0.19856730930899716
ACH-000011,-0.07637123950065354
ACH-000012,-0.18682274065737905
ACH-000013,-0.051286677905914194
ACH-000014,-0.017504633891464703
ACH-000015,-0.3116391541865092
ACH-000017,-0.03446746650159039
ACH-000018,-0.2268438660790293
ACH-000019,-0.06470728734783439
ACH-000021,-0.036699225180423886
ACH-000022,-0.04559013524365657
ACH-000025,0.006602974943191549
ACH-000028,-0.3317206459875405
ACH-000030,0.010828288727166194
ACH-000035,-0.070368063960381
ACH-000036,-0.14389956067519047
ACH-000037,-0.2290446875814217
ACH-000039,-0.14304039241838512
ACH-000040,-0.12322847528270643
ACH-000041,-0.06585844847740008
ACH-000042,-0.13879525888677954
ACH-000045,0.1127223111409738
ACH-000047,-0.10879688701214728
ACH-000052,-0.1890489701790806
ACH-000053,-0.020686031943452157
ACH-000054,-0.10523272918308067
ACH-000055,-0.0044878597149014265
ACH-000060,-0.07543691513576085
ACH-000067,-0.17130468226614842
ACH-000070,-0.1981604523044532
ACH-000075,-0.018051841856150528
ACH-000078,0.1354761745244058
ACH-000082,0.007706988468664389
ACH-000085,0.0001997292772511176
ACH-000086,-0.141291872298425
ACH-000087,-0.05665425015400809
ACH-000092,-0.18988247895504556
ACH-000095,-0.5963789269745357
ACH-000097,-0.057501575688702164
ACH-000098,-0.05640715059484956
ACH-000099,-0.27822189577400364
ACH-000108,-0.3021742534694372
ACH-000113,-0.050113827309392296
ACH-000116,0.003375526349826632
ACH-000118,-0.2259865863080075
ACH-000120,-0.20583331642349967
ACH-000123,-0.2597110487656003
ACH-000127,-0.003729272516108479
ACH-000128,-0.056666623805185515
ACH-000132,-0.05712867282144025
ACH-000133,-0.030426484039358364
ACH-000137,-0.058384669762253885
ACH-000138,-0.1342464455210702
ACH-000142,-0.09511190982938088
ACH-000143,-0.10999896557973393
ACH-000146,-0.031710719584554306
ACH-000148,-0.03499516558910471
ACH-000150,-0.2991109477816561
ACH-000152,-0.0025264931719407445
ACH-000153,0.0015854813637794305
ACH-000159,-0.15062498270833746
ACH-000160,-0.20189831241964565
ACH-000163,-0.06969029018165468
ACH-000167,-0.06339091571537685
ACH-000168,-0.0006999196534700602
ACH-000169,-0.2189128847852901
ACH-000178,-0.1653807375285323
ACH-000183,0.05901319995670917
ACH-000188,-0.529095326862957
ACH-000189,-0.3873790734664074
ACH-000190,0.11334701158202305
ACH-000198,-0.0866618673330267
ACH-000203,-0.17531068004360215
ACH-000204,0.011947070976559266
ACH-000206,0.04069242699207833
ACH-000207,-0.16797200976269452
ACH-000208,-0.02242774497850044
ACH-000210,-0.2927041316731292
ACH-000211,-0.12741341319463534
ACH-000215,-0.0726855000809389
ACH-000221,-0.2347210986584828
ACH-000222,-0.20347937510257685
ACH-000223,0.017621000932579938
ACH-000226,-0.34726050159253435
ACH-000227,-0.17999056999851146
ACH-000228,-0.0018891554995039566
ACH-000231,-0.10601726065152492
ACH-000232,0.010419330930045613
ACH-000233,0.02001811753252558
ACH-000234,-0.16498599803551706
ACH-000235,-0.09029440301937157
ACH-000237,-0.2163951069353276
ACH-000238,-0.24440358212348545
ACH-000242,0.23945349693890736
ACH-000243,0.0007011668631619494
ACH-000244,-0.2652375001879697
ACH-000246,-0.4518280882158456
ACH-000248,-0.24567266146967
ACH-000250,-0.16537302538779936
ACH-000251,-0.14135711879847104
ACH-000252,-0.04345250651008506
ACH-000253,-0.16507968133510634
ACH-000255,-0.09559664274555048
ACH-000256,-0.13051739573152304
ACH-000257,-0.2053873411664895
ACH-000258,0.010347860936147186
ACH-000259,-0.21396543323405312
ACH-000260,-0.5161492388126532
ACH-000261,-0.02975659120766527
ACH-000262,3.4902532675280626e-05
ACH-000263,-0.1631883680089992
ACH-000264,-0.12376115308183855
ACH-000265,-0.004371466161987985
ACH-000266,-0.15186363052294222
ACH-000272,-0.19233689915777447
ACH-000274,-0.04818267407355297
ACH-000277,-0.04789645154340462
ACH-000278,-0.11162352321204312
ACH-000279,-0.10359764939439274
ACH-000280,0.009983116803180724
ACH-000281,-0.26292532125343
ACH-000288,-0.13716224972863572
ACH-000291,-0.675394464119597
ACH-000293,-0.014418459682519869
ACH-000294,-0.1085082142672164
ACH-000295,-0.1199303615856244
ACH-000296,-0.026259156218061568
ACH-000302,-0.12259136992672802
ACH-000304,-0.10954159000330478
ACH-000307,-0.170445734329805
ACH-000308,-0.02792016976136252
ACH-000310,-0.06492242880712368
ACH-000311,-0.1794949356880301
ACH-000312,-0.2605002865005471
ACH-000315,-0.11409998021510352
ACH-000316,-0.2647590886903867
ACH-000317,-0.3957664660764351
ACH-000318,0.03092047311525345
ACH-000319,-0.10679070098466824
ACH-000320,-0.1734839231650304
ACH-000322,-0.09265803987534328
ACH-000323,-0.08571797175183883
ACH-000324,-0.0051098558053463295
ACH-000329,-0.15762036725160306
ACH-000330,-0.1250397411131831
ACH-000331,0.035713485358807064
ACH-000332,-0.16109300739133958
ACH-000334,-0.08723592032387482
ACH-000335,-0.2519549949048119
ACH-000336,-0.04658532730172577
ACH-000337,0.08698181186021554
ACH-000338,0.09523491324483
ACH-000339,-0.014182529543478069
ACH-000341,-0.05638088096263748
ACH-000348,-0.07062675595941248
ACH-000350,0.053619770700518925
ACH-000352,0.06811484862137157
ACH-000356,0.05043624007447972
ACH-000361,0.1173077219003369
ACH-000362,0.09023880216308962
