,TARDBP (23435)
ACH-000004,-0.7497152872840038
ACH-000005,-0.7537022350828207
ACH-000007,-0.9422487720279232
ACH-000009,-0.9017057053644584
ACH-000011,-0.626229794067057
ACH-000012,-0.9666600856167652
ACH-000013,-0.5860313395911423
ACH-000014,-0.6450860313640461
ACH-000015,-0.9213406844739308
ACH-000017,-0.8300787721495629
ACH-000018,-1.1145788212848478
ACH-000019,-0.7137759107837349
ACH-000021,-0.51549412892298
ACH-000022,-0.768416177303083
ACH-000025,-0.8547758750754081
ACH-000028,-0.8775559958356082
ACH-000030,-1.0691183613746151
ACH-000035,-0.9144963380591379
ACH-000036,-1.111588768583495
ACH-000037,-1.2019352454081609
ACH-000039,-0.9355182583309578
ACH-000040,-1.07449346713363
ACH-000041,-0.7805892869454492
ACH-000042,-0.8781347196348546
ACH-000045,-0.9330314959031624
ACH-000047,-0.8472613289057336
ACH-000052,-1.1017937456551954
ACH-000053,-0.7554158022704279
ACH-000054,-0.5152585870126308
ACH-000055,-1.0133979669628537
ACH-000060,-0.8383162555420212
ACH-000067,-0.9650258315424344
ACH-000070,-0.9016365658863604
ACH-000075,-0.7007995345362582
ACH-000078,-0.8159258856705403
ACH-000082,-0.7753412690520903
ACH-000085,-0.8155714297627175
ACH-000086,-0.9846406365431492
ACH-000087,-0.95087865070347
ACH-000092,-0.7403908986356922
ACH-000095,-0.8651929960463406
ACH-000097,-0.6930160759174242
ACH-000098,-0.9741631841880104
ACH-000099,-0.8585784546154436
ACH-000108,-1.0339880599516151
ACH-000113,-0.7735312972093973
ACH-000116,-0.6482840509291714
ACH-000118,-0.8871360397019753
ACH-000120,-0.9473183107419412
ACH-000123,-0.7860187712900798
ACH-000127,-0.8630826643118441
ACH-000128,-0.8802877956300857
ACH-000132,-0.8139066425186524
ACH-000133,-1.007623157328128
ACH-000137,-0.7665766675744059
ACH-000138,-0.8400308895862815
ACH-000142,-1.080788125893838
ACH-000143,-0.8893834743143266
ACH-000146,-0.8609921512413291
ACH-000148,-0.8186756016721942
ACH-000150,-0.9535445997834446
ACH-000152,-1.0426572384327673
ACH-000153,-0.897351369986597
ACH-000159,-0.6111128558705863
ACH-000160,-0.7344773860668634
ACH-000163,-1.0667359131321492
ACH-000167,-1.0407357008455471
ACH-000168,-0.9556589803225032
ACH-000169,-0.9677158348766504
ACH-000178,-1.0084064893209743
ACH-000183,-0.9334874838239088
ACH-000188,-0.9087444995911352
ACH-000189,-1.0002710522391716
ACH-000190,-0.7813755913233806
ACH-000198,-0.9700810491366052
ACH-000203,-0.6578585081055306
ACH-000204,-0.7102507299423
ACH-000206,-0.486279800228009
ACH-000207,-0.7050879779903989
ACH-000208,-0.6122900603975205
ACH-000210,-1.0853709986827147
ACH-000211,-0.9886603375328464
ACH-000215,-1.0424040680205104
ACH-000221,-1.0692645998598675
ACH-000222,-0.8637707278357476
ACH-000223,-0.7643776857556609
ACH-000226,-0.8954230690163374
ACH-000227,-0.6769572563908393
ACH-000228,-1.0462185976274838
ACH-000231,-0.8983540774500193
ACH-000232,-0.9314822107651094
ACH-000233,-0.8793550010122819
ACH-000234,-0.8456811387510217
ACH-000235,-0.9578258125608431
ACH-000237,-0.8836772880072709
ACH-000238,-0.9360982367074422
ACH-000242,-0.9094287986434848
ACH-000243,-0.9106389249864748
ACH-000244,-0.8949922708389731
ACH-000246,-0.8765642852964803
ACH-000248,-0.9674569306260868
ACH-000250,-0.5957765869226948
ACH-000251,-0.9625491292230712
ACH-000252,-1.0298829097335809
ACH-000253,-0.8172355533954205
ACH-000255,-0.9486911093142544
ACH-000256,-0.9603969579701248
ACH-000257,-0.9665562747435192
ACH-000258,-1.0552092098832866
ACH-000259,-0.8571090683492968
ACH-000260,-0.958629389965828
ACH-000261,-0.8290187146200418
ACH-000262,-0.8979547244940846
ACH-000263,-0.8880171727268167
ACH-000264,-0.7374451852741293
ACH-000265,-0.9028664005238488
ACH-000266,-0.91367619776718
ACH-000272,-0.9805172592896664
ACH-000274,-0.937902988743564
ACH-000277,-0.7470794773402923
ACH-000278,-0.8586678932341838
ACH-000279,-1.120382233303464
ACH-000280,-0.6497187859431038
ACH-000281,-1.0025612903990837
ACH-000288,-1.1254481913363974
ACH-000291,-0.8154064313698045
ACH-000293,-0.7011040775428642
ACH-000294,-0.6959447457750597
ACH-000295,-0.8780652924841712
ACH-000296,-0.8064946752067838
ACH-000302,-0.7866779207362616
ACH-000304,-0.6612263046333735
ACH-000307,-0.992068757130104
ACH-000308,-0.8455169999527842
ACH-000310,-0.7664116819802557
ACH-000311,-0.8513098578254997
ACH-000312,-0.8724224902593747
ACH-000315,-0.9072325370739591
ACH-000316,-1.0953382242153802
ACH-000317,-1.2434036985246124
ACH-000318,-0.6609014630377874
ACH-000319,-1.0110105897835642
ACH-000320,-0.8987439167585335
ACH-000322,-0.797266089036827
ACH-000323,-1.213761645680638
ACH-000324,-0.7867153524023821
ACH-000329,-1.030282679564689
ACH-000330,-1.2090069823270662
ACH-000331,-0.9675993950595108
ACH-000332,-0.8721727999613924
ACH-000334,-0.6787604982407048
ACH-000335,-0.7562538941808252
ACH-000336,-0.97342997661704
ACH-000337,-1.1371446935543257
ACH-000338,-0.5858772506663388
ACH-000339,-0.9508447617686152
ACH-000341,-0.7812332567829767
ACH-000348,-0.791277089019639
ACH-000350,-0.7390705765430491
ACH-000352,-0.8510793424687204
ACH-000356,-0.8269226085548554
ACH-000361,-0.7280453474075145
ACH-000362,-0.8161937838861262
ACH-000363,-0.665788908321694
ACH-000364,-0.8135953530766737
ACH-000365,-0.8756430090427929
ACH-000366,-0.9118349120875162
ACH-000368,-0.8789540560289183
ACH-000374,-1.0457160420466811
ACH-000375,-0.7393936063132656
ACH-000376,-1.070256191579716
ACH-000381,-1.1413118212452942
ACH-000383,-0.4631718551031054
ACH-000387,-0.8519528626161321
ACH-000389,-0.8455579440227283
ACH-000390,-0.8804085973089666
ACH-000393,-0.9488515774856876
ACH-000395,-0.8814405893101195
ACH-000396,-1.0921662861031147
ACH-000397,-1.0120760965401376
ACH-000401,-0.7323169255149782
ACH-000402,-0.7842203829579855
ACH-000403,-0.9246220812868926
ACH-000404,-0.8511958945407556
ACH-000406,-0.9812744463531528
ACH-000407,-1.0624343986045306
ACH-000408,-1.0901295867309917
ACH-000410,-0.7832159393724393
ACH-000411,-0.7562015744168399
ACH-000414,-0.9095634416585416
ACH-000415,-0.992974755777256
ACH-000416,-0.7948024595475948
ACH-000420,-0.6919227152479256
ACH-000421,-0.7994723254950981
ACH-000424,-0.7935088626085451
ACH-000425,-0.8231077979648972
ACH-000426,-0.8909277509484216
ACH-000427,-0.5374107843671515
ACH-000433,-0.7474040256861175
ACH-000435,-0.8901697323658068
ACH-000436,-0.7329880921621048
ACH-000444,-1.0543988260457522
ACH-000445,-1.0754646911053516
ACH-000448,-1.0056046105471368
ACH-000450,-0.9760277421207344
ACH-000452,-0.7545716728601077
ACH-000454,-0.9342962030921872
ACH-000458,-0.8050573125144607
ACH-000459,-0.8721143139197041
ACH-000460,-0.903201576500745
ACH-000461,-0.8893739480510827
ACH-000463,-0.8425213173719016
ACH-000464,-0.9749489997493492
ACH-000466,-0.5983096864276541
ACH-000467,-0.9262636040330284
ACH-000468,-0.8112408682795429
ACH-000469,-1.069131658822342
ACH-000470,-0.9243666235597128
ACH-000471,-1.4353860598919856
ACH-000472,-0.7394909035747921
ACH-000473,-0.6777171173831866
ACH-000475,-0.7369062391411605
ACH-000476,-0.8743919258552967
ACH-000477,-0.7905329118447834
ACH-000479,-0.8840385539795045
ACH-000480,-1.064365068453963
ACH-000481,-0.5138423797874934
ACH-000483,-1.099053436422738
ACH-000484,-0.7419601179789753
ACH-000485,-0.9097675087522021
ACH-000486,-0.6650488213893395
ACH-000487,-0.8469430951285062
ACH-000488,-0.943914231957138
ACH-000490,-1.0646027491149952
ACH-000491,-0.5075234730859369
ACH-000495,-0.9819329431689706
ACH-000496,-1.068052239373432
ACH-000499,-0.7975710233391003
ACH-000500,-0.9118436363602536
ACH-000502,-0.999369306382965
ACH-000503,-0.8209060874040084
ACH-000505,-0.7016203112759191
ACH-000507,-0.9231395062474932
ACH-000510,-0.5312453254767582
ACH-000511,-1.1124576440701266
ACH-000512,-0.9017125321262596
ACH-000516,-0.9923493794403668
ACH-000517,-0.6827569726213732
ACH-000518,-1.011191790249962
ACH-000520,-0.610222116577599
ACH-000521,-1.0926751915764406
ACH-000522,-0.5319398690867437
ACH-000524,-0.6172062913625642
ACH-000527,-0.8156080373320894
ACH-000528,-0.801138238088412
ACH-000537,-1.1986418123887381
ACH-000541,-0.7289002243848571
ACH-000542,-0.8338270986007366
ACH-000544,-1.100606298119417
ACH-000545,-0.7449835365066462
ACH-000547,-0.8897761500013031
ACH-000548,-0.9442039912937912
ACH-000549,-0.6928781298237499
ACH-000550,-0.721625166539364
ACH-000552,-0.7766698964683192
ACH-000556,-0.9555369093270972
ACH-000557,-1.3106458362892075
ACH-000569,-1.153201502510471
ACH-000570,-0.9227901143041768
ACH-000571,-0.7941231543005004
ACH-000573,-1.0489696019915198
