,ALDOC (230)
ACH-000004,-0.21457723833111605
ACH-000005,-0.5462355571247302
ACH-000007,-0.011269388324566709
ACH-000009,-0.21936297910660146
ACH-000011,-0.24753772430777826
ACH-000012,-0.183344441553692
ACH-000013,-0.14040944339475733
ACH-000014,-0.06030540052755495
ACH-000015,-0.04857025715390218
ACH-000017,-0.21225006246642625
ACH-000018,-0.2582883006071561
ACH-000019,-0.33131981282055184
ACH-000021,-0.21196602665063646
ACH-000022,-0.4619795056895246
ACH-000025,0.06279747866651078
ACH-000028,-0.2509762773195419
ACH-000030,-0.2370231095460562
ACH-000035,-0.33399968890021964
ACH-000036,-0.2483148913653549
ACH-000037,-0.2302199967202527
ACH-000039,-0.14623710635593465
ACH-000040,-0.24471928339378984
ACH-000041,-0.3523473540993158
ACH-000042,-0.08453390723511756
ACH-000045,-0.10173029730429674
ACH-000047,-0.2004003468544239
ACH-000052,-0.11381471413633495
ACH-000053,-0.272749570657035
ACH-000054,-0.19359363950269406
ACH-000055,-0.10325370625544347
ACH-000060,-0.29343538526144713
ACH-000067,-0.3477474696808768
ACH-000070,-0.26808970120128056
ACH-000075,-0.07718498804484042
ACH-000078,-0.16975691430826506
ACH-000082,-0.18812427263915635
ACH-000085,-0.13166674746781376
ACH-000086,-0.10329571563299783
ACH-000087,-0.1028994530799794
ACH-000092,-0.053198424204575184
ACH-000095,-0.1701541513184439
ACH-000097,-0.32032911891847043
ACH-000098,-0.12264273440011635
ACH-000099,-0.04112175132440203
ACH-000108,-0.16520785685714015
ACH-000113,-0.2518672048756287
ACH-000116,-0.10286298721449284
ACH-000118,-0.12985144594283274
ACH-000120,-0.15050114401680462
ACH-000123,-0.3754299126753801
ACH-000127,-0.0474428634690884
ACH-000128,-0.17926186163677327
ACH-000132,-0.11052526329473247
ACH-000133,-0.18051742807179424
ACH-000137,-0.26516116697555325
ACH-000138,-0.061714067708201925
ACH-000142,-0.3090808661921563
ACH-000143,-0.2662624475632764
ACH-000146,-0.24689332444977305
ACH-000148,-0.2463782657445611
ACH-000150,-0.11022308700091994
ACH-000152,-0.2975689155217148
ACH-000153,-0.16948195783949496
ACH-000159,-0.1363348073326305
ACH-000160,-0.16103006352289326
ACH-000163,-0.3712037554846787
ACH-000167,0.07481579776840178
ACH-000168,-0.3230665726321454
ACH-000169,-0.17021315064650072
ACH-000178,0.018921629751497613
