,UBXN2B (137886)
ACH-000004,0.04467121057079136
ACH-000005,-0.2594171673785961
ACH-000007,0.013624383547833777
ACH-000009,0.03809069614531889
ACH-000011,0.09330230342703252
ACH-000012,-0.009484928160578946
ACH-000013,-0.05000447740510215
ACH-000014,0.1556278988439204
ACH-000015,0.07946621475792127
ACH-000017,0.09379379672732774
ACH-000018,-0.25931591021698114
ACH-000019,0.2382153782538857
ACH-000021,0.00972445113369258
ACH-000022,-0.0679153406060153
ACH-000025,-0.11665984290473562
ACH-000028,0.07415793124809912
ACH-000030,-0.030804909572911588
ACH-000035,-0.1193431756899286
ACH-000036,0.029157186024883926
ACH-000037,0.06383970447057505
ACH-000039,0.08189480270452762
ACH-000040,0.06463889516042096
ACH-000041,-0.03660681452303177
ACH-000042,-0.05559506005454113
ACH-000045,0.025688268070364232
ACH-000047,0.05946330712917167
ACH-000052,-0.009558406885863804
ACH-000053,-0.1061632737418794
ACH-000054,-0.17042571129294973
ACH-000055,0.13989295347957625
ACH-000060,-0.01767324415558383
ACH-000067,-0.031111947590714145
ACH-000070,-0.35100804057135765
ACH-000075,-0.021241692618540812
ACH-000078,0.0663029709469309
ACH-000082,0.04407848052890522
ACH-000085,0.13555920406159855
ACH-000086,0.1097560210218932
ACH-000087,-0.06111107534209565
ACH-000092,-0.11746251905563465
ACH-000095,0.08969109354627362
ACH-000097,-0.039072636808523485
ACH-000098,-0.05567080213403725
ACH-000099,0.044258568542954464
ACH-000108,0.05813555360034786
ACH-000113,-0.09378401306912376
ACH-000116,-0.003245379468337744
ACH-000118,-0.044280505693729655
ACH-000120,-0.06941487326222626
ACH-000123,0.058059295286442686
ACH-000127,-0.05231465138243704
ACH-000128,-0.011150802738856793
ACH-000132,0.04568882712386226
ACH-000133,0.0007641140885147992
ACH-000137,-0.3146710453635104
ACH-000138,0.00892319262951213
ACH-000142,0.02982077084567081
ACH-000143,-0.01412192285305621
ACH-000146,0.022340695497928782
ACH-000148,-0.05282349943428267
ACH-000150,0.001595408478801454
ACH-000152,-0.01516455489564698
ACH-000153,-0.13811359021938951
ACH-000159,-0.074271060686016
ACH-000160,-0.07984594606784386
ACH-000163,-0.05063556216866154
ACH-000167,-0.18994163234221448
ACH-000168,-0.0877807625928816
ACH-000169,-0.029392314425590725
ACH-000178,0.025922351879434476
ACH-000183,-0.09935544096474372
ACH-000188,-0.01053706007031013
ACH-000189,0.0007097138369554039
ACH-000190,-0.08855327969360616
ACH-000198,0.1358999956590019
ACH-000203,-0.3556484971312308
ACH-000204,0.0575270007190612
ACH-000206,0.06312652597045312
ACH-000207,-0.07996691578682437
ACH-000208,0.3806177914990304
ACH-000210,-0.11193218474477873
ACH-000211,0.04242691635365156
ACH-000215,0.0028978258091611987
ACH-000221,0.036401908985564994
ACH-000222,0.17633314282250734
