,ETFDH (2110)
ACH-000004,0.1800314934171475
ACH-000005,0.2472272854552393
ACH-000007,0.13786502563047734
ACH-000009,0.07085003979968058
ACH-000011,0.1780003651690754
ACH-000012,0.15520756352037196
ACH-000013,0.1830320670434025
ACH-000014,0.22704822787019965
ACH-000015,0.15741746014722094
ACH-000017,0.07117824888344564
ACH-000018,0.2185658926472372
ACH-000019,-0.10179528211252296
ACH-000021,0.15837771013622778
ACH-000022,0.02292328667450921
ACH-000025,0.17719433353041372
ACH-000028,0.05465283174022122
ACH-000030,0.16808840094230193
ACH-000035,0.17890478099119142
ACH-000036,0.13428175267404602
ACH-000037,0.07141576484727104
ACH-000039,0.2592167415513745
ACH-000040,0.17272320492089788
ACH-000041,0.1265151697826496
ACH-000042,0.14537302181544431
ACH-000045,0.3907005332200245
ACH-000047,0.16478069237053833
ACH-000052,0.03681283199712936
ACH-000053,0.15760743665771962
ACH-000054,0.1753707059470656
ACH-000055,0.09014139845624013
ACH-000060,0.027571691961559668
ACH-000067,0.2362034747832344
ACH-000070,0.2495119987349681
ACH-000075,0.035089798051982084
ACH-000078,0.02516192735471851
ACH-000082,0.1815338527019263
ACH-000085,0.20443176310775335
ACH-000086,0.2818326321887452
ACH-000087,0.2778867116927455
ACH-000092,0.07042602092588665
ACH-000095,0.1487509110472807
ACH-000097,0.1420438746058081
ACH-000098,0.1004402316502016
ACH-000099,0.1727986513916467
ACH-000108,0.12144709941098865
ACH-000113,0.17531191720540892
ACH-000116,0.14743576816361026
ACH-000118,0.1834286792478906
ACH-000120,0.06160145692497052
ACH-000123,0.11308280359098673
ACH-000127,0.13008238851172582
ACH-000128,0.20192273591134655
ACH-000132,0.1926268210956358
ACH-000133,0.02450740027408805
ACH-000137,0.22731137714155036
ACH-000138,0.10747455074952916
ACH-000142,0.2245600808021047
ACH-000143,0.14355198447907416
ACH-000146,0.1858918865735451
ACH-000148,0.10061762653950633
ACH-000150,0.15497783251512132
ACH-000152,0.05628464257894677
ACH-000153,0.15696099690762585
