,LRFN4 (78999)
ACH-000004,-0.10588752471767232
ACH-000005,-0.003231565788032139
ACH-000007,-0.08024020693273311
ACH-000009,-0.1070579467712648
ACH-000011,-0.11341321223191055
ACH-000012,-0.14499500486548944
ACH-000013,-0.12222623483690938
ACH-000014,0.1871953756632288
ACH-000015,-0.08399922584888041
ACH-000017,-0.2524398401042143
ACH-000018,-0.08359025900469548
ACH-000019,-0.3461435913119001
ACH-000021,-0.18993571610240007
ACH-000022,-0.18744132896203047
ACH-000025,-0.08221329730610058
ACH-000028,-0.21456087156141335
ACH-000030,-0.12385598502830256
ACH-000035,-0.001275653115388165
ACH-000036,-0.13769309840307026
ACH-000037,-0.23529514779161226
ACH-000039,-0.2744321104402053
ACH-000040,-0.2409944389785253
ACH-000041,-0.046381065432118784
ACH-000042,-0.2049038332649372
ACH-000045,-0.2254327009997267
ACH-000047,-0.02738002819034034
ACH-000052,-0.4745574487572056
ACH-000053,-0.1423348517870454
ACH-000054,-0.12427724784359097
ACH-000055,-0.19452399515771054
ACH-000060,-0.015097616200827585
ACH-000067,0.07506099599280186
ACH-000070,-0.06730309194598919
ACH-000075,-0.15452986902059498
ACH-000078,0.02673453724671876
ACH-000082,-0.2551062477135411
ACH-000085,-0.0523563620187832
ACH-000086,-0.22539385001141865
ACH-000087,-0.2720318300672861
ACH-000092,-0.1993587924059008
ACH-000095,-0.11067996988066317
ACH-000097,-0.4222323548664338
ACH-000098,-0.062070354402488176
ACH-000099,-0.06074054802048745
ACH-000108,-0.09417228415959318
ACH-000113,-0.059727223176196075
ACH-000116,-0.189999413246922
ACH-000118,-0.20616914083212529
ACH-000120,-0.10506923340764318
ACH-000123,-0.07669093377929878
ACH-000127,-0.2544493097676983
ACH-000128,0.0347266328877461
ACH-000132,-0.2546931780786591
ACH-000133,-0.2153938649220448
ACH-000137,-0.07205794156020302
ACH-000138,-0.20083984120326032
ACH-000142,-0.3141386287510337
ACH-000143,-0.2469061656078454
ACH-000146,-0.06705909887505365
ACH-000148,-0.10876304812310976
ACH-000150,-0.019607550412566413
ACH-000152,0.01052919252869782
ACH-000153,-0.2706297801124855
ACH-000159,-0.1278605749056419
ACH-000160,-0.2660822659627213
ACH-000163,-0.17123030023076766
ACH-000167,-0.2877154128274933
ACH-000168,-0.16950261549616585
ACH-000169,-0.3168582433158979
ACH-000178,-0.10097681097443642
ACH-000183,-0.1950057979429647
ACH-000188,-0.3095953134821905
ACH-000189,-0.255688161961083
ACH-000190,-0.2358957027421301
ACH-000198,-0.2622545268351055
ACH-000203,-0.4528687385592349
ACH-000204,-0.077511424033058
ACH-000206,-0.11836852230423014
ACH-000207,-0.4684351625563243
ACH-000208,-0.5284676192501794
ACH-000210,0.019272091737493703
ACH-000211,-0.1792222150888043
ACH-000215,-0.1515983008582353
ACH-000221,-0.140601811632227
ACH-000222,-0.12509323917813284
ACH-000223,-0.13753860016145247
ACH-000226,-0.05525746766799352
ACH-000227,-0.04980064887459215
ACH-000228,-0.2986199873836536
ACH-000231,-0.1709425562649434
ACH-000232,-0.13843293907885085
ACH-000233,-0.04566336796117852
ACH-000234,0.0016359801184759012
ACH-000235,-0.1420856491086276
ACH-000237,-0.21998523636418532
ACH-000238,-0.15943000386825834
ACH-000242,-0.10355696090217817
ACH-000243,-0.09235882126445304
ACH-000244,-0.12226775309552355
ACH-000246,-0.2007313366273578
ACH-000248,-0.1453075681533569
ACH-000250,-0.08616443141735358
ACH-000251,-0.2551481510450516
ACH-000252,-0.19745873965850771
ACH-000253,-0.11563406512835955
ACH-000255,-0.20241392085733168
ACH-000256,-0.2010550060293128
ACH-000257,-0.12603896571378692
ACH-000258,-0.2969816959169203
ACH-000259,-0.2126178916349707
ACH-000260,-0.1390874635852681
ACH-000261,-0.19718733381856648
ACH-000262,-0.24221802334296055
ACH-000263,-0.09285433392000858
ACH-000264,-0.1305572680570466
ACH-000265,-0.12938129462689424
ACH-000266,-0.17573114099554282
ACH-000272,-0.11083191619241416
ACH-000274,-0.09250613499155974
ACH-000277,-0.21308928635665567
ACH-000278,-0.08597284154897182
ACH-000279,-0.11759186128724206
ACH-000280,-0.18805135719410307
ACH-000281,-0.061390245955244935
ACH-000288,-0.1866411789821204
ACH-000291,-0.11539895354633285
ACH-000293,-0.20076832331868327
ACH-000294,-0.1194295581038432
ACH-000295,-0.16140541307143866
ACH-000296,0.016469057027385908
ACH-000302,-0.09697623352180318
ACH-000304,0.05861536644568351
ACH-000307,-0.11984838534042028
ACH-000308,-0.1894668741878078
ACH-000310,-0.11001891937782723
ACH-000311,-0.2546412172905652
ACH-000312,-0.2695698479375772
ACH-000315,-0.40764809982246397
ACH-000316,-0.051997170456985965
ACH-000317,-0.2852722127185785
ACH-000318,-0.3922318557261408
ACH-000319,-0.3147065992919669
ACH-000320,-0.32984072691819993
ACH-000322,-0.10970480890430556
ACH-000323,-0.14772844842165614
ACH-000324,-0.09762701109389947
ACH-000329,-0.07792390658700123
ACH-000330,-0.35659051940982583
ACH-000331,-0.17534268915527687
ACH-000332,-0.2334169633559724
ACH-000334,-0.2089501915054168
ACH-000335,-0.020827761158347963
ACH-000336,-0.4172316105904273
ACH-000337,-0.1275088159821736
ACH-000338,0.0472963551576473
ACH-000339,-0.09518746641880453
ACH-000341,-0.2972237403902899
ACH-000348,-0.08608508345355005
ACH-000350,-0.10612550272066608
ACH-000352,-0.19097050392557466
ACH-000356,-0.4936441694207522
ACH-000361,0.0631757573445602
ACH-000362,-0.06970631152434607
ACH-000363,-0.16533893226680094
ACH-000364,-0.4155373961444028
ACH-000365,-0.04109107646107688
ACH-000366,-0.3302156171278385
ACH-000368,-0.13343593956159064
ACH-000374,-0.36336646820274543
ACH-000375,-0.15170856141089534
ACH-000376,-0.06849660763431943
ACH-000381,0.057228807810850164
ACH-000383,-0.2116935829854209
ACH-000387,-0.0934016994289131
ACH-000389,-0.14466145402009847
ACH-000390,-0.28173039968296504
ACH-000393,-0.1700063221492158
ACH-000395,-0.1731653885162377
ACH-000396,0.2808946113590308
ACH-000397,-0.13859305987984213
ACH-000401,-0.1303965526425465
ACH-000402,-0.376709690415962
ACH-000403,-0.09866914837675247
ACH-000404,-0.2163879489120936
ACH-000406,-0.1347232050218118
ACH-000407,-0.34981497963984753
ACH-000408,-0.24395830027701534
ACH-000410,-0.20618578420153072
ACH-000411,-0.10827443858265176
ACH-000414,-0.06499259950672563
ACH-000415,-0.3885983875740123
ACH-000416,-0.17857737827893458
ACH-000420,-0.285451109062326
ACH-000421,-0.13765456466759113
ACH-000424,-0.01018528403948607
ACH-000425,-0.06372679334138291
ACH-000426,0.011936213598170556
ACH-000427,-0.2022366921187252
ACH-000433,-0.26598283176363524
ACH-000435,0.03350974702831782
ACH-000436,-0.2912100490231805
ACH-000444,-0.09172873726091954
ACH-000445,-0.026614490715569074
ACH-000448,-0.14782368975474067
ACH-000450,-0.10057373592101253
ACH-000452,-0.1295533507472125
ACH-000454,-0.07774860177097555
ACH-000458,-0.1345900222783347
ACH-000459,-0.15058953906329972
ACH-000460,-0.06872888254498134
ACH-000461,-0.2360040797704476
ACH-000463,-0.2084252404484995
ACH-000464,-0.13763495208188026
ACH-000466,-0.2825864119853383
ACH-000467,-0.2283226413050996
ACH-000468,-0.16687002410688828
ACH-000469,-0.1840582056784497
ACH-000470,-0.13931425259076327
ACH-000471,-0.04726692164948459
ACH-000472,-0.15695409443610775
ACH-000473,-0.21835064718651687
ACH-000475,-0.11812198824121467
ACH-000476,-0.16275840551906567
ACH-000477,-0.2673968850822358
ACH-000479,-0.1698052148054274
ACH-000480,-0.3180608460966242
ACH-000481,-0.2748580682005126
ACH-000483,-0.1282008998018243
ACH-000484,-0.3122035725727429
ACH-000485,-0.019253095502534654
ACH-000486,-0.4286336637547372
ACH-000487,-0.1578621827526109
ACH-000488,-0.11483459822774705
ACH-000490,-0.20002082417871803
ACH-000491,-0.1156606581422238
ACH-000495,-0.10258492902266136
ACH-000496,-0.2850498095359192
ACH-000499,-0.34624959424057866
ACH-000500,-0.08825948648047426
ACH-000502,-0.23376216835460284
ACH-000503,-0.1704105591207156
ACH-000505,-0.10908421646036306
ACH-000507,-0.3118192988062721
ACH-000510,-0.16366950441855793
ACH-000511,-0.1578859108776839
ACH-000512,0.0325604507632691
ACH-000516,-0.1441899750441457
ACH-000517,-0.18516452543370635
ACH-000518,-0.14907719074041126
ACH-000520,-0.025801811763730816
ACH-000521,-0.14093603154396078
ACH-000522,-0.1161554992662339
ACH-000524,-0.09505135868669952
ACH-000527,-0.19815885542095973
ACH-000528,-0.13651947503219602
ACH-000537,-0.2918130508408611
ACH-000541,-0.08406912535956211
ACH-000542,-0.22286512918162354
ACH-000544,-0.2805630411548577
ACH-000545,-0.28256652904664903
ACH-000547,-0.11368219466653087
ACH-000548,-0.2098846313366213
ACH-000549,-0.2302044279172127
ACH-000550,-0.13763264829505725
ACH-000552,-0.25007021862133
ACH-000556,-0.07498265067090823
ACH-000557,-0.04837446965863744
ACH-000569,-0.06632976667519186
