,DUS1L (64118)
ACH-000004,-0.09773585402320106
ACH-000005,-0.1024017308077454
ACH-000007,-0.032074279824959195
ACH-000009,-0.09814454283461156
ACH-000011,-0.14773710607546675
ACH-000012,-0.09059541800083874
ACH-000013,-0.19113273150929447
ACH-000014,-0.09300509520767034
ACH-000015,-0.05908185941453736
ACH-000017,-0.15887516792286172
ACH-000018,-0.28713095659382665
ACH-000019,-0.1476942852738878
ACH-000021,-0.019450804877740768
ACH-000022,0.027891140893170636
ACH-000025,-0.07641089292182816
ACH-000028,-0.1388412135632854
ACH-000030,-0.10535778656199284
ACH-000035,-0.041734880350890236
ACH-000036,-0.3098572208182939
ACH-000037,0.04174448643843617
ACH-000039,-0.06097539762473572
ACH-000040,-0.2531017073279009
ACH-000041,-0.3797286343320092
ACH-000042,-0.004549051440067646
ACH-000045,-0.3255838911158951
ACH-000047,0.005511715860216503
ACH-000052,-0.25217290807637466
ACH-000053,0.05985819044108664
ACH-000054,-0.01589543977669167
ACH-000055,-0.013389217067417957
ACH-000060,-0.13168092053087224
ACH-000067,-0.2003748289394336
ACH-000070,-0.20778669748575795
ACH-000075,-0.15678162943151808
ACH-000078,-0.07482357843262258
ACH-000082,-0.11757413949697612
ACH-000085,-0.1522366056388863
ACH-000086,0.06312894677279296
ACH-000087,-0.05379469847298452
ACH-000092,0.11763963835323152
ACH-000095,-0.171261777561184
ACH-000097,-0.15915760180059044
ACH-000098,-0.12681147211175073
ACH-000099,-0.050251325048283516
ACH-000108,-0.1547464171801911
ACH-000113,-0.02821968167895705
ACH-000116,-0.19316856567121446
ACH-000118,-0.0640924471737688
ACH-000120,-0.13334276760774114
ACH-000123,-0.13399750838766092
ACH-000127,-0.06375205030815295
ACH-000128,-0.047120060264847
ACH-000132,0.057809335671555814
ACH-000133,0.08325606392245312
ACH-000137,-0.013256014643371443
ACH-000138,-0.01826652706317261
ACH-000142,-0.19968932175686385
ACH-000143,0.15049414515898696
ACH-000146,-0.03133258212909969
ACH-000148,-0.07790391484183222
ACH-000150,-0.09661877937577576
ACH-000152,-0.03470458534848614
ACH-000153,0.003530730207631956
ACH-000159,-0.08868375601505883
ACH-000160,-0.03479367311176726
ACH-000163,-0.10337802161646238
ACH-000167,0.32211396858997743
ACH-000168,-0.16582708270593371
ACH-000169,-0.07650900348528829
ACH-000178,-0.11413962063357976
ACH-000183,-0.13590886634840402
ACH-000188,0.041837507433407785
ACH-000189,-0.15796460625924
ACH-000190,-0.11125575501982177
ACH-000198,-0.2313906616157479
ACH-000203,-0.2949518129256167
ACH-000204,-0.00887869415611083
ACH-000206,0.3271178900265991
ACH-000207,-0.2166099303398467
ACH-000208,-0.051275752717766285
ACH-000210,-0.08521601964935055
ACH-000211,-0.0342668049631307
ACH-000215,-0.12594045494688585
ACH-000221,-0.06903546495193143
ACH-000222,-0.2460171261985107
ACH-000223,0.06392691158700978
ACH-000226,-0.032362269702578536
ACH-000227,0.00013080262241870738
ACH-000228,-0.1088192926682376
ACH-000231,-0.09124504263910596
ACH-000232,-0.06253533591681748
ACH-000233,0.04553765856461446
ACH-000234,-0.09067466037238983
ACH-000235,-0.12495801065776295
ACH-000237,-0.03307396784141348
ACH-000238,0.026253327607944296
ACH-000242,0.011778943202510977
ACH-000243,-0.19241237128217625
ACH-000244,-0.07053685574997537
ACH-000246,-0.12723152898572748
ACH-000248,-0.11721140980136975
ACH-000250,-0.1218987275561869
ACH-000251,-0.21536029503679416
ACH-000252,0.09329536713658093
ACH-000253,-0.05074877824931298
ACH-000255,-0.0013344586668168018
ACH-000256,-0.0686282063936876
ACH-000257,-0.11623146662597487
ACH-000258,-0.2924497295798695
ACH-000259,-0.2185967492709985
ACH-000260,-0.18643086013468174
ACH-000261,-0.1956103044734536
ACH-000262,-0.13496497848163266
ACH-000263,-0.06674664786902197
ACH-000264,-0.20027349715560733
ACH-000265,-0.03438111781891487
ACH-000266,-0.15735391320902545
ACH-000272,-0.10328783867589768
ACH-000274,-0.14390996297443245
ACH-000277,-0.2227175045113068
ACH-000278,0.03211866695989945
ACH-000279,-0.23742482205484905
ACH-000280,-0.054645532851830235
ACH-000281,-0.22191437723146853
ACH-000288,-0.207655128356288
ACH-000291,-0.03569275378844538
ACH-000293,-0.002643909546905533
ACH-000294,-0.06275204738733117
ACH-000295,0.08355344933033865
ACH-000296,-0.11353845262897228
ACH-000302,-0.10948730144363412
ACH-000304,-0.03176500808007987
ACH-000307,-0.1124087622333555
ACH-000308,0.012316764739243927
ACH-000310,-0.18866988767296955
ACH-000311,-0.28736123620334597
ACH-000312,-0.21307379994125197
ACH-000315,-0.1343701606888517
ACH-000316,-0.1802009175999921
ACH-000317,-0.0191404500704704
ACH-000318,0.054284929102965424
ACH-000319,-0.2136627919871928
ACH-000320,-0.2508410956102357
ACH-000322,-0.12154963455998735
ACH-000323,-0.16777917839559606
ACH-000324,-0.13395613434786147
ACH-000329,-0.05814245639980532
ACH-000330,-0.03146082438752668
ACH-000331,-0.034053206231865085
ACH-000332,-0.10543368496268334
ACH-000334,-0.03290596853171117
ACH-000335,-0.1210803356572499
ACH-000336,0.14258367473378053
ACH-000337,-0.3109347301436972
ACH-000338,0.20232948520990704
ACH-000339,-0.010774714864627336
ACH-000341,-0.00333002479214679
ACH-000348,-0.020917788589579992
ACH-000350,-0.1341358529841822
ACH-000352,-0.25951900812239576
ACH-000356,-0.15378614513155225
ACH-000361,-0.3870208567623896
ACH-000362,-0.06872797672937829
ACH-000363,-0.0576250228435401
ACH-000364,-0.2064713408045893
ACH-000365,0.0021274778218266835
ACH-000366,-0.12602957968449752
ACH-000368,0.01724493993945377
ACH-000374,-0.17891091830611788
ACH-000375,-0.0851226849226239
ACH-000376,-0.11411122407409377
ACH-000381,-0.005977652282726749
ACH-000383,-0.12320967039647755
ACH-000387,-0.16973030549433102
ACH-000389,-0.020898474428494487
ACH-000390,0.02134991703431813
ACH-000393,-0.1949779495811908
ACH-000395,-0.19104814494012032
ACH-000396,0.03001965768635888
ACH-000397,-0.11542478352698388
ACH-000401,-0.12212169962472527
ACH-000402,0.1872789215772355
ACH-000403,-0.1393716403795944
ACH-000404,-0.09545089171643914
ACH-000406,-0.0030204294568754765
ACH-000407,-0.15585544823159192
ACH-000408,-0.20925166756830996
ACH-000410,0.03292853230547016
ACH-000411,-0.15882086021786193
ACH-000414,0.0014745781276571186
ACH-000415,-0.0894342540408727
ACH-000416,-0.09487391819215388
ACH-000420,-0.08671736720081988
ACH-000421,-0.15731082967920304
ACH-000424,0.19515829314836636
ACH-000425,-0.14055347338098378
ACH-000426,-0.15432295018672532
ACH-000427,0.010849165500121922
ACH-000433,0.03689332328143942
ACH-000435,-0.2763915219477732
ACH-000436,0.09116655492671566
ACH-000444,-0.19516768110544466
ACH-000445,-0.2266769206108221
