,CR1 (1378)
ACH-000004,0.00980617327246898
ACH-000005,0.032081367661307585
ACH-000007,0.40105026330024734
ACH-000009,0.06485730464697133
ACH-000011,-0.12442953196743745
ACH-000012,0.16946843892860095
ACH-000013,0.11525318862511898
ACH-000014,-0.08136276815690771
ACH-000015,0.16428856553032364
ACH-000017,0.13167645781513526
ACH-000018,0.2619780945378158
ACH-000019,-0.09251869602420212
ACH-000021,0.06282272422330089
ACH-000022,0.12596305667799054
ACH-000025,0.15258468778317388
ACH-000028,0.06839906343438472
ACH-000030,0.2830522972078297
ACH-000035,0.3845370264480545
ACH-000036,-0.14879098563301715
ACH-000037,0.20580191885747665
ACH-000039,0.0759365106404458
ACH-000040,0.00404478687112352
ACH-000041,0.10133376088740416
ACH-000042,0.16437505185328344
ACH-000045,-0.06438349234375923
ACH-000047,0.2301130276782921
ACH-000052,-0.11576062690225886
ACH-000053,0.2025513768599302
ACH-000054,0.1250497408567426
ACH-000055,0.04506957842707245
ACH-000060,0.26022204280124506
ACH-000067,0.2468121946954652
ACH-000070,0.08383002611334077
ACH-000075,0.015537735730277731
ACH-000078,-0.03104249981387744
ACH-000082,0.07376917487582384
ACH-000085,0.2017914526784901
ACH-000086,-0.1539731043318204
ACH-000087,0.174106088601078
ACH-000092,0.10289088320677732
ACH-000095,-0.14199406620196312
ACH-000097,-0.007984226043424839
ACH-000098,0.11689261145984815
ACH-000099,0.09383130708079614
ACH-000108,-0.022438593207977225
ACH-000113,-0.2127387426574888
ACH-000116,0.23258139071872955
ACH-000118,0.25583847839134743
ACH-000120,-0.1397454246194213
ACH-000123,0.03245907388448556
ACH-000127,0.09561863995498088
ACH-000128,0.13624541956602984
ACH-000132,-0.05513165334850816
ACH-000133,0.20464204757601545
ACH-000137,0.3644984757265044
ACH-000138,0.1841755687434669
ACH-000142,0.0124306117602737
ACH-000143,0.09991597874704172
ACH-000146,0.1110073635045782
ACH-000148,0.04682350802306754
ACH-000150,0.23045733977918034
ACH-000152,0.0663233975578342
ACH-000153,0.18908746943139934
ACH-000159,0.07997982127320981
ACH-000160,-0.011808677359636026
ACH-000163,0.0584531416486223
ACH-000167,0.18181173665054615
ACH-000168,0.1263590303794174
ACH-000169,0.027960729867013017
ACH-000178,0.2280323201051975
ACH-000183,0.16555932447084082
ACH-000188,0.03313273675937736
ACH-000189,0.13138736904375234
ACH-000190,0.2337487663895124
ACH-000198,-0.08296480359394365
ACH-000203,0.2948151165308545
ACH-000204,0.15409297674918354
ACH-000206,0.07953178362491094
ACH-000207,0.02054574093304461
ACH-000208,0.6131513231949154
ACH-000210,-0.20372016999502893
ACH-000211,0.11446026426616755
ACH-000215,0.018252508170283555
ACH-000221,0.3257140596264362
ACH-000222,0.0011780744717677085
ACH-000223,0.1327611310296956
ACH-000226,-0.30207225458985193
ACH-000227,0.11914096541364201
ACH-000228,-0.15031338377271508
ACH-000231,0.27391132803337664
ACH-000232,0.12870720070945355
ACH-000233,0.0007859202909831117
ACH-000234,0.08933778783966183
ACH-000235,0.04399279182841702
ACH-000237,-0.004789635963921417
ACH-000238,0.19007543783597752
ACH-000242,0.4291322286586052
ACH-000243,0.08754648338624857
ACH-000244,-0.06612608937467923
ACH-000246,0.12549159907414134
ACH-000248,0.09114316176100437
ACH-000250,0.08976539382381066
ACH-000251,0.5378782469301671
ACH-000252,0.05056220687370302
ACH-000253,0.10196056985880524
ACH-000255,0.20347157318941728
ACH-000256,-0.12041085162427972
ACH-000257,0.3688187379763391
ACH-000258,0.031652810000410404
ACH-000259,0.10683740397605228
ACH-000260,0.15762941557268656
ACH-000261,0.13561385995836042
ACH-000262,-0.01512791841338837
ACH-000263,0.0011040256179730733
ACH-000264,0.1784549746355774
ACH-000265,0.3601374307249281
ACH-000266,0.08251407083035385
ACH-000272,0.03410006220478118
ACH-000274,0.14840407935082175
ACH-000277,0.18950723464110072
ACH-000278,0.11895409283571992
ACH-000279,0.2364217350216199
ACH-000280,0.010658071577755092
ACH-000281,0.3007077457162541
