,PPCDC (60490)
ACH-000004,-0.5343192688305795
ACH-000005,-0.466999090887244
ACH-000007,-0.14116530652119544
ACH-000009,-0.15775466673962604
ACH-000011,-0.09371684738380773
ACH-000012,0.1085901451088267
ACH-000013,-0.01359614458500317
ACH-000014,-0.4745199952967633
ACH-000015,-0.032711980468559915
ACH-000017,-0.360416384226496
ACH-000018,-0.12189967233809018
ACH-000019,-0.29561837091431026
ACH-000021,-0.12582742724643933
ACH-000022,-0.15558722690429647
ACH-000025,-0.19489313287015791
ACH-000028,-0.418569598093017
ACH-000030,-0.7881600372970581
ACH-000035,-0.2256559968716224
ACH-000036,0.10769583087134367
ACH-000037,-0.1904645886077092
ACH-000039,-0.17454981853195814
ACH-000040,-0.2600936092178346
ACH-000041,-0.17888603885298354
ACH-000042,-0.30592045196774154
ACH-000045,-0.7639326643202419
ACH-000047,-0.609877764450905
ACH-000052,-0.3437136840689401
ACH-000053,-0.3124891046687584
ACH-000054,-0.0012377622592666846
ACH-000055,-0.1976025242075034
ACH-000060,-0.021219457827367068
ACH-000067,-0.2562559624763711
ACH-000070,-0.4214895182574869
ACH-000075,-0.2106257743437491
ACH-000078,-0.035309109268803214
ACH-000082,-0.1153476531966818
ACH-000085,0.19700884477471894
ACH-000086,-0.12613034968235673
ACH-000087,-0.14244646407132525
ACH-000092,-0.17641921851841744
ACH-000095,0.1269898982401679
ACH-000097,-0.3089035565694947
ACH-000098,-0.054912712935843024
ACH-000099,0.010003434116156769
ACH-000108,-0.38258442932026815
ACH-000113,-0.5081995685555426
ACH-000116,-0.07119113620394706
ACH-000118,-0.6427859347915036
ACH-000120,-0.14216250831800886
ACH-000123,0.045596652080885314
ACH-000127,-0.06654032589579814
ACH-000128,-0.2745928004913752
ACH-000132,-0.26699521634209245
ACH-000133,-0.10282448927461643
ACH-000137,-0.344321892892455
ACH-000138,-0.138133374154038
ACH-000142,0.06288351147118988
ACH-000143,0.020030720680455586
ACH-000146,-0.27396582867280395
ACH-000148,-0.1753899022197186
ACH-000150,0.17564251140727818
ACH-000152,-0.1430989252718191
ACH-000153,-0.3037835581515727
ACH-000159,-0.2255409232377485
ACH-000160,-0.1822874034536292
ACH-000163,-0.2728201920656877
ACH-000167,-0.4453437044520845
ACH-000168,-0.22087632295534168
ACH-000169,-0.07181081877882034
ACH-000178,-0.18543031962896855
ACH-000183,-0.6919804708863728
ACH-000188,0.030785526540234125
ACH-000189,-0.2418759192603241
ACH-000190,-0.18117485609259304
ACH-000198,-0.6761320667295077
ACH-000203,-0.07759351317577799
ACH-000204,-0.3921391515073853
ACH-000206,-0.5729160632138434
ACH-000207,-0.3080377735961963
ACH-000208,0.02582279978429012
ACH-000210,-0.2003816422456373
ACH-000211,-0.10263555806166856
ACH-000215,-0.09015358904853814
ACH-000221,0.008456625828018304
ACH-000222,-0.5721438482061089
ACH-000223,-0.3308807752649473
ACH-000226,-0.666138795055289
ACH-000227,-0.1135548745248292
ACH-000228,-0.1157017112830695
ACH-000231,-0.0973141813918586
ACH-000232,0.14812173067893392
ACH-000233,-0.6481946332132532
ACH-000234,-0.27352970441063396
ACH-000235,-0.2575843443486748
ACH-000237,-0.17121912158738084
ACH-000238,-0.12330182562766895
ACH-000242,-0.2300311083028614
ACH-000243,-0.054080391043691584
ACH-000244,-0.11676677176481964
ACH-000246,-0.10085233408627524
ACH-000248,-0.7260689813056928
ACH-000250,-0.025920823278385158
ACH-000251,-0.4514395627649547
ACH-000252,0.02731077809361916
ACH-000253,-0.1052998161835316
ACH-000255,-0.02393762787835841
ACH-000256,-0.12648165182967278
