,ENKD1 (84080)
ACH-000004,-0.2507500286218153
ACH-000005,0.03013138850595245
ACH-000007,-0.2357465224945241
ACH-000009,-0.1699883419404471
ACH-000011,-0.17644600209112116
ACH-000012,-0.38984673094053546
ACH-000013,-0.2219560421830382
ACH-000014,-0.198294005515562
ACH-000015,-0.28202580913833025
ACH-000017,-0.1960549289103736
ACH-000018,-0.2746017474599679
ACH-000019,-0.2643789835787513
ACH-000021,-0.23844265428936026
ACH-000022,-0.2023106330412156
ACH-000025,-0.09111401633119733
ACH-000028,-0.12102243177795564
ACH-000030,-0.2425324474760437
ACH-000035,-0.1327396522456753
ACH-000036,-0.3683916186135512
ACH-000037,-0.15457459261831916
ACH-000039,-0.2232411054499775
ACH-000040,-0.14454965915982845
ACH-000041,-0.174764567975407
ACH-000042,-0.2114298039036409
ACH-000045,-0.273577835101933
ACH-000047,-0.2204811775699917
ACH-000052,-0.10285854815510964
ACH-000053,-0.297867435301948
ACH-000054,-0.25500643960298314
ACH-000055,-0.041199430499562685
ACH-000060,-0.3744602658769648
ACH-000067,-0.2770542407413386
ACH-000070,-0.0975051443554528
ACH-000075,-0.3304338084671493
ACH-000078,-0.3036318136183745
ACH-000082,-0.2377428427888058
ACH-000085,-0.29156426558386783
ACH-000086,-0.3625313806082071
ACH-000087,-0.023797040014765392
ACH-000092,-0.21948970223181194
ACH-000095,-0.2550909419177554
ACH-000097,-0.3291202973274419
ACH-000098,-0.4183393538025317
ACH-000099,-0.2962434322747304
ACH-000108,-0.2486840382647064
ACH-000113,-0.2569840458366101
ACH-000116,-0.26127911376941604
ACH-000118,-0.22042149140307396
ACH-000120,-0.3756392819842346
ACH-000123,-0.31080369247476536
ACH-000127,-0.33217844582954226
ACH-000128,-0.1187086194466616
ACH-000132,-0.35981860912361674
ACH-000133,-0.1797409391669892
ACH-000137,-0.34715756791892033
ACH-000138,-0.22243636206990985
ACH-000142,-0.19924787557408796
ACH-000143,-0.22714741356033025
ACH-000146,-0.32739466058802624
ACH-000148,-0.2707053181920064
ACH-000150,-0.17020117498231746
ACH-000152,-0.3161708325451537
ACH-000153,-0.13492535823454932
ACH-000159,-0.19815445233550455
ACH-000160,-0.1815415960929056
ACH-000163,-0.04588896795860785
ACH-000167,-0.043105613680322535
ACH-000168,-0.3690994299476128
ACH-000169,-0.0729280270428402
ACH-000178,-0.27515518951750084
ACH-000183,-0.1839123698598504
ACH-000188,-0.16580080445388642
ACH-000189,-0.2596118761244315
ACH-000190,-0.147131776403009
ACH-000198,-0.16142962251716014
ACH-000203,-0.3583133601284619
ACH-000204,-0.3123876951992092
ACH-000206,-0.2435155327777775
ACH-000207,-0.11126962312387624
ACH-000208,-0.15799090143154787
ACH-000210,-0.32504789383177696
