,KLF1 (10661)
ACH-000004,-0.44767173344724304
ACH-000005,-0.8320571564203989
ACH-000007,0.0027123145094182185
ACH-000009,-0.002048051744779248
ACH-000011,-0.4241595721347344
ACH-000012,-0.2112289222999713
ACH-000013,-0.10953286088159976
ACH-000014,-0.2036012333395045
ACH-000015,-0.422977064140918
ACH-000017,-0.32507192113452416
ACH-000018,-0.3677437104090505
ACH-000019,-0.3164413593293948
ACH-000021,-0.3707195679174994
ACH-000022,-0.13924556202559335
ACH-000025,-0.2382458530117729
ACH-000028,-0.20135157644312374
ACH-000030,-0.14525985799148924
ACH-000035,-0.2952372818130053
ACH-000036,-0.20112248758071774
ACH-000037,-0.13820445264087214
ACH-000039,-0.17610891129171138
ACH-000040,-0.2163065371811008
ACH-000041,-0.0951716810480377
ACH-000042,-0.21062425907515775
ACH-000045,-0.27996250233212505
ACH-000047,-0.2534192874092733
ACH-000052,-0.19734618950303004
ACH-000053,-0.222157859288455
ACH-000054,-0.18341491571207985
ACH-000055,-0.2009702867332338
ACH-000060,-0.04641868204195924
ACH-000067,-0.19338363545256515
ACH-000070,-0.2291998951877077
ACH-000075,-0.03468807463838691
ACH-000078,-0.2401951448852205
ACH-000082,-0.10233887525910684
ACH-000085,-0.35721117267661673
ACH-000086,-0.0789287050025883
ACH-000087,-0.33725436797019925
ACH-000092,-0.22335379156118448
ACH-000095,-0.2569644431415133
ACH-000097,-0.1016611820683064
ACH-000098,-0.3003524389135008
ACH-000099,-0.2004659949752053
ACH-000108,-0.38842732813307856
ACH-000113,-0.200812098406492
ACH-000116,-0.28035484359752416
ACH-000118,-0.2308468855064157
ACH-000120,-0.20259602969387167
ACH-000123,-0.11853168163530314
ACH-000127,-0.17681669814163795
ACH-000128,-0.3748421467745587
ACH-000132,-0.1101107448620088
ACH-000133,-0.2255130774365096
ACH-000137,-0.2294037726756716
ACH-000138,-0.16614466426796806
ACH-000142,-0.16818341503186265
ACH-000143,-0.3340047864661406
ACH-000146,-0.19119409927202347
ACH-000148,-0.19136812138818796
ACH-000150,-0.32089220962439424
ACH-000152,-0.2034123444203868
ACH-000153,-0.17040634554549702
ACH-000159,-0.20072104745331493
ACH-000160,0.08255823984348823
ACH-000163,-0.4660125568130359
ACH-000167,0.3985543178160605
ACH-000168,-0.2584866426654168
ACH-000169,-0.16303605507306845
ACH-000178,-0.11187102013004548
ACH-000183,-0.17575059792998207
ACH-000188,-0.5233746339819474
ACH-000189,-0.2097250915477208
ACH-000190,0.09315731029300076
ACH-000198,-0.14279725105456978
