,SGCA (6442)
ACH-000004,-0.2680805556532321
ACH-000005,-0.19757093943500986
ACH-000007,-0.01156294042634859
ACH-000009,-0.3184583341760614
ACH-000011,-0.3625607451653346
ACH-000012,-0.3402492322172141
ACH-000013,-0.26939265703658044
ACH-000014,0.12552518551345787
ACH-000015,-0.05098800954326035
ACH-000017,-0.2322650125032882
ACH-000018,-0.2902355218652597
ACH-000019,-0.2286587983395053
ACH-000021,-0.2424986399912156
ACH-000022,-0.21225095821304624
ACH-000025,-0.1575569092021221
ACH-000028,-0.25865194587623824
ACH-000030,-0.22504344040147425
ACH-000035,-0.2343099950630537
ACH-000036,-0.1140782864867482
ACH-000037,0.025957601663505667
ACH-000039,-0.12166411157950675
ACH-000040,-0.01985700966432853
ACH-000041,-0.13323623842616464
ACH-000042,-0.2960023724900208
ACH-000045,-0.24848859055984185
ACH-000047,-0.3103787617541567
ACH-000052,-0.3857963921409453
ACH-000053,-0.18991593128592374
ACH-000054,-0.2418012183932011
ACH-000055,-0.2732862533417606
ACH-000060,-0.14912035641959004
ACH-000067,-0.3432469074169735
ACH-000070,0.021913276652905333
ACH-000075,-0.05556444774285109
ACH-000078,-0.3995131666390853
ACH-000082,-0.11760278590501462
ACH-000085,-0.24892755540998304
ACH-000086,-0.23852238521576674
ACH-000087,-0.1188452558051388
ACH-000092,-0.35217960990524155
ACH-000095,-0.22826127426581824
ACH-000097,-0.2544618221631589
ACH-000098,-0.20934094006078535
ACH-000099,-0.2393258767839115
ACH-000108,-0.1922217692427227
ACH-000113,-0.18494438034817365
ACH-000116,-0.2869938776212141
ACH-000118,-0.13121141917239876
ACH-000120,-0.3725689604016925
ACH-000123,-0.23816908000807274
ACH-000127,-0.11848492553189276
ACH-000128,-0.1680622692752263
ACH-000132,-0.21254491294234015
ACH-000133,-0.03127436459531508
ACH-000137,-0.12557078358598125
ACH-000138,-0.34812970625867096
ACH-000142,-0.36273637399616665
ACH-000143,-0.35461410064517673
ACH-000146,-0.03961065045911377
ACH-000148,-0.15754181348120708
ACH-000150,-0.3716707960272152
ACH-000152,-0.2168928777179299
ACH-000153,0.07093480502384097
ACH-000159,-0.2709959913744135
ACH-000160,-0.22169557877620774
ACH-000163,-0.2807821365533213
ACH-000167,0.07160939615900064
ACH-000168,-0.325687538033134
ACH-000169,-0.23948663945962895
ACH-000178,-0.14571546186770878
ACH-000183,0.06928565069021073
ACH-000188,-0.39667327705720096
ACH-000189,-0.2645015529418255
ACH-000190,-0.12449511117777615
ACH-000198,-0.13147999227730434
ACH-000203,-0.5438726485955592
ACH-000204,-0.12668364667083068
ACH-000206,0.13054888783890786
ACH-000207,-0.20462128365853
ACH-000208,-0.32932320231190065
ACH-000210,-0.02483054513923444
ACH-000211,-0.19635009054621086
ACH-000215,-0.18501744479595575
ACH-000221,-0.12316555332370226
ACH-000222,-0.2139846190645008
ACH-000223,-0.07768390077102756
ACH-000226,-0.35830880498027873
ACH-000227,-0.2029280585410008
ACH-000228,-0.2563106585569488
ACH-000231,-0.2141215621565474
ACH-000232,-0.11528880961814635
ACH-000233,-0.3033394015565886
ACH-000234,-0.28920694741288605
ACH-000235,-0.17146551636027607
ACH-000237,-0.20413062830622447
ACH-000238,-0.3319351985353917
ACH-000242,-0.16793039056392106
ACH-000243,-0.348462808755112
ACH-000244,-0.1229808368705904
ACH-000246,-0.24955356471786766
ACH-000248,-0.18777556348171726
ACH-000250,-0.3524648171066475
ACH-000251,-0.1224753467138188
ACH-000252,-0.22115780086406966
ACH-000253,-0.20682223880240086
ACH-000255,-0.1533778329211885
ACH-000256,-0.4475356343167076
ACH-000257,-0.2898517775030239
ACH-000258,-0.2361981297120471
ACH-000259,-0.1960023020878035
ACH-000260,-0.16273115241225952
ACH-000261,-0.08090259610195184
ACH-000262,-0.043638542603007466
ACH-000263,0.011728257626214829
ACH-000264,-0.2342150880353976
ACH-000265,-0.13196694990655156
ACH-000266,-0.20445510689088564
ACH-000272,-0.1559864489260491
ACH-000274,-0.2558208806158839
ACH-000277,-0.4250853032216797
ACH-000278,-0.2537945446664726
ACH-000279,-0.15070617931497138
ACH-000280,-0.2503919460252708
ACH-000281,-0.19356766601858186
