,MIS12 (79003)
ACH-000004,-0.4866563194630582
ACH-000005,-0.7419934222376721
ACH-000007,-0.4965665535392551
ACH-000009,-0.8897200472997276
ACH-000011,-0.3864642293146742
ACH-000012,-0.5461758047632752
ACH-000013,-0.7831275490238023
ACH-000014,-0.4214022178101292
ACH-000015,-0.6231709465462671
ACH-000017,-0.6476928334731131
ACH-000018,-0.6224575652987829
ACH-000019,-0.6225096787791957
ACH-000021,-0.5083108786794376
ACH-000022,-0.7928022007411268
ACH-000025,-0.6460564438657406
ACH-000028,-0.5773087542036424
ACH-000030,-0.4824258983930783
ACH-000035,-0.6940719467053125
ACH-000036,-0.6324754836862359
ACH-000037,-0.6749927358876715
ACH-000039,-0.7563444569217883
ACH-000040,-0.5960145473882196
ACH-000041,-0.8775977300918903
ACH-000042,-0.5909523049876468
ACH-000045,-0.464747062747969
ACH-000047,-0.4667185693326218
ACH-000052,-0.712258785285282
ACH-000053,-0.8861621922781356
ACH-000054,-0.6450026740711204
ACH-000055,-0.5841643836655181
ACH-000060,-0.8787961060724555
ACH-000067,-0.7219019139681125
ACH-000070,-0.6062400502999238
ACH-000075,-0.8330394965053235
ACH-000078,-0.7126801993992471
ACH-000082,-0.5602144166907183
ACH-000085,-0.5125764324066191
ACH-000086,-0.742327548083464
ACH-000087,-0.5128772600737446
ACH-000092,-0.4384975261101597
ACH-000095,-0.7459799378869988
ACH-000097,-0.5857103042857905
ACH-000098,-0.6719927302314292
ACH-000099,-0.7535430740410327
ACH-000108,-0.6052164146862535
ACH-000113,-0.4391220596796366
ACH-000116,-0.8279299918907528
ACH-000118,-0.5273378128220416
ACH-000120,-0.3929146018779627
ACH-000123,-0.5925738928307708
ACH-000127,-0.410105853828378
ACH-000128,-0.6535320494008829
ACH-000132,-0.8736809536554191
ACH-000133,-0.7230861168241631
ACH-000137,-0.6766534893433189
ACH-000138,-0.6080339776335307
ACH-000142,-0.6538212433773493
ACH-000143,-0.6248077208772218
ACH-000146,-0.5955665778263821
ACH-000148,-0.4466248840954538
ACH-000150,-0.6205293643212278
ACH-000152,-0.53604912230035
ACH-000153,-0.8216874157003652
ACH-000159,-0.5171680983862109
ACH-000160,-0.6579968026831899
ACH-000163,-0.5370100983389751
ACH-000167,-0.7381018489655551
ACH-000168,-0.7440650119718907
ACH-000169,-0.6997480726283521
ACH-000178,-0.6096438777140627
ACH-000183,-0.6240914403351707
ACH-000188,-0.589987596646886
ACH-000189,-0.6119543960368572
ACH-000190,-0.6430289269793377
ACH-000198,-0.530368088369154
ACH-000203,-0.7750174334119005
ACH-000204,-0.5840312176803807
ACH-000206,-0.7048655929179243
ACH-000207,-0.6200500153927332
ACH-000208,-0.5450691158823039
ACH-000210,-0.6184756265312644
ACH-000211,-0.6795501968460069
ACH-000215,-0.71475879615094
ACH-000221,-0.8231539326499134
ACH-000222,-0.4272433309397775
ACH-000223,-0.3982979185991746
ACH-000226,-0.6198269171546934
ACH-000227,-0.6463793086221221
ACH-000228,-0.881865506645856
ACH-000231,-0.8837111665206091
ACH-000232,-0.5576348248487196
ACH-000233,-0.7287759547865323
ACH-000234,-0.6098343927469579
ACH-000235,-0.5676992563668984
ACH-000237,-0.5541438078314949
ACH-000238,-0.6307175754370911
ACH-000242,-0.4649188061409698
ACH-000243,-0.674688553023985
ACH-000244,-0.6519292633920432
ACH-000246,-0.6888794085825535
ACH-000248,-0.8456090335826754
ACH-000250,-0.6682881579903117
ACH-000251,-0.8312616116300919
ACH-000252,-0.618908553067107
ACH-000253,-0.5376531734925631
ACH-000255,-0.4795767364437711
ACH-000256,-0.6671600300420754
ACH-000257,-0.6603447471631401
ACH-000258,-0.5378717956431844
ACH-000259,-0.4191914754793343
ACH-000260,-0.8798189702788923
ACH-000261,-0.6730065499938419
ACH-000262,-0.6419047395431711
ACH-000263,-0.8556436779909808
ACH-000264,-0.921963827614884
ACH-000265,-0.4817813703425046
ACH-000266,-0.7069794500802434
ACH-000272,-0.5534910681735129
ACH-000274,-0.6218808882563381
ACH-000277,-0.5742236742475408
ACH-000278,-0.7503826667474043
ACH-000279,-0.78397842782759
ACH-000280,-0.7110579848259488
ACH-000281,-0.768996181261515
ACH-000288,-0.6371903226743998
ACH-000291,-0.5565607116889925
ACH-000293,-0.6163798022195945
ACH-000294,-0.6353898756518144
ACH-000295,-0.7681616513414666
ACH-000296,-0.8339989709339781
ACH-000302,-0.6508006044062236
ACH-000304,-0.3918082267979873
ACH-000307,-0.4423337530576064
ACH-000308,-0.6913793140008497
ACH-000310,-0.8318721722292791
ACH-000311,-0.5951363152548468
ACH-000312,-0.6932359512468709
ACH-000315,-0.3660763976755556
ACH-000316,-0.5431495340396408
ACH-000317,-0.369778720063402
ACH-000318,-0.7125706440436129
ACH-000319,-0.5232747636131517
ACH-000320,-0.5408405196957871
ACH-000322,-0.6010931408139194
ACH-000323,-0.8332971489668715
ACH-000324,-0.7379832679395129
ACH-000329,-0.6886614454373989
ACH-000330,-0.8096121548624836
ACH-000331,-0.6905457158985896
ACH-000332,-0.6398019988993268
ACH-000334,-0.5042155589567441
ACH-000335,-0.36564260388145375
ACH-000336,-0.509795598169575
ACH-000337,-0.7204855665043992
ACH-000338,-0.9656068625673618
ACH-000339,-0.5820147225649646
ACH-000341,-0.7579621590188097
ACH-000348,-0.59268980583686
ACH-000350,-0.4351504939592509
ACH-000352,-0.7231717247933694
ACH-000356,-0.5381221046734493
ACH-000361,-0.5211275122623312
ACH-000362,-0.6675057855923497
ACH-000363,-0.7219354315481946
ACH-000364,-0.8386207662115409
ACH-000365,-0.5487877909983486
ACH-000366,-0.4987018658135852
ACH-000368,-0.4063955387670748
ACH-000374,-0.8584856039961041
ACH-000375,-0.5298068050065498
ACH-000376,-0.6459314015623625
ACH-000381,-0.7396989355202076
ACH-000383,-0.5120219613553204
ACH-000387,-0.7931512388724283
ACH-000389,-0.6276715208544362
ACH-000390,-0.5603154164328961
ACH-000393,-0.8349208087904026
ACH-000395,-0.9160600415437296
ACH-000396,-0.8492876435637374
ACH-000397,-0.9160739211646172
ACH-000401,-0.3196146334516208
ACH-000402,-0.14951719159559387
ACH-000403,-0.7609896488870312
ACH-000404,-0.5169729985281107
ACH-000406,-0.5603332040239751
ACH-000407,-0.5811052186136242
ACH-000408,-0.6923950567562904
ACH-000410,-0.7408851536768429
ACH-000411,-0.8129517295096366
ACH-000414,-0.3101199120552183
ACH-000415,-0.5774506817999466
ACH-000416,-0.5814706728108723
ACH-000420,-0.6498488087366001
ACH-000421,-0.6914994188396036
ACH-000424,-0.4842875671476729
ACH-000425,-0.4430749603352815
ACH-000426,-0.5016097763877939
ACH-000427,-0.6033532720044353
ACH-000433,-0.5562800739690369
ACH-000435,-0.7445234742081891
ACH-000436,-0.6032388452456487
ACH-000444,-0.6602943720052513
ACH-000445,-0.7187722718182811
ACH-000448,-0.6008472291148736
ACH-000450,-0.3250226217354045
ACH-000452,-0.5420148217602296
ACH-000454,-0.5220431646734216
ACH-000458,-0.5669142199416886
ACH-000459,-0.359504081545882
ACH-000460,-0.8042206657736352
ACH-000461,-0.5520019299759952
ACH-000463,-0.6449763743468161
ACH-000464,-0.5104867988588206
ACH-000466,-0.5329483933851845
ACH-000467,-0.7707310033320016
ACH-000468,-0.7290330559186192
ACH-000469,-0.5519348855819852
