,INS (3630)
ACH-000004,-0.0991711917329157
ACH-000005,-0.5060845440277467
ACH-000007,-0.4451168590807389
ACH-000009,-0.4466844725549504
ACH-000011,-0.2797836931531111
ACH-000012,-0.2694645479249397
ACH-000013,-0.22038468780907944
ACH-000014,-0.20765921989385944
ACH-000015,-0.1632955895340421
ACH-000017,-0.2424121987688681
ACH-000018,-0.23590661578333916
ACH-000019,-0.5331340272691845
ACH-000021,-0.37349898070244414
ACH-000022,-0.3707359793071243
ACH-000025,-0.21671783215742912
ACH-000028,-0.5798892877759845
ACH-000030,-0.4080972338650977
ACH-000035,-0.19262707162226572
ACH-000036,-0.4517748489613004
ACH-000037,-0.12138097257226753
ACH-000039,-0.40736019532391576
ACH-000040,-0.3345505278729271
ACH-000041,-0.2097632626183972
ACH-000042,-0.4717943867924129
ACH-000045,-0.2383645407723516
ACH-000047,-0.4402159365270684
ACH-000052,-0.3413579680974483
ACH-000053,-0.25826164127896833
ACH-000054,-0.16793069683065415
ACH-000055,-0.11603174564379642
ACH-000060,-0.34230119000997866
ACH-000067,-0.33922642160487665
ACH-000070,-0.2622303453959408
ACH-000075,-0.20674286436362804
ACH-000078,-0.4226339652706168
ACH-000082,-0.2503782679613957
ACH-000085,-0.3602854065951327
ACH-000086,-0.3598713550441719
ACH-000087,-0.5384314784238786
ACH-000092,-0.2392321474117838
ACH-000095,-0.31028366806537977
ACH-000097,-0.29878819282673263
ACH-000098,-0.2352293695654078
ACH-000099,-0.3931972728527052
ACH-000108,-0.31486931094588577
ACH-000113,-0.2759857005331515
ACH-000116,-0.25988918799945393
ACH-000118,-0.29572853576099506
ACH-000120,-0.3588371393585768
ACH-000123,-0.3611512273715965
ACH-000127,-0.1367186398393668
ACH-000128,-0.17129786773827385
ACH-000132,-0.33124661814649103
ACH-000133,-0.2844153126889999
ACH-000137,-0.20534243087534176
ACH-000138,-0.2839129391999222
ACH-000142,-0.5330580432487836
ACH-000143,-0.3464388502427436
ACH-000146,-0.25867514912629863
ACH-000148,-0.2775369052839423
ACH-000150,-0.1722690682837648
ACH-000152,-0.1957838096526342
ACH-000153,-0.02689764402819281
ACH-000159,-0.2929410649249279
ACH-000160,-0.33823049178497405
ACH-000163,-0.2318859863673096
ACH-000167,-0.21983968163696946
ACH-000168,-0.15030421691389642
ACH-000169,-0.3954647685903973
ACH-000178,-0.19382778918158175
ACH-000183,-0.30809659623727964
ACH-000188,-0.42762246285484296
ACH-000189,-0.5229848358170669
ACH-000190,-0.2191017179466933
ACH-000198,-0.3336626832114208
ACH-000203,0.2566849053637445
ACH-000204,-0.17412919233412086
ACH-000206,-0.024737084980831704
ACH-000207,-0.3311244886569002
ACH-000208,-0.453885065460758
ACH-000210,-0.35817760599258697
ACH-000211,-0.3099841810595475
ACH-000215,-0.2827123331502879
ACH-000221,-0.1848308223595988
ACH-000222,-0.5658306012786828
ACH-000223,-0.3148853091469449
ACH-000226,-0.1423580351020422
ACH-000227,-0.5629120989700586
ACH-000228,-0.26527159740777817
ACH-000231,-0.4008301943119385
ACH-000232,-0.3816814042558455
ACH-000233,-0.3198897526170604
ACH-000234,-0.16943371791524595
ACH-000235,-0.2630169678154134
ACH-000237,-0.31150518290055024
ACH-000238,-0.4844017314074614
ACH-000242,-0.5371870794570895
ACH-000243,-0.2720722827179973
ACH-000244,-0.22063854884636228
ACH-000246,-0.4353729608939193
ACH-000248,-0.10734181485290577
ACH-000250,-0.3810760957465942
ACH-000251,-0.44798923336094254
ACH-000252,-0.2668087491511846
ACH-000253,-0.4166996276282247
ACH-000255,-0.19290083292035784
ACH-000256,-0.4246709426873332
ACH-000257,-0.395264669916448
ACH-000258,-0.5943427775808907
ACH-000259,-0.3338611347770889
ACH-000260,-0.4096510241085592
ACH-000261,-0.3223869287366532
ACH-000262,-0.4466647934312995
ACH-000263,-0.5170369144714437
ACH-000264,-0.2610368188931805
ACH-000265,-0.31185730038776355
ACH-000266,-0.35039844228619155
ACH-000272,-0.2271839742946734
ACH-000274,-0.4547505744326386
ACH-000277,-0.4692960792194506
ACH-000278,-0.3250060436716571
ACH-000279,-0.1613549963822325
ACH-000280,-0.3952016357422567
ACH-000281,-0.3126594501249682
ACH-000288,-0.25535401477523945
ACH-000291,-0.30453866219396986
ACH-000293,-0.4159526684369265
ACH-000294,-0.14960264617622454
ACH-000295,-0.3429812845632845
ACH-000296,-0.2923218849928434
ACH-000302,-0.19925247078282365
ACH-000304,-0.15997069733558694
ACH-000307,-0.3063160790779259
ACH-000308,-0.3221024441155995
ACH-000310,-0.20266303698083568
ACH-000311,-0.5435089531102331
ACH-000312,-0.30813740077131685
ACH-000315,-0.24481520502181064
ACH-000316,-0.2572752560238598
ACH-000317,-0.11524492665932574
ACH-000318,-0.2670705740343122
ACH-000319,-0.5238208142154571
ACH-000320,-0.16831213122501945
ACH-000322,-0.34514130741092736
ACH-000323,-0.2222910430281904
ACH-000324,-0.25008010486357884
ACH-000329,-0.1795220663596774
ACH-000330,-0.2555839866646248
ACH-000331,-0.25314991256516084
ACH-000332,-0.2872949402576794
ACH-000334,-0.4325450841282032
ACH-000335,-0.11168674238829056
ACH-000336,-0.0938220973024453
ACH-000337,-0.3861515643897398
ACH-000338,-0.7340424402341386
ACH-000339,-0.2522535466917867
ACH-000341,-0.36497940197610207
ACH-000348,-0.16866897037065273
ACH-000350,-0.3895934232367189
ACH-000352,-0.30809465934511904
ACH-000356,-0.4221221468027841
ACH-000361,-0.3537366439742377
ACH-000362,-0.2534485051709089
ACH-000363,-0.4539868821692538
ACH-000364,-0.2057841225110889
ACH-000365,-0.311933868989606
ACH-000366,-0.2698367246178422
