,ZC3H11A (9877)
ACH-000004,-0.33011058217489325
ACH-000005,0.013984766419967348
ACH-000007,-0.4583461717832246
ACH-000009,-0.3793449605348673
ACH-000011,-0.28472609367885343
ACH-000012,-0.2994144536196958
ACH-000013,-0.2636112024531595
ACH-000014,-0.2499170309653244
ACH-000015,-0.2770009461252901
ACH-000017,-0.4185088083053462
ACH-000018,-0.30630194112848497
ACH-000019,-0.6179451432773929
ACH-000021,-0.4931560381958421
ACH-000022,-0.2346771869547932
ACH-000025,-0.21270838040863874
ACH-000028,-0.20023552594522148
ACH-000030,-0.2677350166841034
ACH-000035,-0.3944407775933613
ACH-000036,-0.4532128338063367
ACH-000037,-0.3112726724819029
ACH-000039,-0.25336357066842363
ACH-000040,-0.29839833747533884
ACH-000041,-0.11354777149731295
ACH-000042,-0.3672776000324541
ACH-000045,-0.16058328113963155
ACH-000047,-0.466604617093281
ACH-000052,-0.34961555395615096
ACH-000053,-0.4338965811903476
ACH-000054,-0.21917248973832595
ACH-000055,-0.19317697072132928
ACH-000060,-0.36511738558017603
ACH-000067,-0.5610496363300049
ACH-000070,-0.5256186246588133
ACH-000075,-0.08337070716248861
ACH-000078,-0.1072385612683077
ACH-000082,-0.3438674153004593
ACH-000085,-0.3492405337057381
ACH-000086,-0.4947938477434958
ACH-000087,-0.015995406215018642
ACH-000092,-0.5179112739734693
ACH-000095,-0.4998472125007462
ACH-000097,-0.42314980689550935
ACH-000098,-0.23992160596622256
ACH-000099,-0.3985983901190759
ACH-000108,-0.6768133942074992
ACH-000113,-0.8800281277270733
ACH-000116,-0.17556479833018399
ACH-000118,-0.6344194301180903
ACH-000120,-0.35947624218186586
ACH-000123,-0.27956373105359683
ACH-000127,-0.3077296860128901
ACH-000128,-0.25000756752583997
ACH-000132,-0.5489902561548123
ACH-000133,-0.4028524069095588
ACH-000137,-0.4018954259768166
ACH-000138,-0.32644866326919564
ACH-000142,-0.3804434530886857
ACH-000143,-0.03321187865529615
ACH-000146,-0.37072316568380703
ACH-000148,-0.3168954249879465
ACH-000150,-0.4024679877230168
ACH-000152,-0.2470419308397437
ACH-000153,-0.4625536838639909
ACH-000159,-0.2757322100876789
ACH-000160,-0.3232400188849933
ACH-000163,-0.4694432730371987
ACH-000167,-0.5824509879317172
ACH-000168,-0.4579072592566134
ACH-000169,-0.3960978160682956
ACH-000178,-0.2625410236464725
ACH-000183,-0.3212516228240688
ACH-000188,-0.3574374335446812
ACH-000189,-0.5911359309645546
ACH-000190,-0.07791746522606305
ACH-000198,-0.7003460225598286
ACH-000203,-0.6334944602255802
ACH-000204,-0.23369337001434656
ACH-000206,-0.4999950655567105
ACH-000207,-0.2851357972278897
ACH-000208,-0.07320833259204844
ACH-000210,-0.3290875612347788
ACH-000211,-0.37305623856227743
ACH-000215,-0.4216914574692242
ACH-000221,-0.07585022717633184
ACH-000222,-0.1479264970459756
ACH-000223,-0.3910605484347946
ACH-000226,-0.4825501402799595
ACH-000227,-0.3915790291116053
ACH-000228,-0.2870457952610054
ACH-000231,-0.3446907714711793
ACH-000232,-0.16816707493968552
ACH-000233,-0.3453039762546888
ACH-000234,-0.368065503973786
ACH-000235,-0.35614215556684764
ACH-000237,-0.21034689435222206
ACH-000238,-0.2827861572986164
ACH-000242,-0.7214345084525406
ACH-000243,-0.4187693500481797
ACH-000244,-0.3366207341384148
ACH-000246,-0.2522103589122488
ACH-000248,-0.32701091772179763
ACH-000250,-0.3157090051316017
ACH-000251,0.0474753081183873
ACH-000252,-0.3098860591443739
ACH-000253,-0.19407657876450968
ACH-000255,-0.317663660564592
ACH-000256,-0.18816398351599573
ACH-000257,-0.5809287565560455
ACH-000258,-0.3870701295346928
ACH-000259,-0.13590452330696212
ACH-000260,-0.26003994043530965
ACH-000261,-0.3416941253170264
ACH-000262,-0.3828501959728377
ACH-000263,-0.4172402914860777
ACH-000264,-0.4542616967699611
ACH-000265,-0.4825712839343016
ACH-000266,-0.2779628973636564
ACH-000272,-0.5072215561158235
ACH-000274,-0.1321503315320232
ACH-000277,-0.03714672602430033
ACH-000278,-0.5066107611812052
ACH-000279,-0.17113986698622882
ACH-000280,-0.3153027737779985
ACH-000281,-0.3451505569641128
ACH-000288,-0.2478108536581689
ACH-000291,-0.1606757001959306
ACH-000293,-0.3426085681316041
ACH-000294,-0.32866597371469725
ACH-000295,-0.3273951227671163
ACH-000296,-0.5672230339416714
ACH-000302,-0.13365935391101672
ACH-000304,-0.3410234918748785
ACH-000307,-0.2538605884450055
ACH-000308,-0.1671490329876643
ACH-000310,-0.11161396242102957
ACH-000311,-0.2390843385274541
ACH-000312,-0.23381425303958295
ACH-000315,-0.2615569407442764
ACH-000316,-0.1833174280817775
ACH-000317,-0.2123602494754211
ACH-000318,-0.4292087836086349
ACH-000319,-0.4895743784638177
ACH-000320,-0.439134388556318
ACH-000322,-0.4462098121250738
ACH-000323,-0.5132384819675421
ACH-000324,-0.2773016729893379
ACH-000329,-0.3873785900079527
ACH-000330,-0.5176798457383253
ACH-000331,-0.3102980414414364
ACH-000332,-0.3358460720875521
ACH-000334,-0.4416458049431246
ACH-000335,-0.2994848934814696
ACH-000336,-0.5691474039677593
ACH-000337,-0.5724995673643782
ACH-000338,-0.2137314359940136
ACH-000339,-0.30458423568558585
ACH-000341,-0.3116139012827524
ACH-000348,-0.3571871964181029
ACH-000350,-0.2918015546475762
ACH-000352,-0.39001681269482746
ACH-000356,-0.4731891720092554
ACH-000361,-0.4390145045580528
ACH-000362,-0.5177753036022766
ACH-000363,-0.3120827730722774
ACH-000364,-0.29175354625538896
ACH-000365,-0.1477715028040316
ACH-000366,-0.35879578410944457
ACH-000368,-0.479249157571776
ACH-000374,-0.2508529291038218
ACH-000375,-0.5993568178692675
ACH-000376,-0.49343717462109105
ACH-000381,-0.7971365443340033
ACH-000383,-0.1505112399128188
ACH-000387,-0.17172457956859166
ACH-000389,-0.21747657356257827
ACH-000390,-0.37516869475899056
ACH-000393,-0.4283420547990332
ACH-000395,-0.1188089142459368
ACH-000396,-0.17852244029370418
ACH-000397,-0.21343348761903425
ACH-000401,-0.5677399714006168
ACH-000402,-0.5947055461501667
ACH-000403,-0.5025226860965923
ACH-000404,-0.3515263700329159
ACH-000406,-0.3358444074282413
ACH-000407,-0.34812261776553993
ACH-000408,-0.3837303641817069
ACH-000410,-0.4771634027352646
ACH-000411,-0.2664853512496688
ACH-000414,-0.25327035173646884
ACH-000415,-0.32119951342186825
ACH-000416,-0.2942861338461282
ACH-000420,-0.3093666165390915
ACH-000421,-0.16968321557197988
ACH-000424,-0.048051260457927486
ACH-000425,-0.13315747336576225
ACH-000426,-0.4033477150059631
ACH-000427,-0.16193388276874285
ACH-000433,-0.2806981936740949
ACH-000435,-0.5812963314631978
ACH-000436,-0.2593581118681647
ACH-000444,-0.6716252468100314
ACH-000445,-0.4788045103093593
ACH-000448,-0.26417776978963303
