,TBC1D10C (374403)
ACH-000004,0.028817960494867175
ACH-000005,-0.08854931289699962
ACH-000007,-0.0669319571050395
ACH-000009,-0.10095569062777764
ACH-000011,-0.08970677776784727
ACH-000012,-0.11019860466259443
ACH-000013,-0.14544616475599262
ACH-000014,0.06655787249812258
ACH-000015,-0.04792932584417097
ACH-000017,-0.05668872068836455
ACH-000018,-0.2865941903533489
ACH-000019,-0.04062268423303172
ACH-000021,-0.14220059163751808
ACH-000022,-0.20179710237761525
ACH-000025,-0.026241326241533577
ACH-000028,-0.15264210146243232
ACH-000030,-0.09476147201305614
ACH-000035,-0.002285983890505559
ACH-000036,-0.08688035768407414
ACH-000037,-0.11748009520327993
ACH-000039,-0.2181475854892448
ACH-000040,-0.07697149271634697
ACH-000041,-0.23428010374410704
ACH-000042,-0.21539550511407707
ACH-000045,-0.0814452177395306
ACH-000047,-0.08471591508402875
ACH-000052,-0.1551464061781509
ACH-000053,-0.043092426095367634
ACH-000054,-0.0968255108381706
ACH-000055,-0.08114870982956382
ACH-000060,-0.06084778338628154
ACH-000067,0.0774642142642855
ACH-000070,-0.2113552330575573
ACH-000075,-0.12773573228527896
ACH-000078,-0.11683895968740307
ACH-000082,-0.21441911347242285
ACH-000085,-0.3259184647243668
ACH-000086,-0.11258148947089816
ACH-000087,-0.021781182630911087
ACH-000092,-0.06863226403253614
ACH-000095,-0.12820943154838818
ACH-000097,-0.36528255923997976
ACH-000098,-0.04620061772781407
ACH-000099,-0.05019689377368322
ACH-000108,-0.15081745046556402
ACH-000113,-0.1206164918817305
ACH-000116,-0.2703361613082253
ACH-000118,-0.19629258466453264
ACH-000120,0.02185623535970396
ACH-000123,-0.1909188654607378
ACH-000127,-0.0844734140777463
ACH-000128,-0.09528342879706486
ACH-000132,-0.2885512255461188
ACH-000133,-0.17603476754470845
ACH-000137,-0.1043723825716202
ACH-000138,-0.3310170610918773
ACH-000142,-0.14564809702247655
ACH-000143,-0.11214843201942408
ACH-000146,-0.07157387574922314
ACH-000148,-0.0945282955546618
ACH-000150,-0.10676846962350224
ACH-000152,-0.17993019607121416
ACH-000153,-0.19387256857761734
ACH-000159,-0.07295322595110543
ACH-000160,-0.4941328310112183
ACH-000163,-0.06786532438200624
ACH-000167,-0.2577958989648856
ACH-000168,-0.008822799355735045
ACH-000169,-0.19116985721296
ACH-000178,-0.08169975802222185
ACH-000183,-0.22476079707738605
ACH-000188,-0.2684344950515034
ACH-000189,-0.10091370127746463
ACH-000190,0.06806008861210452
ACH-000198,-0.05538561982963351
ACH-000203,0.08270309804774667
ACH-000204,-0.15770832119841074
ACH-000206,-0.09258237021459023
ACH-000207,-0.4566644697852874
ACH-000208,-0.2102168302722636
ACH-000210,-0.12264346461350382
ACH-000211,-0.11263763076092492
ACH-000215,-0.12091730970145775
ACH-000221,-0.015580276712815332
ACH-000222,-0.17404242462410607
ACH-000223,-0.06490754296885169
ACH-000226,-0.08839945466036615
ACH-000227,-0.058361686172627124
ACH-000228,-0.34021538941755153
ACH-000231,-0.115349234981691
ACH-000232,-0.08391853909116248
ACH-000233,-0.11698564370694955
ACH-000234,-0.12630011522393975
ACH-000235,-0.1497132692502519
ACH-000237,-0.06305677768935529
ACH-000238,-0.2691267802400137
ACH-000242,-0.3516172315799238
ACH-000243,-0.08667329571609855
ACH-000244,0.03529147878668742
ACH-000246,-0.1471742213014916
ACH-000248,-0.06655080686039441
ACH-000250,-0.1148943736259178
ACH-000251,-0.1847844171079786
ACH-000252,-0.16794572298868146
ACH-000253,-0.03487722615548538
ACH-000255,-0.2554295770178715
ACH-000256,-0.07188694225618472
ACH-000257,0.01957489982670261
ACH-000258,-0.008713464486745556
ACH-000259,-0.08818657371892437
ACH-000260,-0.14110641941025065
ACH-000261,-0.13756374975622926
ACH-000262,-0.06799436196243921
ACH-000263,-0.11331245763231855
ACH-000264,-0.07474700064195197
ACH-000265,-0.1210168181674313
ACH-000266,-0.25985112785587205
ACH-000272,0.013775566485027035
ACH-000274,-0.002591393665558781
ACH-000277,-0.20725532892407092
ACH-000278,-0.08147699346048007
ACH-000279,0.04173702965277736
ACH-000280,-0.15158471523155292
ACH-000281,-0.195319868572832
ACH-000288,-0.09278027693608266
ACH-000291,-0.08291006539179882
ACH-000293,-0.3123138778718525
ACH-000294,-0.028315991025839975
ACH-000295,-0.18165887164779565
ACH-000296,-0.05502976697613897
ACH-000302,-0.11454787317995345
ACH-000304,-0.24973352184073802
ACH-000307,-0.16357775212846545
ACH-000308,-0.20063365785790488
ACH-000310,0.0220186118796158
ACH-000311,-0.04461144445308937
ACH-000312,-0.24865480259554165
ACH-000315,-0.03820238589874028
ACH-000316,-0.19658371809947053
ACH-000317,-0.1652919443850483
ACH-000318,-0.2594980267847286
ACH-000319,-0.1500749560847416
ACH-000320,-0.08486859356899717
ACH-000322,-0.08739546321337949
ACH-000323,-0.14568364318419086
ACH-000324,-0.11759667930816672
ACH-000329,-0.008755034251162206
ACH-000330,-0.2478568351284224
ACH-000331,-0.08044993432941383
ACH-000332,-0.20358392231672096
ACH-000334,-0.0675530896380044
ACH-000335,-0.15423353917667332
ACH-000336,-0.2687737295967303
ACH-000337,-0.23210417085429305
ACH-000338,-0.2277561381801817
ACH-000339,-0.08387578366138891
ACH-000341,-0.2955627831469744
ACH-000348,0.00018872967810818115
ACH-000350,-0.18033757160060895
ACH-000352,-0.24051315319538016
ACH-000356,-0.5598498930382599
ACH-000361,0.013369375965967616
ACH-000362,-0.04237719767047556
ACH-000363,-0.09944087042640948
ACH-000364,-0.11216052070493718
ACH-000365,-0.0658185713765002
ACH-000366,-0.22077046737357348
ACH-000368,-0.13535153706804318
ACH-000374,-0.19066707935006813
ACH-000375,-0.13512022229674606
ACH-000376,-0.031722380217983834
ACH-000381,-0.1134225578390631
ACH-000383,-0.1656943273500287
ACH-000387,-0.04035369004778441
ACH-000389,-0.036969819710640284
