,GEMIN6 (79833)
ACH-000004,-0.9693866172155048
ACH-000005,-0.581784127527713
ACH-000007,-0.9397843892904796
ACH-000009,-0.8886684926477298
ACH-000011,-0.7516546045724909
ACH-000012,-0.7098136587616201
ACH-000013,-1.1138906972863862
ACH-000014,-1.0466613379736136
ACH-000015,-0.9497815461232271
ACH-000017,-0.8163713609609577
ACH-000018,-1.1831883690337592
ACH-000019,-0.595748182024697
ACH-000021,-0.7327322722744534
ACH-000022,-0.8068246455080003
ACH-000025,-0.7943211961637543
ACH-000028,-0.8099241700537759
ACH-000030,-0.8326938365713563
ACH-000035,-0.9629767013720154
ACH-000036,-1.014656875088526
ACH-000037,-0.8900971294665257
ACH-000039,-0.9452760899275184
ACH-000040,-1.077159219054803
ACH-000041,-1.0764720375555006
ACH-000042,-0.8147963230811668
ACH-000045,-0.7329458162276863
ACH-000047,-0.7913556514422612
ACH-000052,-0.8420684344126436
ACH-000053,-0.6483723560282629
ACH-000054,-0.683222744028139
ACH-000055,-0.5470012827562601
ACH-000060,-0.9133143549532772
ACH-000067,-1.050659689608524
ACH-000070,-0.8048807370153821
ACH-000075,-0.7041762560618611
ACH-000078,-0.9241873376680138
ACH-000082,-0.5027328134928974
ACH-000085,-0.9423347326807432
ACH-000086,-0.8764072326763157
ACH-000087,-1.119320167086653
ACH-000092,-0.9289057309698644
ACH-000095,-0.7314902768144163
ACH-000097,-0.6478759309707101
ACH-000098,-0.8966448915387689
ACH-000099,-0.8646269393856951
ACH-000108,-0.7343702831442588
ACH-000113,-0.9417701885253342
ACH-000116,-0.8828652891273369
ACH-000118,-0.8469601257835024
ACH-000120,-0.9607609204852694
ACH-000123,-0.7133584543944902
ACH-000127,-0.9152112877197284
ACH-000128,-1.2034043433695212
ACH-000132,-0.7882077965349421
ACH-000133,-1.08189622382837
ACH-000137,-1.047356541612786
ACH-000138,-0.8631926018898355
ACH-000142,-0.7112847588993233
ACH-000143,-0.7887294443011684
ACH-000146,-1.0680892533647484
ACH-000148,-0.8073969141538259
ACH-000150,-0.7459069734608533
ACH-000152,-1.0305673101565636
ACH-000153,-0.7609398905096589
ACH-000159,-0.6395236166790487
ACH-000160,-0.8256425255096361
ACH-000163,-0.8571392322687429
ACH-000167,-0.6961351040659751
ACH-000168,-1.053003860072826
ACH-000169,-0.9293622560641348
ACH-000178,-1.0212971344678723
ACH-000183,-1.026207528375954
ACH-000188,-1.0076720346627095
ACH-000189,-0.8067127841109064
ACH-000190,-1.0704071617967348
ACH-000198,-0.6953937892371835
ACH-000203,-0.766090672053198
ACH-000204,-0.8763943114543957
ACH-000206,-0.8423186631294458
ACH-000207,-0.7448522648663187
ACH-000208,-1.2705812198023827
ACH-000210,-0.6886075868469886
ACH-000211,-0.7515909855927992
ACH-000215,-1.09184292771632
ACH-000221,-1.0189326732323374
ACH-000222,-0.8147233935589695
ACH-000223,-0.9182025068486486
ACH-000226,-0.7277625705987802
ACH-000227,-0.8077830176551054
ACH-000228,-0.9621007237762582
ACH-000231,-0.997508774320576
ACH-000232,-0.8588833178056147
ACH-000233,-0.7999099969169801
ACH-000234,-0.7131339935205451
ACH-000235,-0.7375641797657808
ACH-000237,-1.027580259325598
ACH-000238,-0.8003115610236419
ACH-000242,-0.6713526149906986
ACH-000243,-0.9661911147189748
ACH-000244,-0.6628279784024502
ACH-000246,-0.7841564778660581
ACH-000248,-1.0364258402440758
ACH-000250,-0.8095566424015804
ACH-000251,-0.9528503589872188
ACH-000252,-0.7792767085312775
ACH-000253,-0.9640513768548572
ACH-000255,-0.9857092356294832
ACH-000256,-1.068634167426798
ACH-000257,-0.7412583388758308
ACH-000258,-0.6940224808931107
ACH-000259,-0.7277795285346679
ACH-000260,-0.9301755352139114
ACH-000261,-0.8496141821526623
ACH-000262,-0.7457065043443877
ACH-000263,-0.7113645813797521
ACH-000264,-0.8903220978479184
ACH-000265,-0.7253913396090333
ACH-000266,-0.918756969733468
ACH-000272,-0.7431481014193824
ACH-000274,-0.8183822184482866
ACH-000277,-0.5415319199102514
ACH-000278,-0.9795308380188742
ACH-000279,-1.064640882231258
ACH-000280,-0.6672294852807524
ACH-000281,-0.9584690752954412
ACH-000288,-0.9174930898454148
ACH-000291,-1.0202596638621677
ACH-000293,-0.5857467773801339
ACH-000294,-1.1842615770034184
ACH-000295,-0.8681705002070512
ACH-000296,-0.9358662159115884
ACH-000302,-0.6527278105180048
ACH-000304,-0.8735406594370632
ACH-000307,-0.8258804651863825
ACH-000308,-0.8831194869413574
ACH-000310,-0.5349514442383247
ACH-000311,-0.7769875686264481
ACH-000312,-0.8355554464490432
ACH-000315,-0.9957621074995444
ACH-000316,-0.7870782699692748
ACH-000317,-0.8506469273705733
ACH-000318,-0.9776376554720384
ACH-000319,-1.1809772815073558
ACH-000320,-0.7243610411974682
ACH-000322,-1.1363129917198127
ACH-000323,-0.911560821689408
ACH-000324,-0.8130175904191151
ACH-000329,-0.65772504084974
ACH-000330,-0.9652127031753148
ACH-000331,-0.9864332619068826
ACH-000332,-0.9414216965079594
ACH-000334,-0.7089777435038249
ACH-000335,-0.8927405278432943
ACH-000336,-0.7817845120437922
ACH-000337,-1.1739478128574772
ACH-000338,-0.8111065340037027
ACH-000339,-1.0220418928816084
ACH-000341,-0.9561047104513472
ACH-000348,-0.9062174128560658
ACH-000350,-0.4439894148328956
ACH-000352,-0.7485998784368004
ACH-000356,-1.0990850549570021
ACH-000361,-0.7231464534689949
ACH-000362,-0.9065781148664012
ACH-000363,-0.31285378698492106
ACH-000364,-0.8384593090596192
ACH-000365,-0.8529222939605422
ACH-000366,-0.9982793851083336
ACH-000368,-1.2077731967930547
ACH-000374,-0.9824089135364076
ACH-000375,-0.8316986379547917
ACH-000376,-0.8525886330675165
ACH-000381,-0.9281520352780368
ACH-000383,-0.5643211110613863
ACH-000387,-0.7607523934422016
ACH-000389,-0.801097480004514
ACH-000390,-0.9112968802623744
ACH-000393,-0.5471038704207282
ACH-000395,-1.0656599531731703
ACH-000396,-0.7004033009369265
ACH-000397,-0.8058542576864729
ACH-000401,-0.8983837688200057
ACH-000402,-0.9186567953719882
ACH-000403,-0.8285718006294794
ACH-000404,-0.8829209271573298
ACH-000406,-0.6936124639686586
ACH-000407,-0.7879255022503818
ACH-000408,-0.9575953637550708
ACH-000410,-0.9612778433461084
ACH-000411,-0.7452970667558033
ACH-000414,-0.8127963673263109
ACH-000415,-0.8026850479930365
ACH-000416,-0.8515298391176608
ACH-000420,-0.7036080658580929
ACH-000421,-0.9491180073640378
ACH-000424,-0.8936959014151397
ACH-000425,-0.6847848322169643
ACH-000426,-0.5886473844849017
ACH-000427,-0.709713867581529
ACH-000433,-0.5893168730753676
ACH-000435,-0.41557577919862104
ACH-000436,-0.63371501860403
ACH-000444,-1.0145620812137195
ACH-000445,-1.2258347449303593
ACH-000448,-0.7490079698685734
ACH-000450,-0.8007303764549359
ACH-000452,-1.0208152335908942
