,EPS15 (2060)
ACH-000004,-0.18971654005692493
ACH-000005,-0.18317500724627686
ACH-000007,-0.11552317803272738
ACH-000009,-0.14297875506809132
ACH-000011,0.22009004694911652
ACH-000012,-0.10985544781779796
ACH-000013,-0.07964483801819656
ACH-000014,-0.04196927713409751
ACH-000015,0.03010958654699843
ACH-000017,0.052395345438308864
ACH-000018,-0.09643499578605363
ACH-000019,0.040195260147406604
ACH-000021,-0.11595870689029725
ACH-000022,-0.012434956331014428
ACH-000025,0.05160828096754986
ACH-000028,-0.00425018923824314
ACH-000030,-0.0609467481570165
ACH-000035,-0.2309934895272497
ACH-000036,-0.10427803197222947
ACH-000037,0.022195271275524973
ACH-000039,0.04905755741618428
ACH-000040,-0.04160548172373428
ACH-000041,0.09050061058869646
ACH-000042,0.03151786861783038
ACH-000045,0.13749717347210913
ACH-000047,0.044574493254559935
ACH-000052,-0.017063934534853532
ACH-000053,-0.1916064575215017
ACH-000054,0.06708474630960831
ACH-000055,-0.04567804277634459
ACH-000060,-0.16259352501255805
ACH-000067,-0.152969449823359
ACH-000070,-0.2551938543494455
ACH-000075,-0.22980828264007866
ACH-000078,-0.13790861340561225
ACH-000082,-0.07651810130684435
ACH-000085,-0.1844647882932248
ACH-000086,-0.13157279966078175
ACH-000087,-0.28147984372381946
ACH-000092,-0.1194605610587604
ACH-000095,-0.02016219342046839
ACH-000097,-0.048293671519852865
ACH-000098,-0.001862415904526486
ACH-000099,-0.10106082125686723
ACH-000108,-0.0637058094717736
ACH-000113,-0.13298811733885774
ACH-000116,-0.007843462188718302
ACH-000118,0.11992307541701107
ACH-000120,0.09552577730164534
ACH-000123,-0.04338257842477074
ACH-000127,0.014373314956880196
ACH-000128,-0.07767182980421543
ACH-000132,0.035832739607709684
ACH-000133,-0.10036641185891444
ACH-000137,-0.22115868282367446
ACH-000138,-0.0036576672535544703
ACH-000142,-0.2939504758886922
ACH-000143,0.018592273390213597
ACH-000146,-0.15661948098537848
ACH-000148,-0.015838527773028358
ACH-000150,-0.11452227863183174
ACH-000152,-0.11697462667738845
ACH-000153,0.0484778938449666
