,CKS1B (1163)
ACH-000004,-0.15318513541773654
ACH-000005,-0.3256863718129052
ACH-000007,-0.14281705372571468
ACH-000009,-0.25565948694380924
ACH-000011,-0.0815751782756012
ACH-000012,-0.5316983408166644
ACH-000013,-0.5172489269441963
ACH-000014,-0.026180844655147032
ACH-000015,-0.3712961337283857
ACH-000017,-0.13579656516574765
ACH-000018,-0.24724665784959116
ACH-000019,-0.42358975606614063
ACH-000021,-0.3567875070777312
ACH-000022,-0.19658067012394573
ACH-000025,-0.29594066715591844
ACH-000028,-0.3393655605994352
ACH-000030,-0.01564286230034645
ACH-000035,-0.2908501432960533
ACH-000036,-0.21849811699787566
ACH-000037,-0.2903919144395428
ACH-000039,-0.18493293240765585
ACH-000040,-0.42627383989603496
ACH-000041,-0.2303585252200048
ACH-000042,-0.1548500084311846
ACH-000045,-0.19671463058768499
ACH-000047,-0.5375652687973171
ACH-000052,-0.3584787631408032
ACH-000053,-0.12650759827775987
ACH-000054,-0.13531926783179118
ACH-000055,-0.29379395193283964
ACH-000060,-0.5058966087354243
ACH-000067,-0.37353124025674417
ACH-000070,-0.18393870054969003
ACH-000075,-0.03237007462222325
ACH-000078,-0.15503009088995734
ACH-000082,-0.06105331289128304
ACH-000085,0.04259744074574373
ACH-000086,-0.5132093582982483
ACH-000087,-0.13824027715927004
ACH-000092,-0.03080736717162798
ACH-000095,-0.1951472717214279
ACH-000097,-0.1786272720206934
ACH-000098,-0.20709399263627992
ACH-000099,-0.18352457164630526
ACH-000108,-0.11267502046298555
ACH-000113,-0.08616188614780422
ACH-000116,-0.3782247811347692
ACH-000118,-0.22102482564488365
ACH-000120,-0.21682521918417968
ACH-000123,-0.2273264666850749
ACH-000127,-0.2291049900848291
ACH-000128,-0.432665930755798
ACH-000132,-0.18919984832455936
ACH-000133,-0.41540883777505344
ACH-000137,-0.3831269754411367
ACH-000138,-0.11290496652331003
ACH-000142,-0.3709653921087125
ACH-000143,-0.4031251347117376
ACH-000146,-0.2270429055907115
ACH-000148,-0.27556065252048656
ACH-000150,-0.22668450418781666
