,ACTR1A (10121)
ACH-000004,-0.9126665716132824
ACH-000005,-1.0528322457324837
ACH-000007,-0.5692283390823067
ACH-000009,-1.0911677391249734
ACH-000011,-1.2295576107660011
ACH-000012,-0.6085962775248839
ACH-000013,-0.6232564590015099
ACH-000014,-0.6742757892356024
ACH-000015,-0.9307164210034548
ACH-000017,-0.32249008612556984
ACH-000018,-0.9670099974338742
ACH-000019,-0.35395492464001904
ACH-000021,-0.6609713713625603
ACH-000022,-0.9243971090883988
ACH-000025,-0.9661645456302752
ACH-000028,-0.9778548057868264
ACH-000030,-0.8658310443125768
ACH-000035,-1.2706005063763657
ACH-000036,-0.627758707488525
ACH-000037,-1.1244261848354715
ACH-000039,-0.7338969412923377
ACH-000040,-1.0848976558260286
ACH-000041,-0.5305564734245739
ACH-000042,-0.6555885986912832
ACH-000045,-0.4617398707036791
ACH-000047,-1.1449637699143047
ACH-000052,-0.9102719891321608
ACH-000053,-0.45636842741258293
ACH-000054,-0.5317431195796591
ACH-000055,-0.4079660502362333
ACH-000060,-1.1064340531314427
ACH-000067,-1.1553923941996302
ACH-000070,-0.8041549363809537
ACH-000075,-0.4456359637479684
ACH-000078,-1.0362977699240228
ACH-000082,-0.6669114351096709
ACH-000085,-1.1631491236481861
ACH-000086,-1.1494659207351396
ACH-000087,-1.2498479917466832
ACH-000092,-0.7768630964583967
ACH-000095,-0.6912037652553725
ACH-000097,-0.9494127020856478
ACH-000098,-0.7133882191944413
ACH-000099,-0.5886680119345867
ACH-000108,-0.774306530772734
ACH-000113,-0.2707762337907437
ACH-000116,-0.6352341517875397
ACH-000118,-0.5879605366002189
ACH-000120,-0.8143017955787529
ACH-000123,-0.7760007360260939
ACH-000127,-0.7529583254062423
ACH-000128,-1.095234420042558
ACH-000132,-0.3650224448120881
ACH-000133,-0.9993381296792316
ACH-000137,-0.6189559352775683
ACH-000138,-0.5903340458623035
ACH-000142,-0.913863616965193
ACH-000143,-0.8796629533213111
ACH-000146,-0.2851903473436281
ACH-000148,-1.194580224662384
ACH-000150,-1.3776273719594243
ACH-000152,-1.253824994411545
ACH-000153,-0.4520248517221822
ACH-000159,-0.7166574637517493
ACH-000160,-0.7487544543640832
ACH-000163,-0.7400848386892539
ACH-000167,-0.8781863841858665
ACH-000168,-0.6720625047579021
ACH-000169,-1.057074180934703
ACH-000178,-0.731807381457157
ACH-000183,-0.399244331054684
ACH-000188,-1.0801791294060614
ACH-000189,-0.8041512196153796
ACH-000190,-0.9142107366312376
ACH-000198,-0.8046114794501529
ACH-000203,-0.3913053432939577
ACH-000204,-1.0346336619867575
ACH-000206,-0.4847670492232386
ACH-000207,-0.8079794044424053
ACH-000208,-1.0359124367099548
ACH-000210,-0.8445540308543524
ACH-000211,-1.007073875253018
ACH-000215,-0.7953533532390002
ACH-000221,-1.3160036810317544
ACH-000222,-0.6593901221181763
ACH-000223,-0.6164438843083394
ACH-000226,-0.8676275623662882
ACH-000227,-0.6822251043767904
ACH-000228,-0.7036651256214739
ACH-000231,-1.4215702331341171
ACH-000232,-0.6259439624010551
ACH-000233,-0.8216378817383116
ACH-000234,-0.6796305456801295
ACH-000235,-0.7626515308868871
ACH-000237,-1.3137221609400156
ACH-000238,-1.2928491766606591
ACH-000242,-0.4718036729239003
ACH-000243,-0.3439693427667488
ACH-000244,-0.9732945990315156
ACH-000246,-0.6763792047922229
ACH-000248,-0.5843060539000607
ACH-000250,-1.1808333053153972
ACH-000251,-0.9818490917145936
ACH-000252,-0.7342471263525716
ACH-000253,-0.2745060099168489
ACH-000255,-0.7179284693949608
ACH-000256,-0.6913612399627034
ACH-000257,-0.7637024248993661
ACH-000258,-0.5088000356814484
ACH-000259,-1.3323652461196558
ACH-000260,-1.2365410891481818
ACH-000261,-1.0648976060104642
ACH-000262,-1.100863577211758
ACH-000263,-0.4890271468373195
ACH-000264,-0.5407833964405552
ACH-000265,-0.9397158550191614
ACH-000266,-0.5434415695139293
ACH-000272,-0.6515810094597697
ACH-000274,-0.5139758526759758
ACH-000277,-0.7146738294811741
ACH-000278,-0.7144238837686602
ACH-000279,-0.6811063794844592
ACH-000280,-1.0498288371490734
ACH-000281,-0.5629208221519955
ACH-000288,-1.466632431042156
ACH-000291,-0.8549734125275733
ACH-000293,-0.5651568687745312
ACH-000294,-1.3528575268835732
ACH-000295,-1.0002959730715075
ACH-000296,-0.8440438563235978
ACH-000302,-0.9159349682443484
ACH-000304,-0.6272114797054692
ACH-000307,-0.8642170918727927
ACH-000308,-0.61267576736963
ACH-000310,-0.9462119123612024
ACH-000311,-0.8541917300203394
ACH-000312,-0.8867451252483808
ACH-000315,-0.5160467937467648
ACH-000316,-1.4443126552002608
ACH-000317,-0.7581060401382249
ACH-000318,-0.9769929656365328
ACH-000319,-0.6661865462170726
ACH-000320,-0.8091966195224681
ACH-000322,-0.9249899416470164
ACH-000323,-0.9655222704699836
ACH-000324,-1.1107869394426133
ACH-000329,-1.0460272840217208
ACH-000330,-0.8321348148331736
ACH-000331,-0.7922090416441234
ACH-000332,-0.463209847009829
ACH-000334,-0.41804153329869004
ACH-000335,-1.222089303676872
ACH-000336,-0.5826688736116858
ACH-000337,-0.8749651106792674
ACH-000338,-0.9698477588462854
ACH-000339,-0.6441019961548036
ACH-000341,-1.2188516796459208
ACH-000348,-0.4629238794273621
ACH-000350,-0.5431612278193292
ACH-000352,-0.4334884224045784
ACH-000356,-0.4284868828385726
ACH-000361,-1.0828378691946543
ACH-000362,-0.1903672948806236
ACH-000363,-0.3454748251404671
ACH-000364,-0.8844793357450982
ACH-000365,-1.0067128737815236
ACH-000366,-0.9463959508331684
ACH-000368,-0.960701264238904
ACH-000374,-1.448470223339614
ACH-000375,-0.7167889111896236
ACH-000376,-0.7658041868748794
ACH-000381,-0.563186048417609
ACH-000383,-0.4287726101727521
ACH-000387,-0.7889161053786949
ACH-000389,-0.8043806544603802
ACH-000390,-0.5022884008301859
ACH-000393,-0.7531127305322942
ACH-000395,-0.6558485847387587
ACH-000396,-1.292432027078345
ACH-000397,-1.3574699872555611
ACH-000401,-0.8711201340015188
ACH-000402,-0.8364824495917009
ACH-000403,-0.556398910394042
ACH-000404,-1.1992155433628229
ACH-000406,-0.9458299227521654
ACH-000407,-1.1815342452203867
ACH-000408,-1.105616490002756
ACH-000410,-0.5440099353479178
ACH-000411,-0.7230740922578222
ACH-000414,-0.7253683235401861
ACH-000415,-0.9979992490428056
ACH-000416,-0.6171975650767899
ACH-000420,-1.1048656433150352
ACH-000421,-0.482215914545
ACH-000424,-0.8180641945841526
ACH-000425,-0.6725104330417063
ACH-000426,-0.3150542166216946
ACH-000427,-0.6154742206962904
ACH-000433,-1.1206130161995258
ACH-000435,-0.9368924798983216
ACH-000436,-0.4674021173269951
ACH-000444,-1.1762652769360076
ACH-000445,-0.7840505086649979
ACH-000448,-0.793897425813995
ACH-000450,-0.9778327065662475
ACH-000452,-1.1881366015739183
ACH-000454,-0.7421184178616239
ACH-000458,-0.9974943299196308
ACH-000459,-0.5596476017118106
ACH-000460,-1.014550922879333
ACH-000461,-0.5649149254571595
ACH-000463,-1.1360335141727052
ACH-000464,-1.234712141207043
ACH-000466,-1.189969594599725
ACH-000467,-0.5221476757003566
ACH-000468,-1.1040273695849412
ACH-000469,-0.5564707180868732
ACH-000470,-1.0634994101295028
ACH-000471,-1.4160524102847958
ACH-000472,-1.0959618704786365
ACH-000473,-0.5915010074551424
ACH-000475,-0.6550882034519324
ACH-000476,-0.674508302667837
ACH-000477,-0.5355810273992729
ACH-000479,-0.8802444379807991
ACH-000480,-0.4486655131579526
ACH-000481,-0.6816883016280862
ACH-000483,-0.5700772898670523
ACH-000484,-0.7870612829924111
ACH-000485,-0.4846588360012784
ACH-000486,-0.955349316648306
ACH-000487,-0.552095804146192
ACH-000488,-0.9787328128998362
ACH-000490,-0.6255662708442868
ACH-000491,-0.27973242993929875
ACH-000495,-0.8729463272318628
ACH-000496,-0.925080554181702
ACH-000499,-1.0169693295391833
ACH-000500,-1.0440298415909646
ACH-000502,-0.984153933375711
ACH-000503,-0.6294936338998248
ACH-000505,-0.7698066946103388
ACH-000507,-0.7910697767960941
ACH-000510,-0.9776647579817658
ACH-000511,-0.9910732457239524
ACH-000512,-0.6333251867495812
ACH-000516,-0.4290796289680513
ACH-000517,-1.158791687935142
ACH-000518,-1.3473322253248547
ACH-000520,-0.8958926827795791
ACH-000521,-1.0493407267628818
ACH-000522,-1.2579284195927745
ACH-000524,-0.4055727389177679
ACH-000527,-0.834708246437418
ACH-000528,-0.588737868497803
ACH-000537,-0.6354742432147589
ACH-000541,-0.5242531056817723
ACH-000542,-1.2156528092174086
ACH-000544,-0.5249081851309119
ACH-000545,-0.6688806346687955
ACH-000547,-0.7355375087844711
ACH-000548,-0.9084487571551778
ACH-000549,-0.9659103341700012
ACH-000550,-1.373525563930085
ACH-000552,-0.9404311055738364
ACH-000556,-0.505413522495233
ACH-000557,-0.4286413588315203
ACH-000569,-0.8476827382039026
ACH-000570,-0.771933802253929
ACH-000571,-0.6001686747113384
ACH-000573,-0.3728109517772214
ACH-000576,-0.4943185732370076
ACH-000579,-0.8198368968872998
ACH-000580,-0.8774228473585515
ACH-000584,-0.6319014147844035
ACH-000585,-0.3078163264736261
ACH-000588,-0.7168414057293696
ACH-000589,-0.7791141769456785
ACH-000591,-1.1219262480651913
ACH-000593,-0.6733118258310108
ACH-000600,-0.4638081920479568
ACH-000601,-1.2341525456093336
ACH-000605,-0.665245087316726
ACH-000606,-1.052861373694285
ACH-000608,-0.4130259593841348
ACH-000614,-0.10954453850183077
ACH-000616,-1.2026642141642772
ACH-000618,-0.8375667561656174
ACH-000619,-1.1945712561312871
