,MAX (4149)
ACH-000004,-0.2668842962458458
ACH-000005,-0.4095307372659475
ACH-000007,-0.6892629268813389
ACH-000009,-0.3967668185040468
ACH-000011,-0.7639498344463873
ACH-000012,-0.2866552126168215
ACH-000013,-0.213890644028684
ACH-000014,-0.4993044542438973
ACH-000015,-0.5448698762372718
ACH-000017,-0.5575610085573931
ACH-000018,-0.5447844069083826
ACH-000019,-0.5124763090452995
ACH-000021,-0.3231674021383805
ACH-000022,-0.3683984347922695
ACH-000025,-0.4368735693864593
ACH-000028,-0.2919831041931153
ACH-000030,-0.4397492705319109
ACH-000035,-0.2071441015063449
ACH-000036,-0.5942307095989658
ACH-000037,-0.2932238957349094
ACH-000039,-0.3976476666196771
ACH-000040,-0.4436899643858208
ACH-000041,-0.9796994018467736
ACH-000042,-0.5159475570686188
ACH-000045,-0.31366746150730057
ACH-000047,-0.3525699067491043
ACH-000052,-0.568745360531317
ACH-000053,-0.3829071743711379
ACH-000054,-0.29899603201005603
ACH-000055,-0.4797039226808193
ACH-000060,-0.6633043857336641
ACH-000067,-0.23035531528248826
ACH-000070,-0.4233957853225788
ACH-000075,-0.2490977957750551
ACH-000078,-0.4510433370500231
ACH-000082,-0.5098130651779129
ACH-000085,-0.6343237178651547
ACH-000086,-0.4489152282928645
ACH-000087,-0.7368722309459068
ACH-000092,-0.5583497883382748
ACH-000095,-0.4433190620755511
ACH-000097,-0.3270470798775453
ACH-000098,-0.40613565623231335
ACH-000099,-0.17973281419321493
ACH-000108,-0.2910989051890148
ACH-000113,-0.5151637278271379
ACH-000116,-0.13056359564797965
ACH-000118,-0.4883388178313643
ACH-000120,-0.6044906342713833
ACH-000123,-0.4985767357715669
ACH-000127,-0.4240494933327704
ACH-000128,-0.4619006846543336
ACH-000132,-0.44981877024052797
ACH-000133,-0.4486566417308066
ACH-000137,-0.4664847398226483
ACH-000138,-0.4878709169700094
ACH-000142,-0.2843637567459489
ACH-000143,-0.6232719204971167
ACH-000146,-0.3500414802639584
ACH-000148,-0.5473251817192203
ACH-000150,-0.43417159427257107
ACH-000152,-0.33674377052347365
ACH-000153,-0.26417203617709145
ACH-000159,-0.5143558141301272
ACH-000160,-0.4739324430305218
ACH-000163,-0.527305272888279
ACH-000167,0.3952280702774701
ACH-000168,-0.5266490074783091
ACH-000169,-0.547593149169214
ACH-000178,-0.5121428982256899
ACH-000183,-0.6775194801859201
ACH-000188,-0.3521274351877586
ACH-000189,-0.4926347346119569
ACH-000190,-0.366406653595101
ACH-000198,-0.5414496907763044
ACH-000203,-0.3185950067315838
ACH-000204,-0.5490412436392144
ACH-000206,-0.4575421605975084
ACH-000207,-0.5626686952916004
ACH-000208,-0.6170565399031708
ACH-000210,-0.2387427284255552
ACH-000211,-0.3929269149073056
ACH-000215,-0.3476710207578353
ACH-000221,-0.2930666670338696
