,IL17RE (132014)
ACH-000004,-0.10864225638345597
ACH-000005,-0.2135459929696928
ACH-000007,0.03179176770169236
ACH-000009,-0.0827344326133946
ACH-000011,-0.2475160186882112
ACH-000012,-0.04980036198105756
ACH-000013,-0.1250669781028797
ACH-000014,-0.14006407971923598
ACH-000015,-0.1410468644279859
ACH-000017,-0.15977941988265987
ACH-000018,-0.02683180452458754
ACH-000019,-0.3125073525467973
ACH-000021,-0.1588311797202999
ACH-000022,-0.10746140064583544
ACH-000025,-0.2801891277102121
ACH-000028,-0.1459973344137783
ACH-000030,-0.02095874673701429
ACH-000035,-0.08800041652678481
ACH-000036,-0.2506094651332157
ACH-000037,-0.2076503486732463
ACH-000039,-0.05041280157006197
ACH-000040,-0.13027393278709093
ACH-000041,-0.030160097682190724
ACH-000042,-0.2509693642642918
ACH-000045,-0.19270627209379648
ACH-000047,-0.10557716266249492
ACH-000052,-0.12853867436655145
ACH-000053,-0.13743187443360702
ACH-000054,-0.17816327376778562
ACH-000055,-0.1274987573082932
ACH-000060,-0.22437840527750505
ACH-000067,-0.23279636734869485
ACH-000070,-0.18233198356316346
ACH-000075,-0.0943667327740996
ACH-000078,-0.1255534536367172
ACH-000082,-0.15243345363128755
ACH-000085,-0.31944651544629765
ACH-000086,0.06557329210059422
ACH-000087,-0.10597856604274487
ACH-000092,-0.130525796124149
ACH-000095,-0.2458869128825477
ACH-000097,-0.0562986516179088
ACH-000098,-0.1366980279020013
ACH-000099,-0.11984675415035782
ACH-000108,-0.1801880506134391
ACH-000113,-0.14948857269884833
ACH-000116,-0.2660273604041094
ACH-000118,-0.19833171201778715
ACH-000120,-0.019235398200986503
ACH-000123,-0.19025003566144175
ACH-000127,-0.09313741067655944
ACH-000128,-0.008294235717630057
ACH-000132,-0.2457009138034679
ACH-000133,-0.21999734482230546
ACH-000137,-0.10170158753492517
ACH-000138,-0.1868982506927356
ACH-000142,-0.12854497326042394
ACH-000143,-0.22039653537482015
ACH-000146,-0.18089676823750855
ACH-000148,-0.09545458407000716
ACH-000150,-0.2897795637331016
ACH-000152,-0.055604739346593074
ACH-000153,0.11006529312744956
ACH-000159,-0.07218585872584384
ACH-000160,-0.1010485484837762
ACH-000163,-0.18341599640486764
ACH-000167,-0.2546508448034344
ACH-000168,-0.26894534749682725
ACH-000169,-0.06546323795079613
ACH-000178,-0.11712464920489
ACH-000183,-0.2502090810745473
ACH-000188,-0.00046628132502683566
ACH-000189,-0.3456126968087773
ACH-000190,-0.0541539516511557
ACH-000198,-0.1500336933887911
ACH-000203,-0.4464586768176385
ACH-000204,-0.08469985875578542
ACH-000206,-0.10398410721753633
ACH-000207,-0.08677513501422382
ACH-000208,-0.08827146522437257
ACH-000210,-0.08547235300038421
ACH-000211,-0.15808135076270222
ACH-000215,-0.13203532268498366
ACH-000221,-0.036722917453693035
ACH-000222,-0.2300131439849776
ACH-000223,-0.13075894274320454
ACH-000226,-0.13766541818806197
ACH-000227,-0.046867765772076346
ACH-000228,-0.21091239704579645
ACH-000231,-0.21863309615886398
ACH-000232,-0.1679861083471789
ACH-000233,-0.04650016278638988
ACH-000234,-0.16716406722170846
ACH-000235,-0.21122628121023715
ACH-000237,-0.12477153451998192
ACH-000238,-0.2323118656358607
ACH-000242,-0.352634094109027
ACH-000243,-0.19298693684627408
ACH-000244,-0.42330056556718376
ACH-000246,-0.2574531337698725
ACH-000248,0.048426389523624234
ACH-000250,-0.08208694852857948
ACH-000251,-0.3842156617044762
ACH-000252,-0.33458963365328537
ACH-000253,-0.04981986116628771
ACH-000255,-0.1804578259327762
ACH-000256,-0.13157227666232035
ACH-000257,-0.028853143507926837
ACH-000258,-0.3011559619466264
ACH-000259,-0.15427057966248425
ACH-000260,-0.11888507903313307
ACH-000261,7.524417180094676e-06
ACH-000262,-0.19063419666386852
ACH-000263,-0.09866849203592508
ACH-000264,-0.1907781256620432
ACH-000265,-0.06826148319893367
ACH-000266,-0.20423014110079032
ACH-000272,-0.09540001855047556
ACH-000274,-0.1584172138086175
ACH-000277,-0.2468564756476439
ACH-000278,-0.22147149133529734
ACH-000279,-0.11131905233211513
ACH-000280,-0.2325390827388861
ACH-000281,-0.1329827769942346
ACH-000288,-0.14285555556437127
ACH-000291,-0.11409135426052315
ACH-000293,-0.14191740929725516
ACH-000294,-0.10635520185852387
ACH-000295,-0.3165872992045397
ACH-000296,-0.05047458174100286
ACH-000302,-0.15412077499085905
ACH-000304,0.2624177813024137
ACH-000307,-0.1853502940410172
ACH-000308,-0.06821064244361236
ACH-000310,-0.2913666681693171
ACH-000311,-0.09959297814174367
ACH-000312,-0.10155362505692468
ACH-000315,0.02578419620572721
ACH-000316,-0.15239882594806894
ACH-000317,-0.014994118979057369
ACH-000318,-0.2156747687098497
ACH-000319,-0.005753227928918214
ACH-000320,-0.19142866954964027
ACH-000322,0.0030793851379388626
ACH-000323,-0.21529490037203652
ACH-000324,-0.1644384410633908
ACH-000329,-0.13514301323947836
ACH-000330,-0.10163454520508956
ACH-000331,-0.04749626773281716
ACH-000332,-0.26388804632340096
ACH-000334,-0.15538741347490007
ACH-000335,-0.2309690329170398
ACH-000336,-0.15314303225132506
ACH-000337,-0.014314594780045837
ACH-000338,-0.15064048992780593
ACH-000339,-0.29814147919790085
ACH-000341,-0.10428240267622607
ACH-000348,-0.100390808652409
ACH-000350,-0.18942955020172325
ACH-000352,-0.0770924861727017
ACH-000356,-0.02669932346814597
ACH-000361,-0.2657654044396603
ACH-000362,-0.11256670473608814
ACH-000363,-0.049359448707379856
ACH-000364,0.03561721285239871
ACH-000365,-0.21436654264964397
ACH-000366,-0.19995456024823774
ACH-000368,-0.11100843744397323
ACH-000374,-0.1439892534448345
ACH-000375,-0.2218517077395817
ACH-000376,-0.1909645173418585
ACH-000381,-0.13209528712882745
ACH-000383,-0.13934105522824836
ACH-000387,-0.15547309419041105
ACH-000389,-0.2962407713667024
ACH-000390,-0.016270030400313124
