,ODF3B (440836)
ACH-000004,0.2387952791110993
ACH-000005,-0.2307519463338227
ACH-000007,0.06233040727468251
ACH-000009,-0.003601999514730257
ACH-000011,-0.2045087455123066
ACH-000012,-0.03894755600058149
ACH-000013,-0.0017668204712439149
ACH-000014,-0.008012205146907949
ACH-000015,0.10728251422067804
ACH-000017,-0.017185633817619134
ACH-000018,0.15638463668499394
ACH-000019,-0.026667027287918862
ACH-000021,0.0023620562245711308
ACH-000022,0.06681408769430781
ACH-000025,-0.12450380066694712
ACH-000028,0.1064122007626673
ACH-000030,0.02432578484770492
ACH-000035,0.13849097287838902
ACH-000036,0.1295228475984513
ACH-000037,-0.1122146484833524
ACH-000039,-0.11562255063354562
ACH-000040,-0.006021966233103278
ACH-000041,0.019227467627426883
ACH-000042,-0.0469594680913776
ACH-000045,-0.21385175623194547
ACH-000047,-0.16573649762857307
ACH-000052,0.1237202783130627
ACH-000053,0.025852733848189226
ACH-000054,-0.031429887824624164
ACH-000055,-0.10976968139573397
ACH-000060,-0.2104125084620581
ACH-000067,0.007177640424958184
ACH-000070,-0.07066167198131099
ACH-000075,0.058211990210839615
ACH-000078,-0.176159855553759
ACH-000082,-0.031623606525708066
ACH-000085,-0.2473036295798916
ACH-000086,0.13264937874492108
ACH-000087,-0.07075050937318877
ACH-000092,0.0065062515573206465
ACH-000095,-0.16111936621807854
ACH-000097,-0.11201168813223412
ACH-000098,0.06717253450938962
ACH-000099,-0.05212301585026816
ACH-000108,-0.08451507636621335
ACH-000113,0.001251773093465834
ACH-000116,0.016378131620614887
ACH-000118,-0.04742060739588432
ACH-000120,0.07200404930078715
ACH-000123,-0.09060888332193713
ACH-000127,0.0014782825787773989
ACH-000128,-0.13277781063682573
ACH-000132,0.06121590751357293
ACH-000133,0.027417718020731303
ACH-000137,0.028709026372889832
ACH-000138,0.15374117994061265
ACH-000142,0.0006457344724345893
ACH-000143,-0.046217252985916286
ACH-000146,-0.06013199789618756
ACH-000148,-0.03352709156023414
ACH-000150,0.008697433481967116
ACH-000152,0.0597050878466551
ACH-000153,0.3595509611879795
ACH-000159,0.040097908962468086
ACH-000160,0.048668122180384375
ACH-000163,-0.05603244222416647
ACH-000167,0.13225348318157554
ACH-000168,0.06360873431638205
ACH-000169,0.07076565043682195
ACH-000178,0.06657197745962956
ACH-000183,0.013205986084879587
ACH-000188,0.09035460203706397
ACH-000189,0.20652824840880324
ACH-000190,-0.07619840939634624
ACH-000198,0.008207701820965738
ACH-000203,-0.03506336840215617
ACH-000204,0.32463938496871664
ACH-000206,0.02697561598159895
ACH-000207,-0.040532612223868295
ACH-000208,0.09584588296272104
ACH-000210,-0.17792877230623216
ACH-000211,0.05553041792310479
ACH-000215,-0.0695679574459056
ACH-000221,-0.21869943631007702
ACH-000222,0.004117504497078103
ACH-000223,0.06937054081614961
ACH-000226,-0.16290259426171025
ACH-000227,0.0003614955225832759
ACH-000228,0.0388985793940723
ACH-000231,-0.12026901040352478
ACH-000232,0.007858972088520095
ACH-000233,0.07203924879482437
ACH-000234,-0.15942032545387266
ACH-000235,-0.03307867067990705
ACH-000237,-0.009849280394905591
ACH-000238,-0.027062946464251125
ACH-000242,0.0609443749859408
ACH-000243,0.07397754639905822
ACH-000244,-0.05986894191965676
ACH-000246,-0.07297563461357487
ACH-000248,-0.02927772744210455
