,DYDC1 (143241)
ACH-000004,-0.09711138154180107
ACH-000005,-0.07573280070362713
ACH-000007,0.04918978608376857
ACH-000009,-0.1840525360360539
ACH-000011,-0.12661348741499873
ACH-000012,-0.17476608415399533
ACH-000013,0.01602832568943654
ACH-000014,-0.2631149544259751
ACH-000015,-0.1685302737385845
ACH-000017,-0.12857977172779084
ACH-000018,-0.15437556631428345
ACH-000019,-0.07153186046499352
ACH-000021,-0.11562950141281632
ACH-000022,-0.06123872494796859
ACH-000025,-0.16859545090312295
ACH-000028,-0.07151721811122724
ACH-000030,-0.22194534194845306
ACH-000035,-0.19661533409711626
ACH-000036,-0.09348752369908674
ACH-000037,-0.2432085672188154
ACH-000039,-0.14935601818729394
ACH-000040,-0.22269203863977136
ACH-000041,-0.09199502084857387
ACH-000042,-0.12454664002097493
ACH-000045,-0.04489578545600279
ACH-000047,-0.21865096209032184
ACH-000052,-0.11834469243934373
ACH-000053,-0.057417467685804024
ACH-000054,-0.11624467884504812
ACH-000055,-0.038692406623250984
ACH-000060,-0.16290493974944492
ACH-000067,-0.13313646057764605
ACH-000070,-0.14190016237439812
ACH-000075,-0.10018251298207363
ACH-000078,-0.011157092419173276
ACH-000082,0.02116243374310131
ACH-000085,0.040858229468696314
ACH-000086,-0.061550995718209836
ACH-000087,-0.07653599558279432
ACH-000092,0.009357998135035444
ACH-000095,-0.1733190651903576
ACH-000097,-0.1183851173336014
ACH-000098,-0.13881357969006833
ACH-000099,-0.07003632216082095
ACH-000108,-0.2666309417290711
ACH-000113,-0.17266650627839075
ACH-000116,-0.048370601638283967
ACH-000118,-0.12343431534333665
ACH-000120,0.09474652927585996
ACH-000123,-0.058411959416147574
ACH-000127,-0.07541724550138497
ACH-000128,-0.0682609582540974
ACH-000132,-0.10011888879724264
ACH-000133,-0.16893341838015868
ACH-000137,-0.04090457500849557
ACH-000138,-0.06934451573400173
ACH-000142,-0.09115855360917728
ACH-000143,-0.017761227167293392
ACH-000146,-0.1336909642866944
ACH-000148,-0.15255145198275674
ACH-000150,-0.15679336092233995
ACH-000152,-0.07485168702480305
ACH-000153,-0.04910767087044609
ACH-000159,-0.12458900923117705
ACH-000160,-0.10595609917375308
ACH-000163,-0.09681414986369508
ACH-000167,-0.41668928313925496
ACH-000168,-0.011131634414925404
ACH-000169,-0.057011654132502386
ACH-000178,-0.03139440192745693
ACH-000183,-0.2278897683669024
ACH-000188,-0.25954971411724675
ACH-000189,-0.2644944639546945
ACH-000190,-0.08464698162516057
ACH-000198,-0.13125819967822716
ACH-000203,0.024429805061343332
ACH-000204,-0.13393256120099348
ACH-000206,-0.05168454516109515
ACH-000207,-0.2751418714753548
ACH-000208,-0.2297858188468123
ACH-000210,0.005536348541440732
ACH-000211,-0.09654941564075173
ACH-000215,-0.10987351380431797
ACH-000221,-0.02757758251531504
ACH-000222,-0.2269646960489839
ACH-000223,-0.08579432567525598
ACH-000226,0.03465777893934142
ACH-000227,-0.05907027294070514
ACH-000228,-0.2435635427231419
ACH-000231,-0.125037847594115
ACH-000232,-0.03521791102112491
ACH-000233,-0.18834935201544856
ACH-000234,-0.14455229177577303
ACH-000235,-0.2004317852814942
ACH-000237,-0.1260381588830221
ACH-000238,-0.026446705529323884
ACH-000242,-0.3700643640312332
ACH-000243,-0.07101969235637133
ACH-000244,0.02114608185468505
ACH-000246,-0.10890433014063194
ACH-000248,0.08095169345194733
ACH-000250,-0.1808141009070874
ACH-000251,-0.3357302180907257
ACH-000252,-0.29951915324125306
ACH-000253,-0.1462985749071365
ACH-000255,-0.09221130379107044
ACH-000256,-0.08826495767878242
ACH-000257,-0.10415214046114407
ACH-000258,-0.014356236232785037
ACH-000259,-0.17252276795727448
ACH-000260,-0.158017778627526
ACH-000261,-0.1536079284928808
ACH-000262,-0.2266693492907977
ACH-000263,0.018723497689603446
ACH-000264,-0.11724193171597595
ACH-000265,-0.2554464640594733
ACH-000266,-0.038257883679717206
ACH-000272,-0.06960848443752851
ACH-000274,-0.021783726373231543
ACH-000277,-0.12334233160725053
ACH-000278,0.050978126650969284
ACH-000279,-0.2426168020546189
ACH-000280,-0.06275491523075538
ACH-000281,-0.14834161710918933
ACH-000288,-0.17202434227317515
ACH-000291,-0.14414547284335386
ACH-000293,-0.1582804356606966
ACH-000294,-0.23186321613258354
ACH-000295,-0.1063011463156128
ACH-000296,0.010924711435463159
ACH-000302,-0.14031280291195627
ACH-000304,-0.2099503457838232
ACH-000307,-0.13351674832798666
ACH-000308,-0.16131452839193516
ACH-000310,-0.121032008983202
ACH-000311,-0.2625006247488638
ACH-000312,-0.02905508025882568
ACH-000315,-0.0115149056598537
ACH-000316,-0.21314067746548504
ACH-000317,-0.12199823849483404
ACH-000318,-0.19885293147399574
ACH-000319,-0.09035330101069744
ACH-000320,-0.018325447623033123
ACH-000322,-0.2576367134525613
ACH-000323,-0.2609354163248425
ACH-000324,-0.1969276042089593
ACH-000329,-0.10628127649262617
ACH-000330,-0.19166906244470094
ACH-000331,-0.11790443819661332
ACH-000332,-0.0675517198519341
ACH-000334,-0.115647750467785
ACH-000335,-0.10358499561206448
ACH-000336,0.03446443361333302
ACH-000337,-0.2418285274899703
ACH-000338,0.03959532420816112
ACH-000339,-0.04537221800826964
ACH-000341,-0.15243287057462926
ACH-000348,-0.06396695509447001
ACH-000350,-0.18506790216007774
ACH-000352,-0.35104761777483995
ACH-000356,-0.16544472971089244
ACH-000361,-0.1941608882731252
ACH-000362,0.034637674013875394
ACH-000363,-0.16391413407448185
ACH-000364,0.008861806846263691
ACH-000365,-0.2054972524305113
ACH-000366,-0.16004346159273905
ACH-000368,-0.1722760491326488
ACH-000374,-0.1663561657901645
ACH-000375,-0.10240524121851527
ACH-000376,-0.08857405914001869
ACH-000381,-0.17693949804323736
ACH-000383,-0.14138943496701525
ACH-000387,-0.19742907272387009
ACH-000389,-0.20974134509928105
ACH-000390,-0.07114858499929427
ACH-000393,-0.15980355728664028
ACH-000395,-0.0028415300334231576
ACH-000396,-0.1924072965164376
ACH-000397,-0.11681924560814605
ACH-000401,-0.10045708042182357
ACH-000402,0.003480599765688881
ACH-000403,-0.11609989289154148
ACH-000404,0.011161279713304785
ACH-000406,-0.11917083510208967
ACH-000407,-0.1272047062631816
ACH-000408,-0.07843582040056432
ACH-000410,-0.1633062906713688
ACH-000411,-0.1452192183436558
ACH-000414,-0.0037396570862055327
ACH-000415,-0.18333663195416916
ACH-000416,-0.1433029011036872
ACH-000420,-0.3326157217934597
ACH-000421,-0.0793642162739151
ACH-000424,-0.16011003682681255
ACH-000425,-0.2568511445856104
ACH-000426,-0.08304144664943998
ACH-000427,-0.1595338374479685
ACH-000433,-0.1556825902226591
ACH-000435,-0.18366961307663146
ACH-000436,-0.13255563355079045
ACH-000444,-0.02457084827977205
