,CASKIN2 (57513)
ACH-000004,-0.08581843327084959
ACH-000005,0.14555015762070175
ACH-000007,-0.05138376820534343
ACH-000009,-0.1520743092558438
ACH-000011,-0.3745765434121116
ACH-000012,-0.11833500758086322
ACH-000013,-0.06391282284830252
ACH-000014,-0.10599729924912732
ACH-000015,-0.05688714052905384
ACH-000017,-0.177336296475338
ACH-000018,-0.15309075249749096
ACH-000019,-0.1879083425763584
ACH-000021,-0.11044095124865408
ACH-000022,-0.09545100651676984
ACH-000025,-0.11093168858030283
ACH-000028,-0.059183766843115174
ACH-000030,-0.20679090771707728
ACH-000035,-0.17557553250316166
ACH-000036,-0.1487041826288992
ACH-000037,-0.05405635758086354
ACH-000039,-0.21935946481698768
ACH-000040,-0.20512099813671736
ACH-000041,0.12113437091945226
ACH-000042,-0.43820462622479545
ACH-000045,-0.1810905692814377
ACH-000047,-0.07695211422085631
ACH-000052,-0.12215416714334147
ACH-000053,-0.1089753626547032
ACH-000054,-0.1269412876996461
ACH-000055,-0.07592206321664928
ACH-000060,-0.3924927608347719
ACH-000067,-0.10144688766467044
ACH-000070,-0.017018023281742487
ACH-000075,-0.19834371577825616
ACH-000078,-0.3102283677052321
ACH-000082,-0.11573796971708145
ACH-000085,-0.23311469373287266
ACH-000086,-0.02491200099248957
ACH-000087,0.007323537626056586
ACH-000092,-0.10160801621580627
ACH-000095,-0.11947603313907842
ACH-000097,0.1446746714517377
ACH-000098,-0.2761257869492816
ACH-000099,-0.1330636846719008
ACH-000108,-0.2555851862452848
ACH-000113,-0.06064271553994854
ACH-000116,-0.0273767187688454
ACH-000118,-0.12596010711953104
ACH-000120,-0.20662605033868975
ACH-000123,-0.07734533650892643
ACH-000127,-0.05906089335694131
ACH-000128,-0.11528592593051147
ACH-000132,-0.05033988144130029
ACH-000133,-0.05207781931840636
ACH-000137,-0.03324984533046176
ACH-000138,-0.32187407019116504
ACH-000142,-0.23350957116451104
ACH-000143,-0.1265823432280246
ACH-000146,-0.10597450216808356
ACH-000148,-0.019135281553244808
ACH-000150,-0.223301952623684
ACH-000152,-0.0717979364775386
ACH-000153,0.05863284381101996
ACH-000159,-0.13146101584892045
ACH-000160,-0.14003255641652906
ACH-000163,-0.21067179401725128
ACH-000167,-0.18666897507420666
ACH-000168,-0.3282886484697976
ACH-000169,-0.19346604058825131
ACH-000178,-0.1377144860820637
ACH-000183,-0.22554058467467944
ACH-000188,-0.27313853135349075
ACH-000189,-0.15991174364156807
ACH-000190,-0.11162641439099244
ACH-000198,-0.11450626464743847
ACH-000203,0.03162338977324442
ACH-000204,0.08043983336179478
ACH-000206,0.01745513145196404
ACH-000207,-0.26243755974414995
ACH-000208,0.08736429523532148
ACH-000210,0.0564238694025415
ACH-000211,-0.21458675303069644
ACH-000215,-0.16376179321033868
ACH-000221,-0.10658977868630992
ACH-000222,-0.10036417505347056
ACH-000223,0.0539662559815329
ACH-000226,-0.08651815460296859
ACH-000227,-0.20729917581483265
ACH-000228,-0.1850453690464892
ACH-000231,-0.13019291697247476
ACH-000232,-0.10012827262255064
ACH-000233,-0.19569053092817415
ACH-000234,-0.1798785837931922
ACH-000235,-0.24205569310064556
ACH-000237,-0.02279175088378805
ACH-000238,-0.12646899806738668
ACH-000242,0.004978311289998857
ACH-000243,-0.14168810197071272
ACH-000244,-0.16879257761248118
ACH-000246,-0.05352941650242481
ACH-000248,-0.3122934168602275
ACH-000250,-0.11650778244054907
ACH-000251,-0.4266353272578964
ACH-000252,-0.16373788405648204
ACH-000253,-0.17597099540657998
ACH-000255,-0.12370765156526226
ACH-000256,-0.004716860703882096
ACH-000257,-0.005385437135726368
ACH-000258,-0.015147879833105162
ACH-000259,-0.186400751174553
ACH-000260,-0.16477319825771286
ACH-000261,-0.12470561173161895
ACH-000262,-0.1805499047240624
ACH-000263,-0.3618967014828272
ACH-000264,-0.21016387049488786
ACH-000265,0.0436940606282044
ACH-000266,-0.1736404988454525
ACH-000272,-0.15899672435692178
ACH-000274,-0.16609670040198718
ACH-000277,-0.01821081917109318
ACH-000278,0.03649917036838155
ACH-000279,-0.06955351006174948
ACH-000280,-0.4168631925385178
ACH-000281,-0.22468047845500733
ACH-000288,-0.07185796905700953
ACH-000291,-0.08359806837882514
ACH-000293,-0.1218753538740884
ACH-000294,-0.04135370139840777
ACH-000295,-0.3584455049526817
ACH-000296,-0.023702771060802718
ACH-000302,-0.07202535196267243
ACH-000304,-0.15306065148714734
ACH-000307,-0.14109193841321974
ACH-000308,-0.06768657874620412
ACH-000310,-0.1758266962232323
ACH-000311,-0.17171768996253756
ACH-000312,-0.13190429306463405
ACH-000315,-0.1142987356690332
ACH-000316,-0.2076898408429583
ACH-000317,0.1045310627063584
ACH-000318,-0.18902611831690225
ACH-000319,-0.039067552282559655
ACH-000320,-0.07255103560336973
ACH-000322,-0.1357307415552451
ACH-000323,-0.056098536510881584
ACH-000324,-0.20146292208052768
ACH-000329,-0.019270183526722558
ACH-000330,-0.09316679005972944
ACH-000331,-4.6753009267902293e-05
ACH-000332,-0.1742524566420819
ACH-000334,-0.1866314675306028
ACH-000335,-0.19958392335382236
ACH-000336,-0.18416995022715926
ACH-000337,-0.35237442111703604
ACH-000338,-0.3126339221780194
ACH-000339,-0.10725622128536864
ACH-000341,-0.12391103650570455
ACH-000348,-0.06353450668422482
ACH-000350,-0.04762359999407025
ACH-000352,-0.061455597866391314
ACH-000356,-0.2638675531451247
ACH-000361,-0.16516108854932746
ACH-000362,-0.13137689956472182
ACH-000363,-0.0271278043647707
ACH-000364,0.11966236920774795
ACH-000365,-0.21430173832160013
ACH-000366,-0.08483471636584054
ACH-000368,-0.10104870891245997
ACH-000374,-0.17086534526379485
ACH-000375,-0.18473425039755828
ACH-000376,-0.16000564198551778
ACH-000381,-0.2021346748723936
ACH-000383,-0.193080370990283
ACH-000387,-0.053608722619528766
ACH-000389,-0.2390202722009155
ACH-000390,-0.16772167838578209
ACH-000393,-0.18077363606060312
ACH-000395,-0.5855683616374863
ACH-000396,-0.10298392441648473
ACH-000397,-0.17862936526453305
ACH-000401,-0.19107680715736855
ACH-000402,-0.3095373244596123
ACH-000403,-0.19700923194551356
ACH-000404,0.017854398488692885
ACH-000406,-0.11413813573816645
ACH-000407,-0.3547319944990059
ACH-000408,-0.12144577831240735
ACH-000410,0.01816718778063215
ACH-000411,-0.02971924465883432
ACH-000414,-0.1505704838154437
ACH-000415,-0.1878592087578721
ACH-000416,-0.12277733270784705
ACH-000420,-0.2707419179048187
ACH-000421,-0.09464905374125644
ACH-000424,-0.0906939853773869
ACH-000425,-0.12906050016766932
ACH-000426,0.01896639966379475
ACH-000427,-0.24927846072850054
ACH-000433,-0.20281591558132786
ACH-000435,0.040323958183661565
ACH-000436,0.11497502093766188
ACH-000444,-0.1455834105882991
ACH-000445,-0.10906108126398834
ACH-000448,-0.04415859698323125
ACH-000450,-0.1596421127281197
ACH-000452,-0.14254626052844865
ACH-000454,-0.35533501076233504
ACH-000458,-0.2520175222200277
ACH-000459,-0.10983281199867806
ACH-000460,-0.07423426006021566
ACH-000461,-0.1089210074407108
ACH-000463,-0.019595978834079382
ACH-000464,-0.3304426525728124
ACH-000466,-0.10189846182469756
ACH-000467,-0.26660701560290273
ACH-000468,-0.244511529240874
ACH-000469,-0.04230010984245141
ACH-000470,-0.00548920949135023
ACH-000471,0.030658666818825755
ACH-000472,-0.14935735860599475
ACH-000473,-0.031161911849588494
