,SRPR (6734)
ACH-000004,-0.27145066379446714
ACH-000005,-0.8114975673467187
ACH-000007,-0.4728864242970816
ACH-000009,-0.41613485859601257
ACH-000011,-0.6054986891823426
ACH-000012,-0.4795774608387409
ACH-000013,-0.5833526243808798
ACH-000014,-0.4829613738601786
ACH-000015,-0.5699804463222566
ACH-000017,-0.5705579370183661
ACH-000018,-0.4264061590657008
ACH-000019,-0.6590017492611149
ACH-000021,-0.4021512425747181
ACH-000022,-0.3381080733449762
ACH-000025,-0.4576809627295629
ACH-000028,-0.5391278747650157
ACH-000030,-0.3739561817367319
ACH-000035,-0.25582404807722503
ACH-000036,-0.5389447707810484
ACH-000037,-0.5506130930082286
ACH-000039,-0.6409760283392169
ACH-000040,-0.54463595241921
ACH-000041,-0.41607381635520735
ACH-000042,-0.5465531447134109
ACH-000045,-0.6402799201297705
ACH-000047,-0.3495352930300141
ACH-000052,-0.7964046441210428
ACH-000053,-0.7709199587549548
ACH-000054,-0.489905418091532
ACH-000055,-0.4093896023448727
ACH-000060,-0.5186199174441312
ACH-000067,-0.4960230165883426
ACH-000070,-0.638940304630156
ACH-000075,-0.9273132151794142
ACH-000078,-0.5884353823766937
ACH-000082,-0.7477024818983921
ACH-000085,-0.6451064341304775
ACH-000086,-0.6792597277604465
ACH-000087,-0.7826553310852709
ACH-000092,-0.4619198214200606
ACH-000095,-0.4997198741061291
ACH-000097,-0.4723862338673434
ACH-000098,-0.417350906769648
ACH-000099,-0.478690301758324
ACH-000108,-0.5177617064630156
ACH-000113,-0.5467117297937237
ACH-000116,-0.6620530716884826
ACH-000118,-0.6857508397735639
ACH-000120,-0.6164599630170821
ACH-000123,-0.5262369537164493
ACH-000127,-0.3036603107533333
ACH-000128,-0.6285915492962754
ACH-000132,-0.7182681853643129
ACH-000133,-0.4097248078660223
ACH-000137,-0.665690066560787
ACH-000138,-0.4806007393500921
ACH-000142,-0.4931671139986729
ACH-000143,-0.5731302031375811
ACH-000146,-0.44561531991205794
ACH-000148,-0.5039264212912592
ACH-000150,-0.33406845361272475
ACH-000152,-0.6083783496131129
ACH-000153,-0.7675167342096448
ACH-000159,-0.3767734555288672
ACH-000160,-0.5650898398090953
ACH-000163,-0.4898232412950543
ACH-000167,-0.4799856655077793
ACH-000168,-0.4767881117749029
ACH-000169,-0.5641027460156306
ACH-000178,-0.4403834312668275
ACH-000183,-0.7162135459364204
ACH-000188,-0.6881793585977726
ACH-000189,-0.796184612522264
ACH-000190,-0.6715943489094724
ACH-000198,-0.5411437979404706
ACH-000203,-0.09430821963139982
ACH-000204,-0.3972292653362801
ACH-000206,-0.2667900085730027
ACH-000207,-0.7198919069523234
ACH-000208,-0.8303931999870523
ACH-000210,-0.25963648062951783
ACH-000211,-0.5214627608532829
ACH-000215,-0.4012527154033895
ACH-000221,-0.4901717938392397
ACH-000222,-0.3793352507869324
ACH-000223,-0.5431495266477584
ACH-000226,-0.4730847106561962
ACH-000227,-0.3575460413613744
ACH-000228,-0.7356103425995559
ACH-000231,-0.4565448818512958
ACH-000232,-0.4988805914951559
ACH-000233,-0.4671607755478022
ACH-000234,-0.5631803316756596
ACH-000235,-0.4655492451785255
ACH-000237,-0.4740511827424661
ACH-000238,-0.5048284827049146
ACH-000242,-0.3735398975190042
ACH-000243,-0.5036563293508837
ACH-000244,-0.36015268756550195
ACH-000246,-0.5154835452162174
ACH-000248,-0.7062966733105928
ACH-000250,-0.4825719009860545
ACH-000251,-0.3505398100208321
ACH-000252,-0.4983498496611247
ACH-000253,-0.4624284890097182
ACH-000255,-0.6461505413670011
ACH-000256,-0.31761813666085265
ACH-000257,-0.4222810029394183
ACH-000258,-0.5685328804024583
ACH-000259,-0.8403153313002691
ACH-000260,-0.7469641936451498
ACH-000261,-0.41415372354247204
ACH-000262,-0.382822967568722
ACH-000263,-0.424038760216702
ACH-000264,-0.6278127064874983
ACH-000265,-0.5362152806887812
