,MROH1 (727957)
ACH-000004,0.06278155226686831
ACH-000005,-0.09622565452319924
ACH-000007,0.0037241182800309383
ACH-000009,-0.21026825566827906
ACH-000011,-0.16271450299011975
ACH-000012,-0.16989178225897708
ACH-000013,-0.07372570901017536
ACH-000014,-0.005167916160250042
ACH-000015,0.004904825171040096
ACH-000017,-0.10698211272527064
ACH-000018,-0.18228285880847764
ACH-000019,0.10302243883331992
ACH-000021,-0.14523111351800191
ACH-000022,-0.12110252829338247
ACH-000025,-0.12628338732852235
ACH-000028,-0.09939201130520203
ACH-000030,-0.06860099303251893
ACH-000035,-0.1261647606471717
ACH-000036,-0.13991113683091688
ACH-000037,-0.13098727630121146
ACH-000039,-0.2195873263700122
ACH-000040,-0.11191131892672247
ACH-000041,-0.05699524805918078
ACH-000042,-0.19059153605313603
ACH-000045,-0.08501435298894222
ACH-000047,0.016131482731446458
ACH-000052,0.029063949500201133
ACH-000053,-0.11407402532505848
ACH-000054,-0.16265895220381285
ACH-000055,-0.09497814508386752
ACH-000060,-0.1498120348591599
ACH-000067,-0.21938722125130966
ACH-000070,-0.1835150337078685
ACH-000075,-0.20985051189999787
ACH-000078,-0.15855843717674006
ACH-000082,-0.08829390186619303
ACH-000085,-0.15764609410674282
ACH-000086,-0.13956074902130444
ACH-000087,0.068529271402603
ACH-000092,-0.2578328246154121
ACH-000095,-0.04838169329076774
ACH-000097,-0.056542043658207274
ACH-000098,0.033066533693343926
ACH-000099,-0.1295229577446038
ACH-000108,-0.025444670140316632
ACH-000113,-0.22698024775030026
ACH-000116,-0.09053834703972873
ACH-000118,-0.1535422957555713
ACH-000120,-0.15622038624088394
ACH-000123,-0.2721122494701421
ACH-000127,-0.15917595578486782
ACH-000128,-0.21278303629913
ACH-000132,-0.17957216504298515
ACH-000133,-0.12876514213157764
ACH-000137,0.05586623535426124
ACH-000138,-0.22742971477323565
ACH-000142,0.03479281712526516
ACH-000143,-0.16953232249328096
ACH-000146,-0.07971766943935926
ACH-000148,-0.09610560593591032
ACH-000150,-0.3824174586227093
ACH-000152,-0.16658677226659133
ACH-000153,-0.2934426845461256
ACH-000159,-0.14948833630464234
ACH-000160,-0.018757058141505842
ACH-000163,-0.08405734352959812
ACH-000167,-0.01962782598481503
ACH-000168,-0.18606612498535616
ACH-000169,-0.13653855313589286
ACH-000178,-0.3010225185400586
ACH-000183,-0.2015792123159412
ACH-000188,-0.13544504476455446
ACH-000189,-0.01717111584189125
ACH-000190,-0.2553151766563422
ACH-000198,-0.14429944896189448
ACH-000203,-0.4502769467254277
ACH-000204,-0.1773601660969167
ACH-000206,0.04588746378496608
ACH-000207,-0.2776951148049596
ACH-000208,-0.10428730766756064
ACH-000210,-0.22313322342564465
ACH-000211,-0.1507720934724611
ACH-000215,-0.08769418790124649
ACH-000221,-0.0701944876156298
ACH-000222,-0.03802536477150915
ACH-000223,-0.20585817033506876
ACH-000226,-0.05938408139571767
ACH-000227,-0.056989605408162336
ACH-000228,-0.04030604823918671
ACH-000231,-0.09115960322267762
ACH-000232,-0.1677511701335095
ACH-000233,-0.08318402844589166
ACH-000234,-0.2331531945179335
ACH-000235,-0.09790024099740824
ACH-000237,-0.09610038384783301
ACH-000238,-0.09090800946239176
ACH-000242,-0.14437129600265747
ACH-000243,-0.07789427810246087
ACH-000244,-0.10076008794009328
ACH-000246,-0.12377586264146592
ACH-000248,-0.31007547247994016
ACH-000250,-0.3305299087288601
ACH-000251,-0.4647808191372361
ACH-000252,-0.09327959116140468
ACH-000253,-0.1591372772774037
ACH-000255,-0.018997130824734632
ACH-000256,-0.12156778499409973
ACH-000257,-0.21177512880815375
ACH-000258,-0.17496705879125454
ACH-000259,-0.017426013601232554
ACH-000260,-0.16996462220285974
ACH-000261,-0.18178760083701206
ACH-000262,-0.14749623350493854
ACH-000263,-0.2314668571624375
ACH-000264,-0.03817091777374095
ACH-000265,-0.14484958832182002
ACH-000266,-0.042376647014321006
ACH-000272,-0.26197250872484706
ACH-000274,-0.07036815002797732
ACH-000277,-0.08826910428168551
ACH-000278,-0.1231811678949863
