,SERPINF1 (5176)
ACH-000004,-0.07591333104790657
ACH-000005,-0.01434178363482879
ACH-000007,-0.09223755967702156
ACH-000009,-0.150900138116875
ACH-000011,-0.1619440933919162
ACH-000012,-0.1319442436144138
ACH-000013,-0.10988659476238333
ACH-000014,-0.14977110400864654
ACH-000015,-0.1733382129616089
ACH-000017,-0.1404801669727018
ACH-000018,-0.184076410370952
ACH-000019,-0.03857415698747048
ACH-000021,-0.057090067433725564
ACH-000022,-0.1294027761246197
ACH-000025,-0.0456238980399508
ACH-000028,-0.2431537828688648
ACH-000030,-0.046282622110883236
ACH-000035,-0.006983387082722675
ACH-000036,-0.09659928997184047
ACH-000037,-0.17304937205089313
ACH-000039,-0.036631898611883235
ACH-000040,0.11081393050906804
ACH-000041,-0.1320825725243159
ACH-000042,-0.14378209514168916
ACH-000045,-0.2351879540832117
ACH-000047,-0.18741768558413105
ACH-000052,-0.02646204417571401
ACH-000053,-0.001684666274297005
ACH-000054,-0.007684300163919236
ACH-000055,-0.062347184508536976
ACH-000060,-0.0901038842123827
ACH-000067,-0.048787960866345084
ACH-000070,-0.057964920072014786
ACH-000075,-0.4479775215832912
ACH-000078,-0.1709028165861118
ACH-000082,-0.22493427041573144
ACH-000085,0.18226354164312036
ACH-000086,-0.06434414372934331
ACH-000087,-0.058320523529715874
ACH-000092,-0.012765138155844402
ACH-000095,-0.009050952778185857
ACH-000097,-0.07223994345738691
ACH-000098,-0.10493177222444926
ACH-000099,-0.10121423045825208
ACH-000108,-0.14131851198177642
ACH-000113,-0.1285704054373256
ACH-000116,-0.0954185773713944
ACH-000118,-0.10267407856506698
ACH-000120,-0.18898902643036827
ACH-000123,-0.016284414513716386
ACH-000127,-0.08820381568497937
ACH-000128,0.008165035722909234
ACH-000132,-0.16997734255252012
ACH-000133,0.10751091659457676
ACH-000137,-0.1880966111236351
ACH-000138,0.0040833175662229
ACH-000142,-0.02552366856191924
ACH-000143,-0.0024557147002931164
ACH-000146,-0.1026682435331872
ACH-000148,-0.12349480530102867
ACH-000150,-0.224230978430633
ACH-000152,-0.06585222257138612
ACH-000153,-0.02239094602193079
ACH-000159,-0.08471857645896078
ACH-000160,-0.07657866128823614
ACH-000163,0.008425478645902255
ACH-000167,-0.21049077664145574
ACH-000168,-0.21912949573590249
ACH-000169,0.003064347974078723
ACH-000178,-0.04877421265539998
ACH-000183,0.15345382356043774
ACH-000188,-0.11822160171113474
ACH-000189,-0.20757868543519264
ACH-000190,-0.32660921007265353
ACH-000198,0.005691911559159323
ACH-000203,0.6889471470699825
ACH-000204,-0.009750153118980876
ACH-000206,-0.20796465009650847
ACH-000207,-0.04693812338877479
ACH-000208,-0.06706019010511961
ACH-000210,-0.01622122750181547
ACH-000211,-0.021107962180288296
ACH-000215,0.010511824778795009
ACH-000221,-0.07557623394086398
ACH-000222,-0.08515287800201522
ACH-000223,-0.07422365248414985
ACH-000226,-0.008128699945897391
ACH-000227,-0.19316012018123047
ACH-000228,-0.11121884677217324
ACH-000231,-0.1425846204297016
ACH-000232,-0.026062401543630518
ACH-000233,-0.16320529187107904
ACH-000234,-0.14758769329842925
ACH-000235,-0.12845360146968535
ACH-000237,0.02901698131897155
ACH-000238,-0.0675503454628335
ACH-000242,0.09312767509728116
ACH-000243,0.016620524540114645
ACH-000244,-0.13010670180227402
ACH-000246,-0.07456194457800287
ACH-000248,0.07271604592550035
ACH-000250,-0.06627240753613135
ACH-000251,-0.17017049619189695
ACH-000252,-0.172165682560626
ACH-000253,-0.08518716305838415
ACH-000255,0.016211327296332033
ACH-000256,-0.10666459989556086
ACH-000257,0.0959358580628712
ACH-000258,0.08310094075712426
ACH-000259,-0.08990260648703255
ACH-000260,-0.18108384574872
ACH-000261,0.005338230753115615
ACH-000262,-0.4425807824138749
ACH-000263,-0.08840328567902468
ACH-000264,-0.035551916535927965
ACH-000265,-0.02995175926359628
ACH-000266,-0.13837181774890014
ACH-000272,-0.08496957701712356
ACH-000274,-0.0769039883440222
ACH-000277,-0.20864160832970075
ACH-000278,-0.007009415818199828
ACH-000279,-0.08037458251930166
ACH-000280,-0.17145645029011033
ACH-000281,-0.05007629826888802
ACH-000288,-0.363915467993044
ACH-000291,-0.08937498849738527
ACH-000293,0.011234379122533706
ACH-000294,-0.06064238201221565
ACH-000295,0.0024877185548805407
ACH-000296,-0.09301728959327184
ACH-000302,-0.07963034055703963
ACH-000304,-0.18405265078873007
ACH-000307,-0.018900934497983336
ACH-000308,-0.09264272610883634
ACH-000310,-0.2015059268138496
ACH-000311,-0.17681518417107076
ACH-000312,0.021021589231597575
ACH-000315,-0.0076659945689414016
ACH-000316,0.03739790442885674
ACH-000317,-0.022139947806940497
ACH-000318,-0.23058121076485186
ACH-000319,-0.007877200545101413
ACH-000320,-0.06906200267816821
ACH-000322,0.07333707094601287
ACH-000323,-0.190878025393992
ACH-000324,-0.3125723725449299
ACH-000329,-0.1720425770868903
ACH-000330,0.10139226453688953
ACH-000331,-0.1646400201587518
ACH-000332,-0.09844335758403798
ACH-000334,-0.2950936722657365
ACH-000335,0.009161423999277088
ACH-000336,-0.4944597280953378
ACH-000337,0.005892632974686989
ACH-000338,-0.5354488810680699
ACH-000339,-0.13304911191698354
ACH-000341,0.05817955021111688
ACH-000348,-0.2300005056519936
ACH-000350,-0.14683415286452356
ACH-000352,0.05843299929946055
ACH-000356,-0.1136787727135136
ACH-000361,-0.1854426935595716
ACH-000362,-0.18134663460745248
ACH-000363,-0.14166300392144676
ACH-000364,-0.04390706856783451
ACH-000365,-0.1822148957215076
ACH-000366,-0.053751073076948895
ACH-000368,0.040968092343245284
ACH-000374,0.052348758940087024
ACH-000375,0.09767142136570683
ACH-000376,0.07536914716212856
ACH-000381,-0.32961627442492464
ACH-000383,-0.2055359084182874
ACH-000387,-0.13650603268113484
ACH-000389,-0.015965500649324234
ACH-000390,0.04352807917448688
ACH-000393,-0.10990070657460492
ACH-000395,-0.20706216930294585
ACH-000396,-0.22034727472598845
ACH-000397,-0.19402303124914855
ACH-000401,-0.2099290332680256
ACH-000402,-0.06824956944710314
ACH-000403,-0.14481081079597
ACH-000404,0.059929328790540276
ACH-000406,-0.07225296009472461
ACH-000407,-0.06537613795150167
ACH-000408,-0.06263002183391815
ACH-000410,-0.08210803357604074
ACH-000411,-0.15295586931406924
ACH-000414,-0.05405638033828162
ACH-000415,-0.1287651110626672
ACH-000416,-0.003372923747968357
ACH-000420,-0.1702524605068255
ACH-000421,-0.16660193149776925
ACH-000424,-0.4083016786202893
ACH-000425,-0.09386675718951652
ACH-000426,-0.15616375631754167
ACH-000427,-0.0020808624293372985
ACH-000433,0.016921296238874468
ACH-000435,0.03234907259194605
ACH-000436,-0.05553433367133053
ACH-000444,-0.032334583851286104
ACH-000445,-0.20568537073199905
ACH-000448,-0.14831962146490393
ACH-000450,-0.15628806529981176
ACH-000452,0.03641584368492347
ACH-000454,0.06839381230294216
ACH-000458,0.01137421901124015
ACH-000459,-0.2547118383591996
ACH-000460,-0.04221230691448796
ACH-000461,-0.08359262515218964
ACH-000463,-0.07722917334994794
ACH-000464,-0.2561095170002562
ACH-000466,-0.2747503296210229
ACH-000467,-0.03609009619862808
ACH-000468,-0.15756024549888106
ACH-000469,-0.20057952711133595
