,GFM1 (85476)
ACH-000004,-0.4280855127606107
ACH-000005,-0.4498300665734217
ACH-000007,-0.5891065820763771
ACH-000009,-0.5499962161845682
ACH-000011,-0.4103015485468863
ACH-000012,-0.7246323951374385
ACH-000013,-0.2907202477600077
ACH-000014,-0.6479061064472224
ACH-000015,-0.6779076939573707
ACH-000017,-0.4627477052729324
ACH-000018,-0.7788594699348144
ACH-000019,-0.585437355922664
ACH-000021,-0.3984251979874095
ACH-000022,-0.5836939586125068
ACH-000025,-0.5152051979376348
ACH-000028,-0.6867018663103321
ACH-000030,-0.5217210461163273
ACH-000035,-0.7569475907765696
ACH-000036,-0.2712349860763236
ACH-000037,-0.3735267877814531
ACH-000039,-0.4414081588636872
ACH-000040,-0.3721011588576034
ACH-000041,-0.6568594762229434
ACH-000042,-0.3387791119194692
ACH-000045,-0.4274782323266748
ACH-000047,-0.7654997418262481
ACH-000052,-0.5170202628431797
ACH-000053,-0.4750736830600272
ACH-000054,-0.6513934241258538
ACH-000055,-0.492671700760981
ACH-000060,-0.5727821944375379
ACH-000067,-0.6207370263945934
ACH-000070,-0.7508978615794031
ACH-000075,-0.3974107021999526
ACH-000078,-0.4599476868410622
ACH-000082,-0.5380112346203932
ACH-000085,-0.5610851007676079
ACH-000086,-0.864567523943421
ACH-000087,-0.7294541382606368
ACH-000092,-0.4218810465449952
ACH-000095,-0.36650832209478057
ACH-000097,-0.29806752219856797
ACH-000098,-0.4931554534746312
ACH-000099,-0.5085457410648591
ACH-000108,-0.4903425120970631
ACH-000113,-0.3345402337567086
ACH-000116,-0.3706448356382549
ACH-000118,-0.6261162707122729
ACH-000120,-0.3268523172228293
ACH-000123,-0.5659898153229497
ACH-000127,-0.7660512394850274
ACH-000128,-0.7713328549904879
ACH-000132,-0.4654727065920646
ACH-000133,-0.5759308209106896
ACH-000137,-0.4579487701070862
ACH-000138,-0.5825767059793476
ACH-000142,-0.3973711629353053
ACH-000143,-0.6022017998923818
ACH-000146,-0.5283152772369092
ACH-000148,-0.5550253503754792
ACH-000150,-0.8067950535621237
ACH-000152,-0.7244026521789817
ACH-000153,-0.6553444592453349
ACH-000159,-0.380809058921116
ACH-000160,-0.7270256996496399
ACH-000163,-0.6110636266910053
ACH-000167,-0.3914882364231346
ACH-000168,-0.2295898462996934
ACH-000169,-0.6353981605090457
ACH-000178,-0.5428503657214918
ACH-000183,-0.4572635628292782
ACH-000188,-0.4138239283040697
ACH-000189,-0.5136968940304466
ACH-000190,-0.7792915958547885
ACH-000198,-0.6379530632458444
ACH-000203,-0.3515831732157005
ACH-000204,-0.5504891336139973
ACH-000206,-0.4616718898167373
ACH-000207,-0.7625247626463808
ACH-000208,-0.4149137300479409
ACH-000210,-0.5277153796315528
