,MARCH7 (64844)
ACH-000004,0.12134511664126026
ACH-000005,0.2911262028426297
ACH-000007,0.05516673620785068
ACH-000009,-0.13624020609870366
ACH-000011,0.11189534078490523
ACH-000012,0.19898263727226587
ACH-000013,-0.10056000839954543
ACH-000014,0.02498400925917693
ACH-000015,0.04943242998749454
ACH-000017,0.28905045387572464
ACH-000018,0.06864126935925978
ACH-000019,0.049715152365381626
ACH-000021,0.11498493050566895
ACH-000022,0.10428985380029153
ACH-000025,0.20670311072277603
ACH-000028,0.14685495382543015
ACH-000030,0.004900023269625022
ACH-000035,0.030930213709214824
ACH-000036,0.03062940169970385
ACH-000037,0.0416678653512496
ACH-000039,0.1249216320226208
ACH-000040,0.007407062029926131
ACH-000041,0.051670416320410265
ACH-000042,-0.039332144207843464
ACH-000045,0.08675939915896741
ACH-000047,0.11964430188279168
ACH-000052,-0.16646040655884697
ACH-000053,-0.01613966824312566
ACH-000054,0.09380619933268992
ACH-000055,0.3872973648988733
ACH-000060,-0.1991754310496019
ACH-000067,-0.09615295380847523
ACH-000070,0.06948578328929175
ACH-000075,0.100569998473395
ACH-000078,0.028444256005449826
ACH-000082,0.09521386752086324
ACH-000085,0.11970663180910986
ACH-000086,0.1300280163106373
ACH-000087,-0.15780315869665645
ACH-000092,-0.10857075213962468
ACH-000095,-0.09143168820658197
ACH-000097,0.07504780094752603
ACH-000098,-0.06686046488629885
ACH-000099,-0.02407109391923099
ACH-000108,-0.07304331165035602
ACH-000113,0.07874821335271942
ACH-000116,0.001081359553308562
ACH-000118,-0.035760199713354146
ACH-000120,-0.004390779426268533
ACH-000123,-0.03439038460637149
ACH-000127,0.06429836401963211
ACH-000128,-0.10655881449589844
ACH-000132,-0.05315182765651239
ACH-000133,-0.04923655649699077
ACH-000137,0.03682548701614626
ACH-000138,0.10216512006786066
ACH-000142,0.016821363405178546
ACH-000143,-0.06439584309767063
ACH-000146,0.1570834284438224
ACH-000148,0.016897925867894684
ACH-000150,0.11829018890079858
ACH-000152,-0.013711732578364876
ACH-000153,-0.04788606186469772
ACH-000159,0.041166047283811416
ACH-000160,0.005686055847254458
ACH-000163,0.03441899647607002
ACH-000167,0.043704875586640664
ACH-000168,0.062386081028521535
ACH-000169,-0.15992993572360864
ACH-000178,0.003102096208200995
ACH-000183,-0.07914564862085753
ACH-000188,0.01763366204536761
ACH-000189,0.19302141482775292
ACH-000190,-0.07176493937383922
ACH-000198,0.1749986391255992
ACH-000203,-0.30532133264598044
ACH-000204,0.037797295523703874
ACH-000206,0.13870906790655052
ACH-000207,0.16888795584307031
ACH-000208,-0.5673281980484475
ACH-000210,0.15240520970428306
ACH-000211,-0.04874092643568693
ACH-000215,-0.008307875948974608
ACH-000221,0.1464211493300044
ACH-000222,0.06343102710501909
ACH-000223,-0.004611025846075821
ACH-000226,-0.021924229694082118
ACH-000227,0.0750304343361479
ACH-000228,0.1370262103364432
ACH-000231,0.07892069002620405
ACH-000232,-0.017834299680241996
ACH-000233,-0.03954771171075954
ACH-000234,-0.015811761171188342
ACH-000235,-0.003857679662546113
ACH-000237,0.10309487119346564
ACH-000238,-0.10681564172400387
ACH-000242,0.3818012668097756
ACH-000243,0.010316983865468084
ACH-000244,-0.1087216577759694
ACH-000246,0.099580854481006
ACH-000248,0.17949363944100166
ACH-000250,0.05494797187300273
ACH-000251,-0.1179183817623286
ACH-000252,-0.21266166745476686
ACH-000253,0.0166063177928133
ACH-000255,0.05649439781424824
ACH-000256,-0.01637772981865668
ACH-000257,-0.14573460127503798
ACH-000258,0.187988644767158
ACH-000259,-0.005324082193917265
ACH-000260,-0.016366764339320976
ACH-000261,0.057274645205596074
ACH-000262,0.2219113257874033
ACH-000263,0.09605948445106513
ACH-000264,0.024874520073702357
ACH-000265,0.016242418139871886
ACH-000266,-0.04651621671628898
ACH-000272,-0.12439000256827668
ACH-000274,-0.055977749806336366
ACH-000277,0.1782443529124695
ACH-000278,0.014729280593855169
ACH-000279,-0.036279337870179784
ACH-000280,-0.008694430741124288
ACH-000281,0.07567470670707213
ACH-000288,0.02284034939848657
ACH-000291,0.04300079796836318
ACH-000293,-0.03224658561509244
ACH-000294,0.17010704391489662
ACH-000295,0.09752592185010008
ACH-000296,0.085610980098182
ACH-000302,-0.12739036394747866
ACH-000304,-0.05940072852270694
ACH-000307,0.007945382000538431
ACH-000308,-0.037686648802290376
ACH-000310,-0.05584375013729116
ACH-000311,0.07051789432465129
ACH-000312,-0.043436718482642786
ACH-000315,0.06405687064354064
ACH-000316,-0.032819339664940966
ACH-000317,0.0936670978572365
