,BRAP (8315)
ACH-000004,-0.053731855669962685
ACH-000005,-0.20687912399986336
ACH-000007,-0.029307278198504195
ACH-000009,-0.11185615661061778
ACH-000011,-0.3885457513486707
ACH-000012,-0.5597482791068312
ACH-000013,-0.021117512306767332
ACH-000014,-0.04940128989947835
ACH-000015,-0.02680280433176631
ACH-000017,-0.27764723317613443
ACH-000018,-0.21852822469956631
ACH-000019,-0.3708173909942085
ACH-000021,-0.04676154042920524
ACH-000022,-0.1879172144368394
ACH-000025,-0.1612016383754918
ACH-000028,-0.4334162286565448
ACH-000030,0.09145485454378173
ACH-000035,-0.1210432462534577
ACH-000036,-0.352820263688591
ACH-000037,-0.08976247153158877
ACH-000039,-0.2204575000792776
ACH-000040,-0.056705186333122264
ACH-000041,0.037669747021498036
ACH-000042,-0.1722236818096008
ACH-000045,-0.22240722950443184
ACH-000047,-0.32041457444110544
ACH-000052,-0.14134069667694407
ACH-000053,-0.4778401361646289
ACH-000054,-0.12524421290131366
ACH-000055,-0.14868935383627607
ACH-000060,0.06274769303168433
ACH-000067,-0.14911429294758266
ACH-000070,0.034806657861428635
ACH-000075,-0.16685999217213587
ACH-000078,0.0224659775903055
ACH-000082,-0.2857901159501969
ACH-000085,-0.2891114109266545
ACH-000086,-0.024032597951915004
ACH-000087,-0.3684784095044541
ACH-000092,-0.3705390459052056
ACH-000095,0.003155741101125412
ACH-000097,-0.1786398053159622
ACH-000098,-0.2488458172969853
ACH-000099,-0.1498824328145533
ACH-000108,-0.24981500957891506
ACH-000113,-0.2066275417834467
ACH-000116,0.11060949918469426
ACH-000118,-0.37741281500783497
ACH-000120,-0.2550432174932231
ACH-000123,-0.38844847751832096
ACH-000127,-0.17655469149415035
ACH-000128,-0.1961473678476231
ACH-000132,0.08178685304776317
ACH-000133,-0.12915840427747388
ACH-000137,-0.2118789547127069
ACH-000138,-0.2551370246841411
ACH-000142,-0.4460694209825676
ACH-000143,0.08379445663387669
ACH-000146,-0.17429119493618778
ACH-000148,0.031563692345273835
ACH-000150,0.15041655871976609
ACH-000152,0.11305705569027175
ACH-000153,-0.2670532933302576
ACH-000159,-0.2173753072682059
ACH-000160,-0.10495794299520374
ACH-000163,0.02826403607087417
ACH-000167,-0.25031439789739346
ACH-000168,0.018116681460948445
ACH-000169,0.046124758153062544
