,C4BPB (725)
ACH-000004,-0.30546628561377537
ACH-000005,0.26284235772275305
ACH-000007,-0.06268304851420567
ACH-000009,-0.2022098346929763
ACH-000011,-0.1589500663633625
ACH-000012,0.001021828972170108
ACH-000013,0.022807320940084683
ACH-000014,0.005491866295244683
ACH-000015,-0.038728183863040964
ACH-000017,-0.020835610579803647
ACH-000018,-0.09080013291231956
ACH-000019,-0.09953997676097498
ACH-000021,-0.08452131259789981
ACH-000022,-0.06141540577534702
ACH-000025,-0.04570498793143755
ACH-000028,-0.07897838467875935
ACH-000030,0.021525707271516595
ACH-000035,0.12065107048278527
ACH-000036,-0.018960447133711863
ACH-000037,-0.14104162467286824
ACH-000039,0.035326722845745964
ACH-000040,-0.009067759703346966
ACH-000041,-0.07627497318016634
ACH-000042,-0.06011445109766849
ACH-000045,0.06948581776854344
ACH-000047,0.08586454458994955
ACH-000052,-0.09890934244970656
ACH-000053,-0.09765217567894843
ACH-000054,-0.09204727720372076
ACH-000055,0.042418417794593134
ACH-000060,0.1141490733050455
ACH-000067,-0.026011981304516905
ACH-000070,-0.0716488652778518
ACH-000075,-0.052506624955257694
ACH-000078,-0.12487581187185527
ACH-000082,-0.06946816129354752
ACH-000085,-0.006286033121998653
ACH-000086,-0.3163432784949726
ACH-000087,-0.0455957657394107
ACH-000092,-0.0902405507326109
ACH-000095,-0.06859947543222973
ACH-000097,-0.05174942000834869
ACH-000098,-0.061903648130595124
ACH-000099,-0.006110205882224265
ACH-000108,-0.1195686863072825
ACH-000113,-0.3202832009619353
ACH-000116,0.0249826901895993
ACH-000118,-0.02267258359374862
ACH-000120,-0.08119214671691972
ACH-000123,-0.00022463394972396802
ACH-000127,-0.09396840561812353
ACH-000128,-0.04577605168100635
ACH-000132,-0.13120536493544027
ACH-000133,-0.05540870218895226
ACH-000137,0.02877036790636815
ACH-000138,0.03304018589366701
ACH-000142,-0.14419620262252394
ACH-000143,-0.04721348706165609
ACH-000146,-0.029532825338192226
ACH-000148,-0.1438242379135397
ACH-000150,0.03655360056337948
ACH-000152,0.046358482873548
ACH-000153,-0.31477943521488694
ACH-000159,-0.06007003436681641
ACH-000160,-0.0797961269342387
ACH-000163,0.01550439225697434
ACH-000167,-0.026866985476932358
ACH-000168,-0.16209938747880498
ACH-000169,-0.0016733107540505881
ACH-000178,-0.020503091063470046
ACH-000183,-0.19728848570691307
ACH-000188,-0.09427072670136988
ACH-000189,0.2217638409820603
ACH-000190,0.016076675014140503
ACH-000198,-0.034284840207864924
ACH-000203,-0.012963025838697684
ACH-000204,-0.1345767496416041
ACH-000206,-0.030203925158522587
ACH-000207,0.18495898172521189
ACH-000208,0.02452124567580434
ACH-000210,-0.17236281589137095
ACH-000211,0.002424946820454328
ACH-000215,-0.12493057961689162
ACH-000221,0.030351905848257782
ACH-000222,-0.00013904275074114492
ACH-000223,-0.042801270202632184
ACH-000226,-0.13832718694846327
ACH-000227,-0.05974975553113378
ACH-000228,-0.035564120481986664
ACH-000231,-0.03590869854875925
ACH-000232,-0.023010687339410984
ACH-000233,-0.18317055667348092
ACH-000234,0.03544408855539661
ACH-000235,-0.1440722480536956
ACH-000237,-0.06200516987146375
ACH-000238,-0.0369235630009644
ACH-000242,0.148348768007917
ACH-000243,-0.06419481991094829
ACH-000244,-0.13003453470528265
ACH-000246,-0.16845451759823785
ACH-000248,0.0014796411397519696
ACH-000250,-0.050077988094966414
