,PPIA (5478)
ACH-000004,-0.7995028766348649
ACH-000005,-0.8036699706737077
ACH-000007,-0.4609467928134584
ACH-000009,-0.6353018394595663
ACH-000011,-0.5583047729237999
ACH-000012,-0.5958565994333103
ACH-000013,-0.52326545662888
ACH-000014,-0.5349831214903035
ACH-000015,-0.5679012655379525
ACH-000017,-0.3623488556763631
ACH-000018,-0.690246427742737
ACH-000019,-0.7751946365832859
ACH-000021,-0.5511731053403557
ACH-000022,-0.5431929293596022
ACH-000025,-0.4014124039542481
ACH-000028,-0.40624132060884494
ACH-000030,-0.5821802114616577
ACH-000035,-0.5926095746411657
ACH-000036,-0.446408029674558
ACH-000037,-0.5975229920782408
ACH-000039,-0.6125356006657079
ACH-000040,-0.7235950407927796
ACH-000041,-0.6808713249403534
ACH-000042,-0.5778855439152247
ACH-000045,-0.6003959828493118
ACH-000047,-0.7085196660233083
ACH-000052,-0.4508647628995456
ACH-000053,-0.4553062961567667
ACH-000054,-0.5240569247531055
ACH-000055,-0.4296180864654867
ACH-000060,-0.6948246138705131
ACH-000067,-0.6515220715351615
ACH-000070,-0.6362727048083037
ACH-000075,-0.8821902877110811
ACH-000078,-0.5532868967351467
ACH-000082,-0.5380462832094727
ACH-000085,-0.5717821429675196
ACH-000086,-0.2671125045849002
ACH-000087,-0.6013249220259937
ACH-000092,-0.4713847241160731
ACH-000095,-0.6116238997443266
ACH-000097,-0.5613089789723974
ACH-000098,-0.5787782066724675
ACH-000099,-0.4540493221802132
ACH-000108,-0.4906574866661241
ACH-000113,-0.47484075731014
ACH-000116,-0.692118021077953
ACH-000118,-0.5390194206614249
ACH-000120,-0.5925884753720047
ACH-000123,-0.5149413587964757
ACH-000127,-0.533183709466544
ACH-000128,-0.4745883304555995
ACH-000132,-0.4520592588716806
ACH-000133,-0.42556843919687337
ACH-000137,-0.5846339995640925
ACH-000138,-0.53768798612095
ACH-000142,-0.40331901920316215
ACH-000143,-0.5712038172791815
ACH-000146,-0.5042723089048552
ACH-000148,-0.43754212183724606
ACH-000150,-0.6587489910593801
ACH-000152,-0.441531605751063
ACH-000153,-0.7609555824015276
ACH-000159,-0.5939461865952771
ACH-000160,-0.5408581263187446
ACH-000163,-0.6371561404272403
ACH-000167,-0.4940138708284353
ACH-000168,-0.4013887127346773
ACH-000169,-0.6039268995757495
ACH-000178,-0.5770933483097292
ACH-000183,-0.5481219173014679
ACH-000188,-0.6867804892599937
ACH-000189,-0.9632651119805644
ACH-000190,-0.5976854037693494
ACH-000198,-0.617705661951812
ACH-000203,-0.203797402809348
ACH-000204,-0.5784653438030218
ACH-000206,-0.619404048663054
ACH-000207,-0.5427584351627016
ACH-000208,-0.8509608085934914
ACH-000210,-0.8303296557712269
ACH-000211,-0.4512260036138442
ACH-000215,-0.5051338745766021
ACH-000221,-0.7659673499532929
ACH-000222,-0.7292806669483423
ACH-000223,-0.4769712453571826
ACH-000226,-0.4320305918565592
ACH-000227,-0.50136275745445
ACH-000228,-0.5462112686671894
ACH-000231,-0.5817847401053601
ACH-000232,-0.5631778804255716
ACH-000233,-0.4164142704363731
ACH-000234,-0.6022487158566504
ACH-000235,-0.6033393895120682
ACH-000237,-0.6554589581461104
ACH-000238,-0.7798993443786937
ACH-000242,-0.4811474966456114
ACH-000243,-0.600063071209561
ACH-000244,-0.8318142148624479
ACH-000246,-0.4375117890565206
ACH-000248,-0.5781355287281668
ACH-000250,-0.500478261169091
ACH-000251,-0.2506933248487178
ACH-000252,-0.5139882329346548
ACH-000253,-0.6445599853836137
ACH-000255,-0.5596923814168634
ACH-000256,-0.6062059902288921
ACH-000257,-0.5438545035210917
ACH-000258,-0.4450661221910722
ACH-000259,-0.6477827302258197
ACH-000260,-0.6662555403720399
ACH-000261,-0.6410491576017523
ACH-000262,-0.7246532396993683
ACH-000263,-0.8753396340778621
ACH-000264,-0.6626181908605281
ACH-000265,-0.4554950839008273
ACH-000266,-0.6247610091588484
