,EIF2S1 (1965)
ACH-000004,-1.7401832248163178
ACH-000005,-1.8812153875641275
ACH-000007,-1.4635577574080678
ACH-000009,-1.63226910368701
ACH-000011,-1.5242581091482126
ACH-000012,-1.4646945418984911
ACH-000013,-1.5866953628393503
ACH-000014,-1.8268971004189
ACH-000015,-1.4278921874674309
ACH-000017,-1.4326333131572029
ACH-000018,-1.3752056364916447
ACH-000019,-1.1946237752121316
ACH-000021,-1.3600991094217048
ACH-000022,-1.328046073973313
ACH-000025,-1.440605564641695
ACH-000028,-1.3240064076848708
ACH-000030,-1.5093092216357389
ACH-000035,-1.3865926526041192
ACH-000036,-1.5171270015789795
ACH-000037,-1.735318580915344
ACH-000039,-1.5676785151458454
ACH-000040,-1.3608032285223906
ACH-000041,-1.6667055671783275
ACH-000042,-1.4795703069714243
ACH-000045,-1.5867356650432667
ACH-000047,-1.4393362988400111
ACH-000052,-1.6051311497315095
ACH-000053,-1.4679569180270782
ACH-000054,-1.4994399496426167
ACH-000055,-1.5309448954672469
ACH-000060,-1.5051691793897604
ACH-000067,-1.5797374075797952
ACH-000070,-1.6786241532458792
ACH-000075,-1.3916320615490276
ACH-000078,-1.538127223834257
ACH-000082,-1.580681496567221
ACH-000085,-1.7215447534210473
ACH-000086,-1.1666128249704888
ACH-000087,-1.577101160985949
ACH-000092,-1.527235044015239
ACH-000095,-1.4396377330064891
ACH-000097,-1.4356240439738277
ACH-000098,-1.5758896286773696
ACH-000099,-1.4183813998809252
ACH-000108,-1.5492128251464001
ACH-000113,-1.5003221595032024
ACH-000116,-1.3293435879073792
ACH-000118,-1.3506930805118906
ACH-000120,-1.5593369370411458
ACH-000123,-1.3876571525775472
ACH-000127,-1.6441557060326961
ACH-000128,-1.439069106079905
ACH-000132,-1.5930397781709862
ACH-000133,-1.5133974353358772
ACH-000137,-1.5813408102418245
ACH-000138,-1.1916962898028267
ACH-000142,-1.4481596939154535
ACH-000143,-1.4920505561343027
ACH-000146,-1.6317469071830413
ACH-000148,-1.5920477106521596
ACH-000150,-1.0138335207644842
ACH-000152,-1.3390575176670754
ACH-000153,-1.6816739865651853
ACH-000159,-1.571321422981612
ACH-000160,-1.4122091551485323
ACH-000163,-1.487907908875758
ACH-000167,-2.5419765903398965
ACH-000168,-1.6518404190455178
ACH-000169,-1.4370466177087742
ACH-000178,-1.486826420875596
ACH-000183,-1.5265642169428533
ACH-000188,-1.2359473949555453
ACH-000189,-1.422813059072641
ACH-000190,-1.7195310304359737
ACH-000198,-1.4658650381578595
ACH-000203,-1.4466922041878785
ACH-000204,-1.4854393285831282
ACH-000206,-1.3123094645015598
ACH-000207,-1.2450079324933174
ACH-000208,-1.6867640813861566
ACH-000210,-1.6663884013499166
ACH-000211,-1.4230538578410157
ACH-000215,-1.6263015723102563
ACH-000221,-1.5574618617942342
ACH-000222,-1.6220266978346645
ACH-000223,-1.5306272879904264
ACH-000226,-1.3841029741979374
ACH-000227,-1.7006680983054772
ACH-000228,-1.2554924382485548
ACH-000231,-1.54742513104281
ACH-000232,-1.6098267146942618
ACH-000233,-1.4284568714438188
ACH-000234,-1.6977547491711793
ACH-000235,-1.5120555901569466
ACH-000237,-1.5025925816046566
ACH-000238,-1.4874769926340514
ACH-000242,-1.272001026933845
ACH-000243,-1.4186762297159785
ACH-000244,-1.5695810353581003
ACH-000246,-1.4933329081548008
ACH-000248,-1.3907850311543573
ACH-000250,-1.5269249456814902
ACH-000251,-1.6180553530670267
ACH-000252,-1.71245717305538
ACH-000253,-1.4449714588617126
ACH-000255,-1.1982682068056836
ACH-000256,-1.3148635772367936
ACH-000257,-1.779224011758925
ACH-000258,-1.3050239897582758
ACH-000259,-1.6048017530645886
ACH-000260,-1.560380307353716
ACH-000261,-1.4062079172138402
ACH-000262,-1.259538340819631
ACH-000263,-1.6346526625409925
ACH-000264,-1.639363836603319
ACH-000265,-1.4111640397538336
ACH-000266,-1.2871209874063627
ACH-000272,-1.6045103470099533
ACH-000274,-1.5717484276861182
ACH-000277,-1.584248310444304
ACH-000278,-1.5088577428417638
ACH-000279,-1.5629601799137534
ACH-000280,-1.3383519819262528
ACH-000281,-1.486400712762198
ACH-000288,-1.5727425897554688
ACH-000291,-1.4691125600546675
ACH-000293,-1.2603401074292109
ACH-000294,-1.6288175370616294
ACH-000295,-1.6313441043898147
ACH-000296,-1.4315835411469382
ACH-000302,-1.57297496315996
ACH-000304,-1.848961932125085
ACH-000307,-1.3794489913029149
ACH-000308,-1.7192508583444932
ACH-000310,-1.4317318902171283
ACH-000311,-1.4936175124592388
ACH-000312,-1.457545998618177
ACH-000315,-1.4598947304343204
ACH-000316,-1.3631604811494975
ACH-000317,-1.7806324180740014
ACH-000318,-1.279141283555007
ACH-000319,-1.272517921781881
ACH-000320,-1.5694182318781813
ACH-000322,-1.6796661245898712
ACH-000323,-1.4367740046189967
ACH-000324,-1.440048469063017
ACH-000329,-1.4711579758431756
ACH-000330,-1.2793594748371857
ACH-000331,-1.5020999600061635
ACH-000332,-1.375061008175945
ACH-000334,-1.8957122681939984
ACH-000335,-1.3795562768875846
ACH-000336,-1.3620523904454804
ACH-000337,-1.449371700495078
ACH-000338,-1.113040009818124
ACH-000339,-1.3327333799679824
ACH-000341,-1.6726969551269768
ACH-000348,-1.5354373127928804
ACH-000350,-1.3994665938888444
ACH-000352,-1.4730669871227051
ACH-000356,-1.4001152532637269
ACH-000361,-1.3343159238983306
ACH-000362,-1.533467645197009
ACH-000363,-1.6212349967965098
ACH-000364,-1.3966559660048583
ACH-000365,-1.527113813840011
ACH-000366,-1.323782962386691
ACH-000368,-1.5586456793196084
ACH-000374,-1.6622374766534982
ACH-000375,-1.535886922582428
ACH-000376,-1.3464304703757015
ACH-000381,-1.4608669475924154
ACH-000383,-1.6591405667583081
ACH-000387,-1.8385532260411053
ACH-000389,-1.3627780753575012
ACH-000390,-1.3132390767757884
ACH-000393,-1.5086042973768496
ACH-000395,-1.6134886594253368
ACH-000396,-1.4303216546462814
ACH-000397,-1.443216167702804
ACH-000401,-1.4241505288740322
ACH-000402,-1.627857298977028
ACH-000403,-1.6987150989842548
ACH-000404,-1.5890053479457982
ACH-000406,-1.3579880559386093
ACH-000407,-1.36089217695015
ACH-000408,-1.2818864995437909
ACH-000410,-1.353371158280606
ACH-000411,-1.6303536369401672
ACH-000414,-1.5265778806079704
ACH-000415,-1.5036575750487229
ACH-000416,-1.4874352833624047
ACH-000420,-1.4096235312053924
ACH-000421,-1.3428620730432197
ACH-000424,-1.616086820303526
ACH-000425,-1.5930103352127385
ACH-000426,-1.3450009653434234
ACH-000427,-1.5468163260449752
ACH-000433,-1.6829414895636488
ACH-000435,-1.60824544036724
ACH-000436,-1.4576537335899895
ACH-000444,-1.4658021423772818
ACH-000445,-1.2920208787061092
ACH-000448,-1.4422554468711726
ACH-000450,-1.6842160982545094
ACH-000452,-1.6007129621497451
ACH-000454,-1.5022875054810676
ACH-000458,-1.1623465967344675
ACH-000459,-1.8145202128074007
ACH-000460,-1.4105387273075682
ACH-000461,-1.1590142432744606
ACH-000463,-1.2496136699299156
ACH-000464,-1.5022281367724262
ACH-000466,-1.5450687212267649
ACH-000467,-1.5125238681848157
ACH-000468,-1.6199285997873938
ACH-000469,-1.4495704435409067
ACH-000470,-1.5828082409332458
ACH-000471,-1.525879423554494
ACH-000472,-1.3593290179339113
ACH-000473,-1.398936024392652
ACH-000475,-1.5660011989691716
ACH-000476,-1.534129889024598
ACH-000477,-1.8052953158271416
ACH-000479,-1.4636568012107165
ACH-000480,-1.4841618829468302
ACH-000481,-1.5262817687252717
ACH-000483,-1.54779472708946
ACH-000484,-1.5416788832350767
ACH-000485,-1.448023103221789
ACH-000486,-1.406913616058555
ACH-000487,-1.6536517663649282
ACH-000488,-1.3963383314183195
ACH-000490,-1.4077342019827528
ACH-000491,-1.4560765797447337
ACH-000495,-1.420006923581275
ACH-000496,-1.5243323016215717
ACH-000499,-1.7114939787624266
ACH-000500,-1.4069363930325216
ACH-000502,-1.4560786126852152
ACH-000503,-1.246763634735623
ACH-000505,-1.4533183903262674
ACH-000507,-1.4133162673426398
ACH-000510,-1.5685465601726662
ACH-000511,-1.4994121508072205
ACH-000512,-1.394592562172583
ACH-000516,-1.5673462389945938
ACH-000517,-1.524981967241272
ACH-000518,-1.4939929411548225
ACH-000520,-1.5031790415734896
ACH-000521,-1.4155847301160334
ACH-000522,-1.630459965185478
ACH-000524,-1.6170494973195808
ACH-000527,-1.4651855009165935
ACH-000528,-1.5395423845286929
ACH-000537,-1.5831724431506888
ACH-000541,-1.2087143139592431
ACH-000542,-1.4752088288559335
ACH-000544,-1.4604897992051695
ACH-000545,-1.4330721703569862
ACH-000547,-1.306946174434466
ACH-000548,-1.4682140287502263
ACH-000549,-1.2688975057240786
ACH-000550,-1.5020537524561952
ACH-000552,-1.4151399494978725
ACH-000556,-1.5612649915259702
ACH-000557,-1.8173324144570508
ACH-000569,-1.5381071174450334
ACH-000570,-1.5466382282065008
ACH-000571,-1.6653187915984895
ACH-000573,-1.4448684376377765
ACH-000576,-1.3628438637660545
ACH-000579,-1.702229590453575
ACH-000580,-1.8531732880901328
ACH-000584,-1.4669399576410262
ACH-000585,-1.5414798628347544
ACH-000588,-1.3701967398520492
ACH-000589,-1.420642552221003
ACH-000591,-1.3983710963511384
ACH-000593,-1.3935173655126858
ACH-000600,-1.4558309662850386
ACH-000601,-1.453331819382497
ACH-000605,-1.2358348005459614
ACH-000606,-1.2777905707662407
ACH-000608,-1.584326054861247
ACH-000614,-1.8655119330723573
