,RASL10B (91608)
ACH-000004,-0.03778733471568332
ACH-000005,0.03127531622556801
ACH-000007,-0.08850862154627841
ACH-000009,-0.1933857265779472
ACH-000011,-0.0797028940185349
ACH-000012,-0.06135257651148542
ACH-000013,-0.21800865529236954
ACH-000014,-0.2235924234678376
ACH-000015,-0.0735959126124442
ACH-000017,-0.04259809661248958
ACH-000018,-0.28036116470581474
ACH-000019,-0.08574340485565947
ACH-000021,-0.10130022644859746
ACH-000022,-0.19569235693794645
ACH-000025,-0.131933877009172
ACH-000028,-0.1738167185444836
ACH-000030,-0.2507877986218141
ACH-000035,-0.2815189763988741
ACH-000036,-0.23454301243564
ACH-000037,0.10287081173203216
ACH-000039,-0.280155698050339
ACH-000040,-0.3095219999927981
ACH-000041,-0.16480607141934053
ACH-000042,-0.1136425746159694
ACH-000045,-0.12476556907264437
ACH-000047,-0.1908362818593963
ACH-000052,-0.12277089050061475
ACH-000053,-0.23312679228692726
ACH-000054,-0.05342413171145168
ACH-000055,-0.2339009178947267
ACH-000060,-0.13081935004532413
ACH-000067,-0.1730065681144029
ACH-000070,-0.045143802578642686
ACH-000075,-0.07109247364443375
ACH-000078,-0.04267048799898221
ACH-000082,-0.1854086557327476
ACH-000085,-0.037980070859743725
ACH-000086,-0.2206980185048417
ACH-000087,-0.022123718261401963
ACH-000092,-0.2893938323873145
ACH-000095,-0.23633788029690936
ACH-000097,-0.12755488876728055
ACH-000098,-0.19339011396585726
ACH-000099,-0.0779015499237178
ACH-000108,-0.3493432901245876
ACH-000113,0.04031611564846548
ACH-000116,-0.26773265583509503
ACH-000118,-0.06825083678706716
ACH-000120,-0.12517214347950142
ACH-000123,-0.05960225780389445
ACH-000127,-0.21569225553411955
ACH-000128,-0.12636659639703826
ACH-000132,-0.04346866441611283
ACH-000133,-0.1712608570286591
ACH-000137,-0.17226107831217927
ACH-000138,-0.10641043548767136
ACH-000142,-0.17089383439433115
ACH-000143,-0.13593274976642547
ACH-000146,-0.08360876329172755
ACH-000148,-0.2943564507268712
ACH-000150,0.017464516479779212
ACH-000152,-0.34553230304625154
ACH-000153,-0.06753939931490129
ACH-000159,-0.1491970735846569
ACH-000160,-0.16883505215747188
ACH-000163,-0.1932416748546472
ACH-000167,0.04450320478753297
ACH-000168,-0.2422885716224475
ACH-000169,-0.08885609444366435
ACH-000178,-0.19683944831022654
ACH-000183,-0.10379735164139074
ACH-000188,-0.3074718352909046
ACH-000189,-0.3755585895803519
ACH-000190,-0.08897431656692839
ACH-000198,-0.13635388951625887
ACH-000203,0.026973196433059843
ACH-000204,-0.12582185269564367
ACH-000206,-0.20439692622770664
ACH-000207,-0.19659505750185005
ACH-000208,-0.3018553540432962
ACH-000210,-0.3605703039544629
ACH-000211,-0.31157344533131004
ACH-000215,-0.2239032697851764
ACH-000221,-0.1934948636505795
ACH-000222,-0.241403350157191
ACH-000223,-0.18444494810398812
ACH-000226,-0.2396302783653524
ACH-000227,0.015412793654006687
ACH-000228,0.002320632870588423
ACH-000231,-0.2075676877551436
ACH-000232,-0.12002855959668825
ACH-000233,-0.13981095968550175
ACH-000234,-0.15242781946155434
ACH-000235,-0.2617604260498282
ACH-000237,-0.15786605852423735
ACH-000238,-0.28885854917376685
ACH-000242,-0.4842558588453359
ACH-000243,-0.2905644074945518
ACH-000244,-0.36871199454301856
ACH-000246,-0.07260856425747435
ACH-000248,-0.3040050998131251
ACH-000250,-0.1054292734500654
ACH-000251,-0.3102155063870429
ACH-000252,0.0067797328997898
ACH-000253,-0.2404149836292215
