,GTF2H2 (2966)
ACH-000004,-0.4385573626263153
ACH-000005,-0.3760152800286144
ACH-000007,-0.41398114710174655
ACH-000009,-0.4569958578380594
ACH-000011,-0.36891212861495454
ACH-000012,-0.4544513940300184
ACH-000013,-0.5416698291479208
ACH-000014,-0.4963263608292255
ACH-000015,-0.4937234797217353
ACH-000017,-0.15662763622688314
ACH-000018,-0.6864632630999794
ACH-000019,-0.27639678352667063
ACH-000021,-0.35715151422856223
ACH-000022,-0.3737171253012872
ACH-000025,-0.4435899359279878
ACH-000028,-0.30915288099869426
ACH-000030,-0.456784709938165
ACH-000035,-0.4783334615695004
ACH-000036,-0.44956953013124135
ACH-000037,-0.4518462323270541
ACH-000039,-0.4266109959484925
ACH-000040,-0.3625052458882228
ACH-000041,-0.5782487015868343
ACH-000042,-0.3953467158635728
ACH-000045,-0.19961642104890853
ACH-000047,-0.4608973806881258
ACH-000052,-0.4129368035312568
ACH-000053,-0.3643961550756754
ACH-000054,-0.2811212172589708
ACH-000055,-0.3316158008598665
ACH-000060,-0.3557550247232247
ACH-000067,-0.4777228688390573
ACH-000070,-0.4108979838403662
ACH-000075,-0.36430382048602494
ACH-000078,-0.41683780428378653
ACH-000082,-0.16566606854107835
ACH-000085,-0.5017608438871783
ACH-000086,-0.5582803171299721
ACH-000087,-0.3748360891426221
ACH-000092,-0.33972616738209355
ACH-000095,-0.32966401052176075
ACH-000097,-0.4109795587397455
ACH-000098,-0.5334688774352919
ACH-000099,-0.2982575147695468
ACH-000108,-0.4963689288843338
ACH-000113,-0.2828610381645177
ACH-000116,-0.5080220471975724
ACH-000118,-0.41164034241025393
ACH-000120,-0.2931271788253925
ACH-000123,-0.3582139889746149
ACH-000127,-0.5550104950366722
ACH-000128,-0.5824464516306516
ACH-000132,-0.36436113584358704
ACH-000133,-0.3422134115756632
ACH-000137,-0.5285836298205038
ACH-000138,-0.4898971232050207
ACH-000142,-0.5455361439179875
ACH-000143,-0.3948785441135702
ACH-000146,-0.3538098536768583
ACH-000148,-0.4629078286539484
ACH-000150,-0.462849007740844
ACH-000152,-0.4070111965560983
ACH-000153,-0.5332746614309007
ACH-000159,-0.2931690421965969
ACH-000160,-0.2966865104221333
ACH-000163,-0.5157193256972479
ACH-000167,-0.4654680395814504
ACH-000168,-0.4489270479180045
ACH-000169,-0.4018475338929648
ACH-000178,-0.4461369981641858
ACH-000183,-0.3679787527113966
ACH-000188,-0.3215322092401554
ACH-000189,-0.5244044353775407
ACH-000190,-0.3714585372136953
ACH-000198,-0.29785965711742274
ACH-000203,-0.5961895328015765
ACH-000204,-0.3377102351988172
ACH-000206,-0.2741345899336279
ACH-000207,-0.22565609359443195
ACH-000208,-0.3125607673529885
ACH-000210,-0.31719608715144343
ACH-000211,-0.467788422484618
ACH-000215,-0.4584254093386699
ACH-000221,-0.56248349844047
ACH-000222,-0.29112404341048376
ACH-000223,-0.4688813133996176
ACH-000226,-0.19182406754724307
ACH-000227,-0.3287159841296701
ACH-000228,-0.5608962721842807
ACH-000231,-0.6231374369695116
ACH-000232,-0.35267943213110536
ACH-000233,-0.4128349320233156
ACH-000234,-0.37082025868460217
ACH-000235,-0.4769214778705056
ACH-000237,-0.4913810309822794
ACH-000238,-0.4649206578250161
ACH-000242,-0.18875743989384086
ACH-000243,-0.5127937869376591
ACH-000244,-0.3977396746321713
ACH-000246,-0.3515560304665383
ACH-000248,-0.35713458914893964
ACH-000250,-0.4300224647263418
ACH-000251,-0.4552938667238937
ACH-000252,-0.3677948934554479
ACH-000253,-0.3176738104108201
ACH-000255,-0.4443108235908388
ACH-000256,-0.4968101952663753
ACH-000257,-0.41374641086885344
ACH-000258,-0.6210212403265755
ACH-000259,-0.4066253670279763
ACH-000260,-0.41459710984415415
ACH-000261,-0.4827975347637757
ACH-000262,-0.3941778054621397
ACH-000263,-0.5171267286852127
ACH-000264,-0.30139623801858056
ACH-000265,-0.3833394455452653
ACH-000266,-0.5010723029257046
ACH-000272,-0.41644815493356974
ACH-000274,-0.3524006578459737
ACH-000277,-0.2667164998229935
ACH-000278,-0.4896949401121401
ACH-000279,-0.6004996115832957
ACH-000280,-0.4615057752648618
ACH-000281,-0.4547702383666974
ACH-000288,-0.4523353150681534
ACH-000291,-0.5076957703773809
ACH-000293,-0.4076113666740875
ACH-000294,-0.5529671285916562
ACH-000295,-0.5515235410981022
