,AVPR1B (553)
ACH-000004,-0.09353859264907516
ACH-000005,0.08416437962131386
ACH-000007,-0.3045972814181738
ACH-000009,-0.09985660936810188
ACH-000011,-0.022136602223966725
ACH-000012,-0.18713556189875916
ACH-000013,-0.28926355659702163
ACH-000014,-0.20321118746174469
ACH-000015,0.0076399221045729436
ACH-000017,-0.20781825418312427
ACH-000018,0.17067688694934066
ACH-000019,-0.13788799730992368
ACH-000021,-0.16808266775838115
ACH-000022,-0.03543940599424537
ACH-000025,-0.13867186027447811
ACH-000028,-0.26932120780268337
ACH-000030,-0.0053320699409656605
ACH-000035,-0.03838314472454224
ACH-000036,-0.12945776890786115
ACH-000037,-0.06704821869706525
ACH-000039,0.005169537814122197
ACH-000040,-0.20204094049929144
ACH-000041,-0.004645718224973164
ACH-000042,-0.1910717045766224
ACH-000045,-0.15212534137161293
ACH-000047,-0.08747088663723865
ACH-000052,-0.05814995177142845
ACH-000053,-0.17534806697752633
ACH-000054,-0.05845785991582787
ACH-000055,-0.29780640124970875
ACH-000060,-0.11990038721102715
ACH-000067,0.07050414080005038
ACH-000070,-0.12639198415357752
ACH-000075,-0.13835377566431045
ACH-000078,-0.055315253538401
ACH-000082,-0.17027603014984627
ACH-000085,-0.1574233544388768
ACH-000086,-0.2673537361643433
ACH-000087,0.09991075634872357
ACH-000092,-0.07613077642982395
ACH-000095,0.021009879563017614
ACH-000097,-0.18538968132326752
ACH-000098,-0.08326475448925512
ACH-000099,-0.17189043860960618
ACH-000108,-0.06970651135153336
ACH-000113,-0.13011265063178815
ACH-000116,-0.05591707550898034
ACH-000118,-0.09552568631620084
ACH-000120,-0.07873356472491949
ACH-000123,-0.009146693932671415
ACH-000127,-0.07250841278667268
ACH-000128,-0.03602973151572776
ACH-000132,-0.3005596314671927
ACH-000133,-0.13175967826771134
ACH-000137,0.0033882669589625648
ACH-000138,-0.13191500956509186
ACH-000142,-0.2277253725360434
ACH-000143,-0.1632435149803295
ACH-000146,-0.13191588392692447
ACH-000148,-0.0787937574472964
ACH-000150,-0.1504684800253035
ACH-000152,-0.11729826600831515
ACH-000153,-0.26411850958312544
ACH-000159,-0.0927116676752806
ACH-000160,-0.09289405974539557
ACH-000163,-0.08230503025428176
ACH-000167,-0.03087307610427865
ACH-000168,-0.029876658605608807
ACH-000169,-0.22172852777685148
ACH-000178,-0.030138515690026218
ACH-000183,-0.28580218414384195
ACH-000188,-0.07690655588953994
ACH-000189,-0.19153751703905456
