,POLR1C (9533)
ACH-000004,-1.5341101156292056
ACH-000005,-1.5245570959440944
ACH-000007,-1.2651002125100284
ACH-000009,-1.4285721723545566
ACH-000011,-1.442859421387345
ACH-000012,-1.3674547086608189
ACH-000013,-1.5025591704719083
ACH-000014,-1.3401107666550571
ACH-000015,-1.4611679556806747
ACH-000017,-1.4165647541576891
ACH-000018,-1.2527711911700532
ACH-000019,-1.3407315048655
ACH-000021,-1.3018710295814009
ACH-000022,-1.5413000443789562
ACH-000025,-1.5114860414888809
ACH-000028,-1.1988656414908023
ACH-000030,-1.5593239665848886
ACH-000035,-1.4823504498384084
ACH-000036,-1.4534538216303676
ACH-000037,-0.8856314781832877
ACH-000039,-1.5287471425828731
ACH-000040,-1.4145604578857292
ACH-000041,-1.4160767212310987
ACH-000042,-1.5903919054935067
ACH-000045,-1.3963036781489824
ACH-000047,-1.2937236349842227
ACH-000052,-1.2932653016245086
ACH-000053,-1.3080325345514023
ACH-000054,-1.3367818026104308
ACH-000055,-1.337371303346706
ACH-000060,-1.4412529301775272
ACH-000067,-1.3818619803976724
ACH-000070,-1.3420730935216685
ACH-000075,-1.503669454402877
ACH-000078,-1.3116994597997131
ACH-000082,-1.303742929460182
ACH-000085,-1.8998794380502548
ACH-000086,-1.4228794426969182
ACH-000087,-1.5408185370300091
ACH-000092,-1.5113865506540578
ACH-000095,-1.334246661078247
ACH-000097,-1.4454759322961044
ACH-000098,-1.4429782105252522
ACH-000099,-1.4456001154758782
ACH-000108,-1.4718304054996996
ACH-000113,-1.282904024773082
ACH-000116,-1.460639251136974
ACH-000118,-1.478013953786931
ACH-000120,-1.4418880419177758
ACH-000123,-1.4632359410441382
ACH-000127,-1.405833140544723
ACH-000128,-1.49881516344474
ACH-000132,-1.6154320419065231
ACH-000133,-1.4461361196147535
ACH-000137,-1.2677515838855125
ACH-000138,-1.4167622177690182
ACH-000142,-1.3139097769981245
ACH-000143,-1.44612349095826
ACH-000146,-1.2879363071475571
ACH-000148,-1.4024667275800355
ACH-000150,-1.4448466840219283
ACH-000152,-1.2985187757662606
ACH-000153,-1.7688368169784805
ACH-000159,-1.3329641245776505
ACH-000160,-1.0420378972146187
ACH-000163,-1.6007880985055696
ACH-000167,-1.4044063976985341
ACH-000168,-1.3866981096779891
ACH-000169,-1.4734523351186068
ACH-000178,-1.415498298226248
ACH-000183,-1.287545783681415
ACH-000188,-1.5328681404090079
ACH-000189,-1.1543930991072644
ACH-000190,-1.12695519976845
ACH-000198,-1.350772587768037
ACH-000203,-1.7865653623865467
ACH-000204,-1.5702342154867184
ACH-000206,-1.441909243930206
ACH-000207,-1.2471605527171643
ACH-000208,-1.294626410680458
ACH-000210,-1.2094092650471762
ACH-000211,-1.3724965182290687
ACH-000215,-1.43390853584663
ACH-000221,-1.5912144797027192
ACH-000222,-1.2706921116810508
ACH-000223,-1.281242584848458
ACH-000226,-1.2045465993111264
ACH-000227,-0.9894769182259916
ACH-000228,-1.436327212575606
ACH-000231,-1.3970598604059048
ACH-000232,-1.5864467531644857
ACH-000233,-1.2374333199204826
ACH-000234,-1.1836981207391566
ACH-000235,-1.4243634863659795
ACH-000237,-1.4756061618554888
ACH-000238,-1.6305660569910714
ACH-000242,-1.5491124814910993
ACH-000243,-1.3669754706351902
ACH-000244,-1.4564829911070163
ACH-000246,-1.400435523185935
ACH-000248,-1.3439327148968307
ACH-000250,-1.3304363299103072
ACH-000251,-1.4773781573301408
ACH-000252,-1.5092574895762394
ACH-000253,-1.3746533542688888
ACH-000255,-1.4671473449893553
ACH-000256,-1.3438720186673216
ACH-000257,-1.3591528135729527
ACH-000258,-1.47998129661002
ACH-000259,-1.4712221834046428
ACH-000260,-1.4175167086742315
ACH-000261,-1.2509402687074875
ACH-000262,-1.5434655335305951
ACH-000263,-1.3306407019226796
ACH-000264,-1.4367014204850206
ACH-000265,-1.4017588858304777
ACH-000266,-1.303748248237648
ACH-000272,-1.3736913768980832
ACH-000274,-1.237866169818231
ACH-000277,-1.1921178366281582
ACH-000278,-1.4815773954283518
ACH-000279,-1.5261396229863218
ACH-000280,-1.4500323889197373
ACH-000281,-1.4793875609792275
ACH-000288,-1.3574544824756274
ACH-000291,-1.4194357171037804
ACH-000293,-1.535088848198247
ACH-000294,-1.4768962842414075
ACH-000295,-1.3670991509995365
ACH-000296,-1.2350908425908786
ACH-000302,-1.3465853249785855
ACH-000304,-1.2758524313128743
ACH-000307,-1.5318698099145207
ACH-000308,-1.627264408770642
ACH-000310,-1.1465167164617986
ACH-000311,-1.4200805397734473
ACH-000312,-1.441488127813061
ACH-000315,-1.2231095631094178
ACH-000316,-1.5401739837569135
ACH-000317,-1.7800827325071116
ACH-000318,-1.3749211917636537
ACH-000319,-1.3351259990728437
ACH-000320,-1.5036955472629916
ACH-000322,-1.3004951418099575
ACH-000323,-1.5374337564625289
ACH-000324,-1.298061964971361
ACH-000329,-1.4247945858217077
ACH-000330,-1.278725207739387
ACH-000331,-1.2774337158731088
ACH-000332,-0.930645007685726
ACH-000334,-1.3140474839906675
ACH-000335,-1.4192838811798991
ACH-000336,-1.4479400642766245
ACH-000337,-1.5107221988877602
ACH-000338,-1.411869242176602
ACH-000339,-1.4979008811010828
ACH-000341,-1.1200224814756017
ACH-000348,-1.2880888308695684
ACH-000350,-1.4077103794907857
ACH-000352,-1.2619080077324991
ACH-000356,-1.4630747730909424
ACH-000361,-1.3553365686876802
ACH-000362,-1.2089149095150946
ACH-000363,-1.2564457713778965
ACH-000364,-1.3278283324165292
ACH-000365,-1.3100805206282475
ACH-000366,-1.4374178474034829
ACH-000368,-1.3554221344263868
ACH-000374,-1.7186075816422848
ACH-000375,-1.3117456015677988
ACH-000376,-1.679524830962106
ACH-000381,-1.304114550043905
ACH-000383,-1.4497026166717382
ACH-000387,-1.3417992596315746
ACH-000389,-1.063560245506954
ACH-000390,-1.336409448413996
ACH-000393,-1.6117399814786484
ACH-000395,-1.341169463468571
ACH-000396,-1.422476955914214
ACH-000397,-1.4557518875815016
ACH-000401,-1.5385552093322812
ACH-000402,-1.40253459017854
ACH-000403,-1.3345329833647408
ACH-000404,-1.3168270640188735
ACH-000406,-1.3726742668040843
ACH-000407,-1.3015268550720491
ACH-000408,-1.572693605767031
ACH-000410,-1.3710855157383917
ACH-000411,-1.5134859983799211
ACH-000414,-1.3917771019123986
ACH-000415,-1.5038218725609795
ACH-000416,-1.4435758028082082
ACH-000420,-1.5191287077242308
ACH-000421,-1.3552144956544918
ACH-000424,-1.2590902775349322
ACH-000425,-1.3711951900092398
ACH-000426,-1.2032758892199238
ACH-000427,-1.3212993713493209
ACH-000433,-1.4323354555783274
ACH-000435,-1.5702001345418397
ACH-000436,-1.5305549520993045
ACH-000444,-1.4101256910727005
ACH-000445,-1.363300882294223
ACH-000448,-1.3319526956740064
ACH-000450,-1.3977140243720156
ACH-000452,-1.4689873260224164
ACH-000454,-1.3773365576734995
ACH-000458,-1.4726095416088074
ACH-000459,-1.4146976239837634
ACH-000460,-1.3759022744282214
ACH-000461,-1.2780191374239247
ACH-000463,-1.3555347750685316
ACH-000464,-1.3173682006311025
ACH-000466,-1.7153144375344118
ACH-000467,-1.5722343120327693
ACH-000468,-1.5832718076859391
ACH-000469,-1.4245513093224131
ACH-000470,-1.434558084263054
ACH-000471,-1.4846550515171606
ACH-000472,-1.3333639872992848
ACH-000473,-1.6564775540819183
ACH-000475,-1.349557420321282
ACH-000476,-1.5071658199623603
ACH-000477,-1.431628145172119
ACH-000479,-1.3450488422607159
ACH-000480,-1.560703153718238
ACH-000481,-1.4068395534662936
ACH-000483,-1.4484868579101342
ACH-000484,-1.5571859284649117
ACH-000485,-1.170533266283431
ACH-000486,-1.3627673069377249
ACH-000487,-1.4277421887540187
ACH-000488,-1.3648948695116294
ACH-000490,-1.4511451204748522
ACH-000491,-1.2233155672206966
ACH-000495,-1.4696839632652468
ACH-000496,-1.569866241569818
ACH-000499,-1.5349780388119194
ACH-000500,-1.4065866780293623
ACH-000502,-1.251833773781606
ACH-000503,-1.5094642701411711
ACH-000505,-1.4489754875826075
ACH-000507,-1.5856505476412344
ACH-000510,-1.4252998328600666
ACH-000511,-1.3341083621350094
ACH-000512,-1.3386450671033767
ACH-000516,-1.4799043232261664
ACH-000517,-1.3877991862238033
ACH-000518,-1.7244767536424963
ACH-000520,-1.4916002232149497
ACH-000521,-1.5597529394095944
ACH-000522,-1.52111485410516
ACH-000524,-1.3346238853405306
ACH-000527,-1.4447777374030233
ACH-000528,-1.3266927840616412
ACH-000537,-1.5288435575583252
ACH-000541,-1.5214558037376216
ACH-000542,-1.4889740607884243
ACH-000544,-1.4907555992494754
ACH-000545,-1.2880464680651251
ACH-000547,-1.7531950110949068
ACH-000548,-1.3500755364377681
ACH-000549,-1.3830049553418793
ACH-000550,-1.6152537886541456
ACH-000552,-1.4917150531841743
ACH-000556,-1.419334324874307
ACH-000557,-1.2837365222324426
ACH-000569,-1.3083353056472615
ACH-000570,-1.3903504797840271
ACH-000571,-1.4752088569097437
ACH-000573,-1.5836343990359898
ACH-000576,-1.3575080445408487
ACH-000579,-1.1899802381677342
ACH-000580,-1.377726825096501
ACH-000584,-1.3393051349374354
ACH-000585,-1.4881177349878243
ACH-000588,-1.408204345822357
ACH-000589,-1.436031230517281
ACH-000591,-1.4358062263497835
ACH-000593,-1.4673577235830981
ACH-000600,-1.5429561650169905
ACH-000601,-1.3823895633903671
ACH-000605,-1.4998770596863944
ACH-000606,-1.4368592973926742
ACH-000608,-1.1165294109943578
ACH-000614,-1.3603839559260993
ACH-000616,-1.326955885753949
ACH-000618,-1.3942447919270815
ACH-000619,-1.5848558625568017
ACH-000620,-1.3651600945740845
ACH-000621,-1.3130071801571177
ACH-000622,-1.5027595587851017
ACH-000623,-1.3975828917356818
ACH-000624,-1.3224392492967751
ACH-000627,-1.4005421873067971
ACH-000630,-1.37490847092949
ACH-000631,-1.4647478519357526
ACH-000632,-1.355765685932147
ACH-000633,-1.1622670388192906
ACH-000637,-1.4706185116774515
ACH-000638,-1.3066695084222213
ACH-000646,-1.029499448303335
ACH-000647,-1.4028289247134829
ACH-000648,-1.469992534586492
ACH-000649,-1.5770750448765254
ACH-000651,-1.5445021569932686
ACH-000652,-1.7143137288751582
ACH-000653,-1.067453045664983
ACH-000657,-1.3886272961217316
ACH-000658,-1.1797865605733324
ACH-000661,-1.3110955459754583
