,SEPSECS (51091)
ACH-000004,-0.4874071167367535
ACH-000005,-1.020897587724905
ACH-000007,-0.2594448996396895
ACH-000009,-0.3319045049688347
ACH-000011,-0.8682043344334632
ACH-000012,-0.8277807103788937
ACH-000013,-0.3077979296396019
ACH-000014,-0.5868578163597522
ACH-000015,-0.5423885656179489
ACH-000017,-0.2108301787941462
ACH-000018,-0.7938854122135076
ACH-000019,-0.2494021123350009
ACH-000021,-1.2839949401839246
ACH-000022,-0.21053504073022514
ACH-000025,-0.9364223211897208
ACH-000028,-0.4108335590893829
ACH-000030,-0.4509302339755847
ACH-000035,-0.6907548019071866
ACH-000036,-0.7575876301733591
ACH-000037,-0.5701036401635492
ACH-000039,-0.9027879948431252
ACH-000040,-0.5816536873298096
ACH-000041,-1.2506632341302109
ACH-000042,-0.3422402374365585
ACH-000045,-0.7037661524017287
ACH-000047,-0.5250703551836607
ACH-000052,-0.7336027883924394
ACH-000053,-0.8393670256546027
ACH-000054,-0.9478478267943041
ACH-000055,-0.8907544604372349
ACH-000060,-0.12557483899359398
ACH-000067,-0.8518089943544472
ACH-000070,-0.6964113502943674
ACH-000075,-0.3570634068854006
ACH-000078,-0.4055575865809004
ACH-000082,-0.6210576999245757
ACH-000085,-0.9388358839357132
ACH-000086,-0.7905931275721957
ACH-000087,-0.4774485779564155
ACH-000092,-0.2424833822696297
ACH-000095,-0.7576885372423031
ACH-000097,-0.16843998185943845
ACH-000098,-0.355282307028841
ACH-000099,-0.6369747356577073
ACH-000108,-0.21613626061070906
ACH-000113,-0.7671655216418092
ACH-000116,-0.9276914964413604
ACH-000118,-0.3394194594875325
ACH-000120,-0.7976568217122634
ACH-000123,-0.5537556220346902
ACH-000127,-0.8043437321373124
ACH-000128,-0.7308051012333017
ACH-000132,-0.9058749665863228
ACH-000133,-0.953358136593972
ACH-000137,-1.0910227730850999
ACH-000138,-0.4242060105161274
ACH-000142,-0.4078952458581871
ACH-000143,-0.5558073436157644
ACH-000146,-0.2521644298929423
ACH-000148,-0.8272555430922782
ACH-000150,-1.0149016982505312
ACH-000152,-0.9403299800145992
ACH-000153,-0.6182039352448924
ACH-000159,-0.9166395606118722
ACH-000160,-0.26680277383560297
ACH-000163,-0.8334244219480937
ACH-000167,-0.7256873138051698
ACH-000168,-0.7383782543035978
ACH-000169,-0.1469461009350379
ACH-000178,-0.5795098889345724
ACH-000183,-0.6040606707252559
ACH-000188,-0.6994646886924415
ACH-000189,-0.7914659500161608
ACH-000190,-0.5315513511113295
ACH-000198,-0.5921403216922114
ACH-000203,-0.2871020655795882
ACH-000204,-0.6713591119488679
ACH-000206,-0.9243166141135138
ACH-000207,-0.4020082809054378
ACH-000208,-0.9547908273045309
ACH-000210,-0.8019222337440004
ACH-000211,-0.8389477191365684
ACH-000215,-0.8060313660845824
ACH-000221,-0.9689762204152116
ACH-000222,-0.17841113179631468
ACH-000223,-0.7521227456412107
ACH-000226,-0.7552312773037502
ACH-000227,-0.4771203759595628
ACH-000228,-0.37913123943867794
ACH-000231,-0.7651700706240685
