,CHIT1 (1118)
ACH-000004,-0.26654964724188235
ACH-000005,-0.0583050950356977
ACH-000007,0.07959240709355822
ACH-000009,-0.2103205688150899
ACH-000011,-0.02539977461376701
ACH-000012,-0.12863197793868944
ACH-000013,-0.12458283481879945
ACH-000014,0.06520116867800281
ACH-000015,-0.12870525556237672
ACH-000017,-0.08554987921909965
ACH-000018,-0.06434806993086631
ACH-000019,-0.31605620008544105
ACH-000021,-0.0630936784852045
ACH-000022,-0.016387145800906045
ACH-000025,-0.1269940486280191
ACH-000028,-0.2635306154361497
ACH-000030,0.016175160352026683
ACH-000035,-0.1546991839248781
ACH-000036,-0.09586184036648417
ACH-000037,-0.1518960856993504
ACH-000039,0.008475407404603756
ACH-000040,-0.0761210750475617
ACH-000041,-0.03924249746613775
ACH-000042,-0.10986475170163716
ACH-000045,-0.09046852365379153
ACH-000047,-0.07624090088819394
ACH-000052,-0.16686540870962574
ACH-000053,-0.07641970087390869
ACH-000054,-0.08135103358461737
ACH-000055,-0.20011720776264133
ACH-000060,0.0072988004936323184
ACH-000067,-0.16826870954971546
ACH-000070,-0.2606797384748378
ACH-000075,0.0360124982024829
ACH-000078,-0.1962432316431318
ACH-000082,-0.01576174667759041
ACH-000085,-0.18838409253997448
ACH-000086,-0.2300284952753906
ACH-000087,-0.004684790199449535
ACH-000092,-0.056984380739716074
ACH-000095,-0.1671097237209991
ACH-000097,-0.10804856317382938
ACH-000098,-0.1433448127503167
ACH-000099,-0.025615859705718474
ACH-000108,-0.05116241468387128
ACH-000113,-0.08161359472334236
ACH-000116,-0.023841835316179425
ACH-000118,-0.059263381966613765
ACH-000120,-0.11699493065952365
ACH-000123,-0.01987898316465209
ACH-000127,-0.08385673338834385
ACH-000128,-0.09640709285970203
ACH-000132,-0.16317493424364615
ACH-000133,-0.14784320815259372
ACH-000137,-0.1970828173331466
ACH-000138,-0.020841699215329745
ACH-000142,-0.1944180228751912
ACH-000143,-0.03249664327154268
ACH-000146,-0.15729838667292706
ACH-000148,-0.1897765948295238
ACH-000150,-0.02820441053456075
ACH-000152,-0.04971625210579065
ACH-000153,-0.059195955934970235
ACH-000159,-0.07966018675146162
ACH-000160,-0.04695662928702339
ACH-000163,-0.14597231839513616
ACH-000167,-0.10864370485017516
ACH-000168,-0.20312440113891791
ACH-000169,-0.2357612396030971
