,GTF2I (2969)
ACH-000004,-0.5200252420258853
ACH-000005,-0.3881096930813643
ACH-000007,0.1243176981423518
ACH-000009,-0.3722771016361579
ACH-000011,-0.223094372939306
ACH-000012,-0.2702285103931443
ACH-000013,-0.26182998757066195
ACH-000014,-0.1403735690523094
ACH-000015,-0.2067759223853124
ACH-000017,-0.1652465656544376
ACH-000018,-0.21899448152895687
ACH-000019,-0.2103715937378292
ACH-000021,-0.4063173821104598
ACH-000022,-0.4133515139112781
ACH-000025,-0.42325448267634797
ACH-000028,-0.2949838334990263
ACH-000030,-0.367706422012904
ACH-000035,-0.38363365853497067
ACH-000036,-0.2622145136371553
ACH-000037,-0.4712399129487432
ACH-000039,-0.34731199010823577
ACH-000040,-0.2156449725218801
ACH-000041,-0.3250493871658925
ACH-000042,-0.26515678680897986
ACH-000045,-0.17949035689783402
ACH-000047,-0.2489375889091236
ACH-000052,-0.4938613588120249
ACH-000053,-0.2901553713237267
ACH-000054,-0.3271275124929936
ACH-000055,-0.6148083153844056
ACH-000060,-0.4571637255452765
ACH-000067,-0.6294032891669851
ACH-000070,-0.39562026889371343
ACH-000075,-0.1190529652019453
ACH-000078,-0.452169526659758
ACH-000082,-0.3535159823379615
ACH-000085,-0.4547194987112989
ACH-000086,-0.18553438594422836
ACH-000087,-0.27907323577445714
ACH-000092,-0.20095551622031665
ACH-000095,-0.321143846316514
ACH-000097,-0.5131425963994043
ACH-000098,-0.3938317549618432
ACH-000099,-0.34289663116295704
ACH-000108,-0.1302196575744046
ACH-000113,-0.3566568920423146
ACH-000116,-0.4652622690628511
ACH-000118,-0.20989398646996887
ACH-000120,-0.20198750703956656
ACH-000123,-0.11570017601873805
ACH-000127,-0.2817811139503319
ACH-000128,-0.3738104131316613
ACH-000132,-0.4812706919022828
ACH-000133,-0.24236101556109896
ACH-000137,-0.3543258493624116
ACH-000138,-0.1400065793526659
ACH-000142,-0.21772769952256654
ACH-000143,-0.383136528454694
ACH-000146,-0.23386384598836896
ACH-000148,-0.3228181576709201
ACH-000150,-0.2442395536550445
ACH-000152,-0.3569070147167896
ACH-000153,-0.398319175665176
ACH-000159,-0.3484501775260457
ACH-000160,-0.2398896106067828
ACH-000163,-0.3142195644019133
ACH-000167,-0.5459192708387564
ACH-000168,-0.26861151648191883
ACH-000169,-0.5163808717942571
ACH-000178,-0.27884232854716423
ACH-000183,-0.34933323113469794
ACH-000188,-0.3906929448575662
ACH-000189,-0.28901214262725544
ACH-000190,-0.2784494070341422
ACH-000198,-0.2808280142572564
ACH-000203,-0.30053284631464605
ACH-000204,-0.3112120649676069
ACH-000206,-0.31974414913938903
ACH-000207,-0.18168625036207686
ACH-000208,-0.4344940800425381
ACH-000210,-0.1736165728801982
ACH-000211,-0.34921421891307863
ACH-000215,-0.4566134587380115
ACH-000221,-0.3884845812076676
ACH-000222,-0.2967790029274169
ACH-000223,-0.3841369489501709
ACH-000226,-0.4522478031862162
ACH-000227,-0.5708977466800799
ACH-000228,-0.2212965461007209
ACH-000231,-0.2910204124351497
ACH-000232,-0.4611309089601886
ACH-000233,-0.1463627453093776
ACH-000234,-0.3218285772891699
ACH-000235,-0.2719524111138585
ACH-000237,-0.4531209082049497
ACH-000238,-0.1550559396078243
ACH-000242,0.22099730948704185
ACH-000243,-0.1822114176637286
ACH-000244,-0.2683911890999738
ACH-000246,-0.16752098869585072
ACH-000248,-0.25287365718405835
ACH-000250,-0.25152620650125584
ACH-000251,-0.21744395865313965
ACH-000252,-0.3712528959854792
ACH-000253,-0.1412510704210677
ACH-000255,-0.3935741428138932
ACH-000256,-0.26114610674031
