,MTMR11 (10903)
ACH-000004,-0.0355008929247235
ACH-000005,-0.07766912277994009
ACH-000007,-0.14295864177186918
ACH-000009,-0.22974393078856714
ACH-000011,0.115916925223867
ACH-000012,-0.05256493392061504
ACH-000013,-0.07419669308182185
ACH-000014,-0.08502071872984636
ACH-000015,-0.09247436971467596
ACH-000017,-0.06268332718196422
ACH-000018,-0.1561143836938621
ACH-000019,-0.21981211247231486
ACH-000021,-0.08658088423825554
ACH-000022,0.0023101052568934802
ACH-000025,-0.1872969116758124
ACH-000028,-0.17935686538004594
ACH-000030,-0.12553803376879602
ACH-000035,-0.16689718394042144
ACH-000036,-0.12156178799334867
ACH-000037,-0.11850208627933087
ACH-000039,-0.12224817892324664
ACH-000040,-0.057172139147855836
ACH-000041,-0.08613359430724045
ACH-000042,-0.0402489847199542
ACH-000045,0.03048965956555806
ACH-000047,-0.029778635147491794
ACH-000052,-0.16990181345952632
ACH-000053,-0.1421829684196565
ACH-000054,0.055807259021104345
ACH-000055,-0.30791034184033195
ACH-000060,0.004458551319150679
ACH-000067,-0.021932122639917076
ACH-000070,-0.15781166142552575
ACH-000075,-0.05042601535663368
ACH-000078,-0.15468234540202208
ACH-000082,0.008401735058169206
ACH-000085,-0.1562527502824257
ACH-000086,-0.23595034642328355
ACH-000087,0.15186169618643866
ACH-000092,-0.12751397658854713
ACH-000095,-0.09952195775356502
ACH-000097,-0.12188798749462433
ACH-000098,-0.15761239307557404
ACH-000099,-0.016594646902128786
ACH-000108,-0.04717936048751191
ACH-000113,-0.06997211579447328
ACH-000116,-0.126335690888121
ACH-000118,-0.0768531145921745
ACH-000120,-0.13979005568590228
ACH-000123,-0.14845792441893507
ACH-000127,-0.10337463444442918
ACH-000128,0.0214579174781792
ACH-000132,-0.11929371527275932
ACH-000133,-0.20923598410085298
ACH-000137,-0.26910150486378603
ACH-000138,-0.09453514427524873
ACH-000142,0.03687348397869922
ACH-000143,-0.1166345398416968
ACH-000146,-0.09725417905764942
ACH-000148,-0.044079258675441116
ACH-000150,0.0118090820384951
ACH-000152,-0.032023778144494586
ACH-000153,-0.19162044341378764
ACH-000159,-0.01839628390173935
ACH-000160,0.01726302215482169
ACH-000163,-0.1146598084754656
