,PRRC2C (23215)
ACH-000004,-0.09675747756046124
ACH-000005,0.157811059137746
ACH-000007,-0.4873776086629326
ACH-000009,-0.34206877041273803
ACH-000011,-0.177981297984811
ACH-000012,-0.10365286666622957
ACH-000013,-0.1047473524822495
ACH-000014,-0.2866381506639619
ACH-000015,-0.13099708350204034
ACH-000017,-0.4565318805505522
ACH-000018,-0.25549424864907944
ACH-000019,-0.3736044071633213
ACH-000021,-0.13492131693160156
ACH-000022,-0.21271198939293567
ACH-000025,-0.13069401903885136
ACH-000028,0.04195539018058124
ACH-000030,-0.2864002068633049
ACH-000035,-0.1491776945930846
ACH-000036,0.09928851179620707
ACH-000037,-0.007276730515839708
ACH-000039,-0.5686369824300304
ACH-000040,-0.02268433238181277
ACH-000041,-0.3249550435433294
ACH-000042,-0.2412151852687277
ACH-000045,-0.03700350516541386
ACH-000047,-0.443142842015433
ACH-000052,-0.2597130910892864
ACH-000053,-0.07929148500753268
ACH-000054,-0.1443521157245793
ACH-000055,-0.10184291396682654
ACH-000060,0.05126818834060448
ACH-000067,-0.09058772055573626
ACH-000070,-0.21018938233599094
ACH-000075,-0.07066853782914469
ACH-000078,0.07558938120134426
ACH-000082,0.002956712853752473
ACH-000085,-0.22818446735926265
ACH-000086,-0.040624029608165815
ACH-000087,-0.35372525954556583
ACH-000092,-0.11266439778397196
ACH-000095,-0.18734037969043893
ACH-000097,-0.2946687082426207
ACH-000098,0.03190605058972925
ACH-000099,-0.1607255490232148
ACH-000108,-0.21094557080057627
ACH-000113,-0.07205623105612709
ACH-000116,-0.0972635627618589
ACH-000118,-0.15892648181134747
ACH-000120,-0.1901840989207684
ACH-000123,-0.17018712012200873
ACH-000127,-0.2960965346689841
ACH-000128,-0.1221375390446472
ACH-000132,-0.15712036265946894
ACH-000133,-0.12526301140207016
ACH-000137,-0.0720665966029151
ACH-000138,-0.2119757665634576
ACH-000142,-0.056340082019426925
ACH-000143,-0.0397337880147556
ACH-000146,-0.005930750224441144
ACH-000148,-0.13997157146414602
ACH-000150,-0.06217843692785911
ACH-000152,-0.38770128870134796
ACH-000153,-0.2433241664422051
ACH-000159,-0.15116977126081613
ACH-000160,-0.004176246519143579
ACH-000163,-0.06605020292613417
ACH-000167,-0.7579282695766821
ACH-000168,0.17281758205978892
ACH-000169,-0.2401293030648308
ACH-000178,-0.3641956639364873
ACH-000183,-0.2517034557994742
ACH-000188,0.00037209814662622203
ACH-000189,-0.2437123581852762
ACH-000190,-0.18611736947371368
ACH-000198,-0.09426246956608546
ACH-000203,-0.17551306732320515
ACH-000204,-0.4304128829895717
ACH-000206,-0.08820019718842154
ACH-000207,0.028551680605782576
ACH-000208,-0.154400260725384
ACH-000210,-0.30019183410873435
ACH-000211,-0.3045831311244187
ACH-000215,-0.0915308464475816
ACH-000221,-0.2555792294583664
ACH-000222,-0.2292005770604333
ACH-000223,-0.2813923455716421
ACH-000226,-0.08012767284335978
ACH-000227,-0.12714924722338075
ACH-000228,0.007513481244592767
ACH-000231,-0.30071954461849915
ACH-000232,0.03755388317068197
ACH-000233,0.04772391101304844
ACH-000234,-0.291273713467518
ACH-000235,-0.148756020981237
ACH-000237,-0.10162192208833763
ACH-000238,-0.07381003792882711
ACH-000242,0.09928966198142428
ACH-000243,-0.0932562249696652
ACH-000244,-0.40955433909381145
ACH-000246,-0.20160862931763135
ACH-000248,-0.11818327010824575
ACH-000250,-0.08011461975431035
ACH-000251,-0.034554080150938825
ACH-000252,-0.11317490327993085
ACH-000253,-0.045677071004328364
ACH-000255,-0.3038941961013247
ACH-000256,-0.2537110171558366
ACH-000257,-0.21307697088276292
ACH-000258,0.010103201032131392
ACH-000259,-0.14786908054664427
ACH-000260,-0.2345883825503867
ACH-000261,-0.2222464158303979
ACH-000262,-0.28356930422134896
ACH-000263,-0.27346049542867384
ACH-000264,-0.14604390012431073
ACH-000265,-0.120577945072927
ACH-000266,-0.3098039217278715
ACH-000272,-0.2956856407332131
ACH-000274,-0.1879436574520519
ACH-000277,-0.022893384748294388
ACH-000278,-0.15958903697098767
ACH-000279,-0.10504572252122098
ACH-000280,-0.18590918214722893
ACH-000281,-0.14258695137543073
ACH-000288,-0.2299255802525492
ACH-000291,-0.28364754324499264
ACH-000293,-0.001545633254277805
ACH-000294,0.08375770857769985
ACH-000295,-0.1324059075394282
ACH-000296,-0.01990992022725945
ACH-000302,-0.13372034203144867
ACH-000304,-0.1951409251859523
ACH-000307,-0.1442716809412893
ACH-000308,-0.17671679832582354
ACH-000310,-0.19840732322861476
ACH-000311,-0.19218833924114925
ACH-000312,-0.2320119860966681
ACH-000315,-0.11223878459307768
ACH-000316,-0.3029908637953565
ACH-000317,-0.2315156480552713
ACH-000318,-0.13314918172199494
ACH-000319,-0.028282880304631813
ACH-000320,-0.16836572687568366
ACH-000322,-0.14198779266753084
ACH-000323,-0.021334260260713854
ACH-000324,-0.32027121673794146
ACH-000329,-0.3145746152958125
ACH-000330,-0.3332846597636977
ACH-000331,-0.1708578858381871
ACH-000332,-0.12074122905550255
ACH-000334,-0.2840260495005296
ACH-000335,-0.19276924181022415
ACH-000336,-0.2231209327005885
ACH-000337,-0.22487607304639068
ACH-000338,-0.5902625168411271
ACH-000339,-0.2659664306223858
ACH-000341,-0.13520039020342128
ACH-000348,-0.17920233788514225
ACH-000350,0.052220843651596995
ACH-000352,-0.13506924580127636
ACH-000356,-0.27826279884064564
ACH-000361,-0.1800968254348876
ACH-000362,-0.2340743780750785
ACH-000363,-0.2400969812818745
ACH-000364,-0.13879652777256835
ACH-000365,-0.1618795847605496
ACH-000366,-0.01560556001936399
ACH-000368,-0.17247935293769334
ACH-000374,-0.10870341087534922
ACH-000375,-0.16970932439167827
ACH-000376,-0.2152226637783421
ACH-000381,-0.02081420137400146
ACH-000383,-0.1117166484574979
ACH-000387,-0.20058160798317065
ACH-000389,-0.21999073424787804
ACH-000390,-0.35795675210511546
ACH-000393,-0.11897032885439868
ACH-000395,-0.03212492142572134
ACH-000396,-0.27235885464697224
ACH-000397,-0.26652133039235026
ACH-000401,-0.09189522253340968
ACH-000402,-0.38405518236926794
ACH-000403,-0.053059990076801684
ACH-000404,-0.6241009127875804
ACH-000406,-0.2530893964097056
ACH-000407,-0.13691326198019493
ACH-000408,0.17526121023544575
ACH-000410,-0.22167398633060825
ACH-000411,-0.2572535335398816
ACH-000414,-0.4241299376663011
ACH-000415,-0.02046833112431264
ACH-000416,-0.2011876912065957
ACH-000420,-0.13210127699368274
ACH-000421,-0.14613323769323106
ACH-000424,-0.10796609835016947
ACH-000425,-0.21698068994583464
ACH-000426,-0.2839725828881449
ACH-000427,-0.06590989976885711
ACH-000433,0.038369527532196065
ACH-000435,-0.25379840024468303
ACH-000436,0.04058784456109957
ACH-000444,-0.08644770587134926
ACH-000445,-0.04459952876352802
ACH-000448,0.021029789324440964
ACH-000450,-0.19841561737510136
ACH-000452,0.012975411175910178
ACH-000454,0.020657280845141342
ACH-000458,-0.13620444773958892
ACH-000459,-0.06155109561194402
ACH-000460,-0.290655322884362
ACH-000461,-0.0529266919978982
ACH-000463,-0.00978120355822215
ACH-000464,-0.2574491742390829
ACH-000466,-0.14615133696777882
ACH-000467,-0.11275889780361655
ACH-000468,-0.1705874408048944
ACH-000469,-0.09166171435671117
ACH-000470,-0.4991973435116254
ACH-000471,-0.06464121521797474
ACH-000472,-0.10916173233570126
ACH-000473,-0.2556440489474557
ACH-000475,-0.24701848204881785
ACH-000476,-0.19048904224037416
ACH-000477,-0.4618733953008642
ACH-000479,-0.1835163714320803
ACH-000480,-0.1464229688717294
ACH-000481,-0.2154178755061615
ACH-000483,-0.4201713318968948
ACH-000484,-0.2415791200260769
ACH-000485,-0.5386589543350427
ACH-000486,-0.0750962242999145
ACH-000487,-0.3744578039767972
ACH-000488,-0.01280137625260189
ACH-000490,-0.07347962851218971
ACH-000491,-0.08363586584343391
ACH-000495,-0.13419441940163968
ACH-000496,-0.3579671808822417
ACH-000499,-0.03678467701110053
ACH-000500,-0.275684374168039
ACH-000502,-0.2953996181186039
ACH-000503,0.055054017810373855
ACH-000505,-0.11776611673245332
ACH-000507,-0.053499756602638136
ACH-000510,-0.2706849397649769
ACH-000511,-0.060412134281683134
ACH-000512,0.07206061829992376
ACH-000516,-0.30039063902936625
ACH-000517,-0.37027568763658986
ACH-000518,0.16914282805281425
ACH-000520,-0.12885178359170466
ACH-000521,-0.1663930877347644
ACH-000522,0.022600295439338933
ACH-000524,-0.22626620141012085
ACH-000527,-0.17115366897880824
ACH-000528,0.04887564711977442
ACH-000537,-0.12534258152684094
ACH-000541,0.024224584698667798
ACH-000542,-0.2406570611016153
ACH-000544,-0.42226681094249136
ACH-000545,-0.19800771423322344
ACH-000547,-0.3009812181816943
ACH-000548,0.09196791039327988
ACH-000549,-0.13844856698914088
ACH-000550,-0.20459333369005767
ACH-000552,-0.19541624061110735
ACH-000556,-0.13838943217479047
ACH-000557,-0.3235250249067537
ACH-000569,-0.03113004249267565
ACH-000570,-0.15097918189422144
ACH-000571,-0.1833309904154259
ACH-000573,-0.08961408173056908
ACH-000576,-0.3066488598785333
ACH-000579,-0.3634744319871776
ACH-000580,-0.2370000241717656
ACH-000584,-0.24848409694733803
ACH-000585,0.053062481927644636
ACH-000588,-0.17313353897908434
ACH-000589,-0.03818507953004159
ACH-000591,-0.29847283930323304
ACH-000593,-0.2950807364271477
ACH-000600,-0.5612866912220009
ACH-000601,-0.1140273194025047
ACH-000605,-0.06642345416231671
ACH-000606,-0.09905350602830128
ACH-000608,-0.2446004521350187
ACH-000614,-0.15890253292057774
ACH-000616,-0.01823691964877194
ACH-000618,0.06260335328171156
ACH-000619,0.18188886293314085
ACH-000620,-0.028952309271604575
