,MPP3 (4356)
ACH-000004,-0.2550921121324737
ACH-000005,-0.3348378800727874
ACH-000007,-0.3928924742597616
ACH-000009,-0.3819751846703052
ACH-000011,-0.23625905141031625
ACH-000012,-0.4169901955866461
ACH-000013,-0.3776486630163224
ACH-000014,-0.25792647388899465
ACH-000015,-0.31344224024262946
ACH-000017,-0.2846547139946833
ACH-000018,-0.13219794658039552
ACH-000019,-0.013280379583446859
ACH-000021,-0.1510422377384031
ACH-000022,-0.25412714512275864
ACH-000025,-0.24363158204749755
ACH-000028,-0.19404125956212265
ACH-000030,-0.14110536657557768
ACH-000035,-0.3925950987820498
ACH-000036,-0.21449613327385028
ACH-000037,-0.16912136633185726
ACH-000039,-0.4240401241535848
ACH-000040,-0.3090807775234777
ACH-000041,-0.33355248313700914
ACH-000042,-0.27251165862441257
ACH-000045,-0.2937786498721148
ACH-000047,-0.25169785870460765
ACH-000052,-0.18010617139576374
ACH-000053,-0.242526149489747
ACH-000054,-0.2403807859932716
ACH-000055,-0.24837491902337566
ACH-000060,-0.2964050878317513
ACH-000067,-0.42861372339659737
ACH-000070,-0.21596619245469864
ACH-000075,-0.2546082021705813
ACH-000078,-0.3306558856857686
ACH-000082,-0.22466996585360047
ACH-000085,-0.2739894234434786
ACH-000086,-0.33112140102310245
ACH-000087,-0.19314428865682876
ACH-000092,-0.22382720481434015
ACH-000095,-0.3566138560672337
ACH-000097,-0.2603105007534547
ACH-000098,-0.20413693632266053
ACH-000099,-0.2979822683211171
ACH-000108,-0.1653671463539723
ACH-000113,-0.3358222675906313
ACH-000116,-0.32159157498276314
ACH-000118,-0.12066179221074275
ACH-000120,-0.2749296498919639
ACH-000123,-0.30954759084113304
ACH-000127,-0.12159775423936785
ACH-000128,-0.27411645876263463
ACH-000132,-0.3070439643848525
ACH-000133,-0.3553141075539025
ACH-000137,-0.30502456920913545
ACH-000138,-0.3927525611605779
ACH-000142,-0.2820858563017941
ACH-000143,-0.18696692801267706
ACH-000146,-0.2172790224044768
ACH-000148,-0.3922229031152281
ACH-000150,-0.3328717232992928
ACH-000152,-0.1946641807809033
ACH-000153,-0.10875691941264687
ACH-000159,-0.23289699279685275
ACH-000160,-0.26806234274771695
ACH-000163,-0.3272507894150943
ACH-000167,-0.1644531774743488
ACH-000168,-0.22130344756962994
ACH-000169,-0.15210574891936465
ACH-000178,-0.2756702174992005
ACH-000183,-0.2668574077880472
ACH-000188,-0.1734971999925255
ACH-000189,-0.026767539051902392
ACH-000190,-0.17696544127467592
ACH-000198,-0.20341758826334996
