,GRXCR1 (389207)
ACH-000004,-0.19010740770797144
ACH-000005,-0.04245149297598971
ACH-000007,-0.4694307686338957
ACH-000009,-0.02363937273794641
ACH-000011,0.0531434812291918
ACH-000012,-0.0028255091050873077
ACH-000013,0.0027429625275784647
ACH-000014,-0.16938633753954171
ACH-000015,-0.26169658112207345
ACH-000017,0.06663943460029625
ACH-000018,-0.1459787393771544
ACH-000019,-0.18911234985206604
ACH-000021,-0.052301432371624136
ACH-000022,-0.13162686289862127
ACH-000025,0.11331138564002435
ACH-000028,-0.050195561188211085
ACH-000030,-0.07881018360480513
ACH-000035,-0.003170178288787564
ACH-000036,0.11650055373481093
ACH-000037,-0.014334529767199376
ACH-000039,0.034684359812158214
ACH-000040,-0.06756044427366432
ACH-000041,-0.08560816880666268
ACH-000042,0.05581985662432365
ACH-000045,0.01612563071105265
ACH-000047,-0.11017251283992928
ACH-000052,0.10699177943430987
ACH-000053,-0.14517898497812354
ACH-000054,-0.06282706171643733
ACH-000055,-0.1370909363607236
ACH-000060,-0.014038890804792172
ACH-000067,0.1534717382291549
ACH-000070,-0.004575394204434561
ACH-000075,-0.042387665750760084
ACH-000078,-0.04743751747104173
ACH-000082,0.0829480063949353
ACH-000085,-0.007297429070048881
ACH-000086,-0.11308134786600822
ACH-000087,-0.08208953086844832
ACH-000092,-0.09023293632041134
ACH-000095,-0.04032824518891532
ACH-000097,-0.06492917313125601
ACH-000098,0.1169820982851986
ACH-000099,-0.16367837985160608
ACH-000108,-0.1395155943593615
ACH-000113,0.03233239164928784
ACH-000116,-0.08684951843158156
ACH-000118,-0.06134089924816755
ACH-000120,-0.1421322155394225
ACH-000123,0.02318006618496616
ACH-000127,-0.07361842227084392
ACH-000128,-0.20680447908559668
ACH-000132,-0.0960714502970634
ACH-000133,-0.11597208597978866
ACH-000137,-0.24019299493185625
ACH-000138,-0.06846681820852117
ACH-000142,0.04140552297348755
ACH-000143,0.016751652640890586
ACH-000146,-0.06337686598768874
ACH-000148,-0.09179220372130613
ACH-000150,-0.01891445736184153
ACH-000152,0.00037548575545882267
ACH-000153,-0.22426047237988636
ACH-000159,-0.21076838814341345
ACH-000160,0.0024940469752786
ACH-000163,-0.05485398016626855
ACH-000167,-0.10614066491897724
ACH-000168,-0.030083869883262986
ACH-000169,0.13230178255500888
ACH-000178,-0.18253097679383398
ACH-000183,0.12446037550259992
ACH-000188,-0.1518462778065746
ACH-000189,-0.2920045029921963
ACH-000190,-0.1146822738297436
ACH-000198,-0.010228035578621696
ACH-000203,-0.309701868532728
ACH-000204,0.009723044463381928
ACH-000206,-0.23572473057450746
ACH-000207,-0.13949442249930188
ACH-000208,0.13347768628213236
ACH-000210,-0.26232175306267913
ACH-000211,0.002811695498265378
