,SNRNP200 (23020)
ACH-000004,-1.9263346894564848
ACH-000005,-2.1619282232889097
ACH-000007,-1.567434068398856
ACH-000009,-1.7044131573487795
ACH-000011,-1.5796194642913834
ACH-000012,-1.5579955735869733
ACH-000013,-1.6013075896372144
ACH-000014,-1.713453536098561
ACH-000015,-1.5491942656141409
ACH-000017,-1.4632871256099345
ACH-000018,-1.3780702805545109
ACH-000019,-1.6159284226509476
ACH-000021,-1.473274601101333
ACH-000022,-1.5493414120717937
ACH-000025,-1.5823039675187387
ACH-000028,-1.6938070485523302
ACH-000030,-1.5154769949075808
ACH-000035,-1.4223597960243206
ACH-000036,-1.3998842600124473
ACH-000037,-1.4722974975695493
ACH-000039,-1.4822727292123958
ACH-000040,-1.335437591554734
ACH-000041,-1.6572083938515836
ACH-000042,-1.5135158472617012
ACH-000045,-1.6618879174312515
ACH-000047,-1.6934867084633345
ACH-000052,-1.4326980261161792
ACH-000053,-1.6781082773427276
ACH-000054,-1.5276661653240229
ACH-000055,-1.4832638694446312
ACH-000060,-1.622950622449754
ACH-000067,-1.657211130998529
ACH-000070,-1.5573691300979842
ACH-000075,-1.4613523572810247
ACH-000078,-1.5779180923250962
ACH-000082,-1.6158547876782972
ACH-000085,-1.700422884735422
ACH-000086,-1.4399445538386535
ACH-000087,-1.1842245443264232
ACH-000092,-1.5308858405389814
ACH-000095,-1.6008732004810518
ACH-000097,-1.557531970526121
ACH-000098,-1.6038650081248969
ACH-000099,-1.4954077710549298
ACH-000108,-1.528528498586898
ACH-000113,-1.6540428214086185
ACH-000116,-1.6505718473084272
ACH-000118,-1.5333378566487217
ACH-000120,-1.5091201466864137
ACH-000123,-1.5418651197102136
ACH-000127,-1.4836607870620195
ACH-000128,-1.55415734596264
ACH-000132,-1.3244692887009049
ACH-000133,-1.3763978138861608
ACH-000137,-1.4372042796747038
ACH-000138,-1.4831717026214826
ACH-000142,-1.472498975757761
ACH-000143,-1.4305747955188823
ACH-000146,-1.8925027029218369
ACH-000148,-1.6916555737367998
ACH-000150,-1.5770940240969342
ACH-000152,-1.2278290979371222
ACH-000153,-1.4710993287888807
ACH-000159,-1.4425848435750888
ACH-000160,-1.936348658408144
ACH-000163,-1.5949962213685305
ACH-000167,-2.29404314080883
ACH-000168,-1.4299998364417863
ACH-000169,-1.6148677747747142
ACH-000178,-1.6060428845096972
ACH-000183,-1.7489592862718666
ACH-000188,-1.6482181326046497
ACH-000189,-1.6651246511868825
ACH-000190,-1.6644880087202276
ACH-000198,-1.5195090882576614
ACH-000203,-1.4848468241355286
ACH-000204,-1.5619055194340314
ACH-000206,-1.486193639792812
ACH-000207,-1.8065235243047848
ACH-000208,-1.5943464974216424
ACH-000210,-1.8620204912695744
ACH-000211,-1.4235383071802774
ACH-000215,-1.5367777881928175
ACH-000221,-1.5299586232070292
ACH-000222,-1.7260094247696904
ACH-000223,-1.7098884740103344
ACH-000226,-1.5759274443486189
ACH-000227,-1.7112489744790411
ACH-000228,-1.7516907260685968
ACH-000231,-1.4579649096971483
ACH-000232,-1.6016856413110967
ACH-000233,-1.7468125766342597
ACH-000234,-1.44027118415408
ACH-000235,-1.4748303205428417
ACH-000237,-1.5676632940929307
ACH-000238,-1.553142460978866
ACH-000242,-1.1611564842054454
ACH-000243,-1.6133502068116166
ACH-000244,-1.4140374021320743
ACH-000246,-1.5656420086036835
ACH-000248,-1.6782049450665604
ACH-000250,-1.4886388104573862
ACH-000251,-1.571422997364932
ACH-000252,-1.1626072775819996
ACH-000253,-1.4957522991498795
ACH-000255,-1.3654073294544673
ACH-000256,-1.5756210259271288
ACH-000257,-1.5368635129145245
ACH-000258,-1.591941027330156
ACH-000259,-1.7797892082015048
ACH-000260,-1.7217551651834488
ACH-000261,-1.4299704369834545
ACH-000262,-1.4816240111816168
ACH-000263,-1.7907648113186083
ACH-000264,-1.6127043513691666
ACH-000265,-1.5420452953014956
ACH-000266,-1.5194267680549731
ACH-000272,-1.5003320080988711
ACH-000274,-1.4721666238585291
ACH-000277,-1.630001018270156
ACH-000278,-1.4272617563695678
ACH-000279,-1.5647994384142068
ACH-000280,-1.4725097593101066
ACH-000281,-1.2080181026481291
ACH-000288,-1.6171183313360469
ACH-000291,-1.4251222602225606
ACH-000293,-1.5799073827985206
ACH-000294,-1.690170052370863
ACH-000295,-1.626164478671185
ACH-000296,-1.4675486922109229
ACH-000302,-1.6032144594059627
ACH-000304,-1.7945520478081858
ACH-000307,-1.5230331742509566
ACH-000308,-1.5317916373597953
ACH-000310,-1.53269920435634
ACH-000311,-1.4147468820132
ACH-000312,-1.5917395758831567
ACH-000315,-2.008136670670197
ACH-000316,-1.6236483875318906
ACH-000317,-1.7101855047289214
ACH-000318,-1.6793055117168654
ACH-000319,-1.6931864965199868
ACH-000320,-1.6573468060305254
ACH-000322,-1.528717174814154
ACH-000323,-1.5285677245599574
ACH-000324,-1.5353282202555547
ACH-000329,-1.4695022883373738
ACH-000330,-1.4954461171455222
ACH-000331,-1.5420503092845257
ACH-000332,-1.5071405415069952
ACH-000334,-1.810993038180264
