,OBP2A (29991)
ACH-000004,-0.31480103974622
ACH-000005,-0.32113771985846395
ACH-000007,-0.4514218291958553
ACH-000009,-0.42442332270239896
ACH-000011,-0.227794663731242
ACH-000012,-0.299975766287418
ACH-000013,-0.3384109802297937
ACH-000014,-0.27950057210284995
ACH-000015,-0.5614219236911338
ACH-000017,-0.12879254498574616
ACH-000018,-0.3713556052065938
ACH-000019,-0.03881300516028264
ACH-000021,-0.4303769453721671
ACH-000022,-0.4916075887436293
ACH-000025,-0.22805679033281295
ACH-000028,-0.07662071103988348
ACH-000030,-0.17155187535012845
ACH-000035,-0.05096406913722208
ACH-000036,-0.3243886860079427
ACH-000037,-0.3254712946982616
ACH-000039,-0.21105738825006748
ACH-000040,-0.2756451714758389
ACH-000041,-0.2945796395175009
ACH-000042,-0.3245231655384029
ACH-000045,-0.25799873136963664
ACH-000047,-0.148464038398023
ACH-000052,-0.17045866986140604
ACH-000053,-0.2056208093969153
ACH-000054,-0.32067635064435823
ACH-000055,-0.271597418729773
ACH-000060,-0.18157962054477605
ACH-000067,-0.2120145122691193
ACH-000070,-0.19460250628195053
ACH-000075,-0.15738795492600727
ACH-000078,-0.40403832537687423
ACH-000082,-0.17383707414407207
ACH-000085,-0.06316791017521525
ACH-000086,-0.21240767635985897
ACH-000087,-0.4072223520881852
ACH-000092,-0.3497287351621293
ACH-000095,-0.2922000842006653
ACH-000097,-0.3152680173727893
ACH-000098,-0.2192909429259217
ACH-000099,-0.29188469810686263
ACH-000108,-0.4334823331137397
ACH-000113,-0.3203118824979904
ACH-000116,-0.2295857249268503
ACH-000118,-0.15980243895959645
ACH-000120,-0.3296879746386609
ACH-000123,-0.28783563433917897
ACH-000127,-0.169288247702339
ACH-000128,-0.21119248537562485
ACH-000132,-0.2647489620722433
ACH-000133,-0.20627251024778748
ACH-000137,-0.3725960748478322
ACH-000138,-0.4768653245055406
ACH-000142,-0.3310586676227631
ACH-000143,-0.13775222652289618
ACH-000146,-0.30398163040219817
ACH-000148,-0.37100881325816537
ACH-000150,-0.2212040549032604
ACH-000152,-0.2359844249733927
ACH-000153,-0.17188198599761947
ACH-000159,-0.29377973332964097
ACH-000160,-0.34897915252150297
ACH-000163,-0.3003518853535873
ACH-000167,-0.17490808128375895
ACH-000168,-0.38562613137436696
ACH-000169,-0.36007669923785024
ACH-000178,-0.2856059502225134
ACH-000183,-0.34102821015555745
ACH-000188,-0.2921969571034781
ACH-000189,-0.04345226585851696
ACH-000190,-0.3301463040019075
ACH-000198,-0.29595109445952783
ACH-000203,-0.4856354115161472
ACH-000204,-0.11555173709916955
ACH-000206,-0.4191862189848607
ACH-000207,-0.5381396949589178
ACH-000208,-0.4172760524470316
ACH-000210,-0.5779957686461932
ACH-000211,-0.11767953297238128
ACH-000215,-0.3817045665949168
