,PSME1 (5720)
ACH-000004,-0.4240062081287546
ACH-000005,-0.11768923094458407
ACH-000007,-0.7035434992859155
ACH-000009,-0.5095467167401674
ACH-000011,-0.8351185556592304
ACH-000012,-0.4957906076711857
ACH-000013,-0.4826335606711801
ACH-000014,-0.4873528522114334
ACH-000015,-0.5223666184875082
ACH-000017,-0.6830284302470789
ACH-000018,-0.5356080966863758
ACH-000019,-0.6682962465306681
ACH-000021,-0.33494644766002496
ACH-000022,-0.46150073835853295
ACH-000025,-0.5565531087706733
ACH-000028,-0.5851787993644809
ACH-000030,-0.4981512336366492
ACH-000035,-0.7108691199386721
ACH-000036,-0.7143873649181958
ACH-000037,-0.6423220396583901
ACH-000039,-0.6451678576519734
ACH-000040,-0.4246399360160987
ACH-000041,-0.7917839673703054
ACH-000042,-0.4303478345708223
ACH-000045,-0.7116832917551338
ACH-000047,-0.4652374190710893
ACH-000052,-0.5837632717742731
ACH-000053,-0.5138708129579468
ACH-000054,-0.5488558768914865
ACH-000055,-0.544849974206085
ACH-000060,-0.8259637381023947
ACH-000067,-0.8061153166653998
ACH-000070,-0.8374421833721911
ACH-000075,-0.5871017091472955
ACH-000078,-0.633591505705691
ACH-000082,-0.6230022176057017
ACH-000085,-0.5512209122200626
ACH-000086,-0.4322019961761717
ACH-000087,-0.7367279660928068
ACH-000092,-0.519996429860072
ACH-000095,-0.8425022679886529
ACH-000097,-0.6789033861073266
ACH-000098,-0.4646455416442959
ACH-000099,-0.44790759477468617
ACH-000108,-0.5006487930838212
ACH-000113,-0.6506608857036777
ACH-000116,-0.5023059777036532
ACH-000118,-0.6368111991083525
ACH-000120,-0.63129577995134
ACH-000123,-0.6055464279631156
ACH-000127,-0.5303008639902239
ACH-000128,-0.6595658520120696
ACH-000132,-0.4439626171531828
ACH-000133,-0.5504272832158044
ACH-000137,-0.4597426835508796
ACH-000138,-0.4598273882583368
ACH-000142,-0.6127358731217228
ACH-000143,-0.434949366218477
ACH-000146,-0.5320340601480711
ACH-000148,-0.5843720517008861
ACH-000150,-0.3942656627881447
ACH-000152,-0.5238050341403866
ACH-000153,-0.3628721797808912
ACH-000159,-0.6921901523323729
ACH-000160,-0.6352231661323476
ACH-000163,-0.4619966205457083
ACH-000167,3.6077011143006463
ACH-000168,-0.5301856213205409
ACH-000169,-0.6417721678606302
ACH-000178,-0.5889398625188679
ACH-000183,-0.37850425994861103
ACH-000188,-0.5609076469269362
ACH-000189,-0.8608396630505177
ACH-000190,-0.7798811184011151
ACH-000198,-0.751940666408126
ACH-000203,-0.8561940573612924
ACH-000204,-0.7515468117455203
ACH-000206,-0.6948220197412133
ACH-000207,-0.09668302199367608
ACH-000208,-0.8155610427631477
ACH-000210,-0.6438597912891811
ACH-000211,-0.5973231322991197
ACH-000215,-0.5708380019270722
ACH-000221,-0.6261962595480597
ACH-000222,-0.6305087731649491
ACH-000223,-0.4752765532753542
ACH-000226,-0.7639537068515756
ACH-000227,-0.6395785116474058
ACH-000228,-0.5901529653259002
ACH-000231,-0.5755246926379818
ACH-000232,-0.7373767218010792
ACH-000233,-0.5328818131373312
ACH-000234,-0.5737478120711915
ACH-000235,-0.5109254793843395
ACH-000237,-0.388857210038206
ACH-000238,-0.8277369295873135
ACH-000242,-0.6047123308040314
ACH-000243,-0.5352843862037171
ACH-000244,-0.6261112635227963
ACH-000246,-0.7103705050975377
ACH-000248,-0.4810678108737037
ACH-000250,-0.7430795419100891
ACH-000251,-0.3189428008505745
ACH-000252,-0.6635751850496278
ACH-000253,-0.5373346920467263
ACH-000255,-0.26279892307160285
ACH-000256,-0.7085061070696411
ACH-000257,-0.8860773410324679
ACH-000258,-0.4498588451136703
ACH-000259,-0.5863876807708904
ACH-000260,-0.5512823214639166
ACH-000261,-0.7782811628900413
ACH-000262,-0.6128794103490358
ACH-000263,-0.7241116651865208
ACH-000264,-0.6336387868493417
ACH-000265,-0.5232922388147045
ACH-000266,-0.5265100461224181
ACH-000272,-0.4703679677155202
ACH-000274,-0.5709008847301754
ACH-000277,-0.4032622309222732
ACH-000278,-0.5831560338395024
ACH-000279,-0.5026864848700359
ACH-000280,-0.6082687478081105
ACH-000281,-0.5117724111116982
ACH-000288,-0.5627002360374149
ACH-000291,-0.6060776803355308
ACH-000293,-0.5202416129369014
ACH-000294,-0.3509465982998429
ACH-000295,-0.42350991889318135
ACH-000296,-0.7362897512480583
ACH-000302,-0.44459330431097305
ACH-000304,-1.0199646450583315
ACH-000307,-0.7305290368410287
ACH-000308,-0.5756978651151974
ACH-000310,-0.8433635486596052
ACH-000311,-0.6530671664050721
ACH-000312,-0.5676934959809432
ACH-000315,-0.6094264113076964
ACH-000316,-0.4086358311520042
ACH-000317,-0.8097258582613386
ACH-000318,-0.6533480647970406
ACH-000319,-0.5349677039591401
ACH-000320,-0.5319645359238692
ACH-000322,-0.5993263729627369
ACH-000323,-0.3963761810977781
ACH-000324,-0.7128993518729485
ACH-000329,-0.4572563908094972
ACH-000330,-0.5954912386822485
ACH-000331,-0.6901097076742745
ACH-000332,-0.475565597652465
ACH-000334,-0.5746575461571611
ACH-000335,-0.6192079668231257
ACH-000336,-0.9249770644648188
ACH-000337,-0.7906784206702694
ACH-000338,-0.8383390403578621
ACH-000339,-0.6292998086993239
ACH-000341,-0.6149154354693399
ACH-000348,-0.5166835911357537
ACH-000350,-0.5141973341684932
ACH-000352,-0.5149270226457351
ACH-000356,-0.8052114525119752
ACH-000361,-0.6276736065433206
ACH-000362,-0.8372964293598963
ACH-000363,-0.489611600269135
ACH-000364,-0.5641970681144881
ACH-000365,-0.588051351081673
ACH-000366,-0.4771252711637784
ACH-000368,-0.2491320144650808
ACH-000374,-0.7274410635943821
ACH-000375,-0.6136091330604693
ACH-000376,-0.449047096716
ACH-000381,-0.6058987286932631
ACH-000383,-0.5825745887261502
ACH-000387,-0.7350182918160615
ACH-000389,-0.5744988416486011
ACH-000390,-0.5440184896062228
ACH-000393,-0.6672806651313172
ACH-000395,-0.8394490807605216
ACH-000396,-0.5162504800267698
ACH-000397,-0.7009183719952062
ACH-000401,-0.6370642129056971
ACH-000402,-0.6713384051404336
ACH-000403,-0.6880171527394385
ACH-000404,-0.4724418233720824
ACH-000406,-0.44570197007529816
ACH-000407,-0.6446344546698562
ACH-000408,-0.3686886037621502
ACH-000410,-0.5386148342449649
ACH-000411,-0.7838639481811239
ACH-000414,-0.5342816898418214
ACH-000415,-0.5328426360294655
ACH-000416,-0.5110016570114098
ACH-000420,-0.4634620134143938
ACH-000421,-0.4655572341246256
ACH-000424,-0.6947338754408179
ACH-000425,-0.6993631434526345
ACH-000426,-0.7173779484077549
ACH-000427,-0.4542667170142862
ACH-000433,-0.5391827695377026
ACH-000435,-0.8181329438053209
ACH-000436,-0.6806054830464668
ACH-000444,-0.4547449154809334
ACH-000445,-0.3726475702615957
ACH-000448,-0.4504018954953951
ACH-000450,-0.5838853162313752
ACH-000452,-0.4782053187928885
ACH-000454,-0.4757578417785325
ACH-000458,-0.7171032697672758
ACH-000459,-0.4710673917604418
ACH-000460,-0.6580718028031809
ACH-000461,-0.4852328362946222
ACH-000463,-0.5460010022764562
ACH-000464,-0.4959757775184362
ACH-000466,-0.6016698321932158
ACH-000467,-0.7992476320955707
ACH-000468,-0.34689179019252464
ACH-000469,-0.5648123826304243
ACH-000470,-0.5260395308178388
ACH-000471,-0.5567789370605025
ACH-000472,-0.5233836654962828
ACH-000473,-0.39576625162815865
ACH-000475,-0.6915046254899729
ACH-000476,-0.6983242406123116
ACH-000477,-0.8288827050381573
ACH-000479,-0.6354171226548228
ACH-000480,-0.519284584624435
ACH-000481,-0.7073725913172745
ACH-000483,-0.3897353002078565
ACH-000484,-0.6234697483580824
ACH-000485,-0.7123412153167611
ACH-000486,-0.7584235567637815
ACH-000487,-0.7082988102899317
ACH-000488,-0.565353557908957
ACH-000490,-0.5755845947481889
ACH-000491,-0.6792631612389106
ACH-000495,-0.5174694124333511
ACH-000496,-0.373244463277121
ACH-000499,-0.4092323519310742
ACH-000500,-0.3434994282575057
ACH-000502,-0.660138104100037
ACH-000503,-0.5273879385302883
ACH-000505,-0.44967859068580973
ACH-000507,-0.6977266486289609
ACH-000510,-0.4527704764726662
ACH-000511,-0.5546809786930751
