,AZIN1 (51582)
ACH-000004,-0.19561616093822295
ACH-000005,-0.2326641505605713
ACH-000007,-0.2799762055430868
ACH-000009,-0.07727681719842343
ACH-000011,-0.1986317922377312
ACH-000012,-0.3267839131694347
ACH-000013,-0.09596571093056737
ACH-000014,-0.19547033457883015
ACH-000015,-0.0702707981623832
ACH-000017,-0.6518650839430731
ACH-000018,-0.32010308202830673
ACH-000019,-0.2932156373712073
ACH-000021,-0.1213476348030261
ACH-000022,-0.1679318992194242
ACH-000025,-0.22696060090727144
ACH-000028,-0.26434375142753314
ACH-000030,-0.2811240778521918
ACH-000035,-0.1810044874159685
ACH-000036,-0.19123476774646864
ACH-000037,-0.2165017699932872
ACH-000039,0.0006214560097836574
ACH-000040,-0.11938774188028416
ACH-000041,-0.32455060332798513
ACH-000042,-0.09629731619714016
ACH-000045,-0.37621286182166935
ACH-000047,0.003310719612293825
ACH-000052,-0.009732617093422937
ACH-000053,-0.38861482266876507
ACH-000054,-0.391789391448766
ACH-000055,-0.09107546405609597
ACH-000060,-0.18304837480345015
ACH-000067,-0.2783875147703856
ACH-000070,-0.3527002786426797
ACH-000075,-0.31339317798256083
ACH-000078,-0.18914698889713671
ACH-000082,-0.05331383671461347
ACH-000085,-0.13092835667254205
ACH-000086,-0.14972173452211035
ACH-000087,-0.14301213172340413
ACH-000092,-0.3012335735968431
ACH-000095,-0.2040502431916818
ACH-000097,-0.4007027094170755
ACH-000098,-0.17495683997430148
ACH-000099,-0.24496210805770474
ACH-000108,-0.2550403293527238
ACH-000113,-0.2628330812612313
ACH-000116,-0.17532545067002647
ACH-000118,-0.20849048044365556
ACH-000120,-0.011806116727772408
ACH-000123,-0.114869817575596
ACH-000127,-0.17442233935309231
ACH-000128,-0.17537989573820725
ACH-000132,-0.3080682658423028
ACH-000133,-0.10502165242879408
ACH-000137,-0.1536423304610621
ACH-000138,-0.0687186177161915
ACH-000142,-0.3003191321638172
ACH-000143,-0.1260106083533547
ACH-000146,-0.30847927208687725
ACH-000148,-0.11042686691690784
ACH-000150,-0.048936842185425454
ACH-000152,-0.1587700311059983
ACH-000153,-0.3497602968662654
ACH-000159,-0.2361894008221289
ACH-000160,-0.21603865514819906
ACH-000163,-0.19059172314402484
ACH-000167,-0.2753093446143713
ACH-000168,-0.3283471483151925
ACH-000169,-0.04947787784173045
ACH-000178,-0.2360731789383192
ACH-000183,-0.6111829406926831
ACH-000188,-0.1072444070178358
ACH-000189,-0.2269865517372341
ACH-000190,-0.21913904256474434
ACH-000198,0.15884732697125814
ACH-000203,-0.12968880971499372
ACH-000204,-0.3521594085740025
ACH-000206,-0.008926222159571028
ACH-000207,-0.2470823000595453
ACH-000208,-0.17245590850460454
ACH-000210,-0.4935969687862073
ACH-000211,-0.12884125137689714
ACH-000215,-0.07755050508973423
ACH-000221,-0.11286487769230524
ACH-000222,-0.3233306462647749
ACH-000223,-0.18082681257502167
ACH-000226,-0.2757316846146913
ACH-000227,-0.16860537795209607
ACH-000228,-0.1335418883887559
ACH-000231,-0.1877970258039316
ACH-000232,0.004717076423180823
ACH-000233,-0.18121627919346853
ACH-000234,-0.38500274748348895
ACH-000235,-0.207152397449764
ACH-000237,-0.12214799469664027
ACH-000238,-0.05549850208018054
ACH-000242,-0.28785199454612354
ACH-000243,-0.15237062511257918
ACH-000244,-0.27613331168738536
ACH-000246,-0.13073688836157182
ACH-000248,-0.1998991652465536
ACH-000250,-0.1528027639189955
ACH-000251,-0.05741861458657816
ACH-000252,-0.047455776137796835
ACH-000253,-0.2755205402159123
ACH-000255,-0.0019107667292763398
ACH-000256,-0.2802140788918153
ACH-000257,-0.08844777373295028
ACH-000258,-0.20346794334286264
ACH-000259,-0.18956785877717397
ACH-000260,-0.1598216629727202
ACH-000261,-0.18471734619248206
ACH-000262,-9.76753169787171e-05
ACH-000263,-0.2728365722153502
ACH-000264,-0.26065903118215344
ACH-000265,-0.08268132734331916
ACH-000266,-0.25129533579437163
ACH-000272,-0.2732442382481635
ACH-000274,-0.1509277894164597
ACH-000277,-0.8036421906869394
ACH-000278,-0.1697562940348109
ACH-000279,-0.2807477191050905
ACH-000280,-0.1725527715915368
ACH-000281,-0.2930760023825965
ACH-000288,-0.06527802814292286
ACH-000291,-0.1200581033965672
ACH-000293,-0.2377930018483839
ACH-000294,-0.16181131537788865
ACH-000295,-0.2377140527035657
ACH-000296,-0.0961448513013509
ACH-000302,-0.1701531256669453
ACH-000304,-0.14506269625144025
ACH-000307,-0.2775523436473678
ACH-000308,-0.3105595301976041
ACH-000310,-0.09577005756501857
ACH-000311,-0.18663186430253956
ACH-000312,-0.08780967500051892
ACH-000315,-0.7237646376232496
ACH-000316,-0.2471037815348844
ACH-000317,-0.12065575764883985
ACH-000318,-0.34946255615165744
ACH-000319,-0.1876185850204548
ACH-000320,-0.0735514660053872
ACH-000322,-0.3220474459131115
