,XPO1 (7514)
ACH-000004,-1.4219761942849594
ACH-000005,-0.9859901987550312
ACH-000007,-1.3980128289999092
ACH-000009,-1.0658270521252018
ACH-000011,-1.083653973043704
ACH-000012,-1.365203189186894
ACH-000013,-1.2039840137736808
ACH-000014,-1.180852869575372
ACH-000015,-1.113764433653048
ACH-000017,-1.1802717519292714
ACH-000018,-1.2482695475498191
ACH-000019,-1.137121761057761
ACH-000021,-1.2818130298804984
ACH-000022,-1.2333622046700616
ACH-000025,-1.2103149589764826
ACH-000028,-1.048963997527825
ACH-000030,-1.1793024655554336
ACH-000035,-1.0166673558605397
ACH-000036,-1.3948208364467527
ACH-000037,-1.3330224595772742
ACH-000039,-1.3841649028542111
ACH-000040,-1.095514201249958
ACH-000041,-1.198092691465496
ACH-000042,-1.3449335719631563
ACH-000045,-1.4614122380774452
ACH-000047,-1.1461585647995716
ACH-000052,-1.1367891610065015
ACH-000053,-1.4368369688954854
ACH-000054,-1.4364505632251712
ACH-000055,-1.6390212073837895
ACH-000060,-1.1287353408531808
ACH-000067,-1.275114963087885
ACH-000070,-1.213067315624396
ACH-000075,-1.0017098882134208
ACH-000078,-1.3770145995361185
ACH-000082,-1.1436013212134444
ACH-000085,-1.2635414221717158
ACH-000086,-1.2472640202701022
ACH-000087,-1.7605107395073858
ACH-000092,-1.3506465990857672
ACH-000095,-1.3726967392783571
ACH-000097,-1.1319861114719991
ACH-000098,-1.1826974432794648
ACH-000099,-1.454768885479392
ACH-000108,-1.1933996702150085
ACH-000113,-1.3941670941755326
ACH-000116,-1.1551243144382055
ACH-000118,-1.1597187162975011
ACH-000120,-1.1009465935608507
ACH-000123,-1.2238907942253925
ACH-000127,-1.2226235112046406
ACH-000128,-1.3373090637835487
ACH-000132,-1.0933722173445302
ACH-000133,-1.4056781423539666
ACH-000137,-1.3554944283017736
ACH-000138,-1.2924378085391492
ACH-000142,-1.234241950354408
ACH-000143,-1.3562452123146966
ACH-000146,-1.4531618932819
ACH-000148,-1.304447019537575
ACH-000150,-1.3236855395539031
ACH-000152,-1.0653477513229974
ACH-000153,-1.475324219022326
ACH-000159,-1.3388995981978558
ACH-000160,-1.447457172292781
ACH-000163,-1.3289193461186102
ACH-000167,-1.803009326295734
ACH-000168,-1.2773115197980098
ACH-000169,-1.1922740672245389
ACH-000178,-1.2426618824596498
ACH-000183,-1.3344402711294188
ACH-000188,-1.2035142458988508
ACH-000189,-1.1113579996754257
ACH-000190,-1.3671284475373466
ACH-000198,-1.362005647903929
ACH-000203,-1.60247749815254
ACH-000204,-1.2625923806522197
ACH-000206,-1.0872548295668587
ACH-000207,-1.2996851140189694
ACH-000208,-1.0805118035277241
ACH-000210,-1.4698367656348124
ACH-000211,-1.2478293050789613
ACH-000215,-1.2332967360353393
ACH-000221,-1.2523863773114263
ACH-000222,-1.3729934247458704
ACH-000223,-1.2728344662668811
ACH-000226,-1.0306974373323343
ACH-000227,-1.291944979693572
ACH-000228,-1.0830953069394995
ACH-000231,-1.3211773328133565
ACH-000232,-1.2103626238856535
ACH-000233,-1.39231907509634
ACH-000234,-1.2697205035427763
ACH-000235,-1.389158301747398
ACH-000237,-1.2578063188178492
ACH-000238,-1.6197103547793812
ACH-000242,-1.3031571823362598
ACH-000243,-1.2276487636953977
ACH-000244,-1.1218508190241094
ACH-000246,-1.33356679535502
ACH-000248,-1.1143039301457398
ACH-000250,-1.2283161937465643
ACH-000251,-1.0589968665490064
ACH-000252,-1.5009187716265593
ACH-000253,-1.2927161521103658
ACH-000255,-0.9120513723223691
ACH-000256,-1.2001083127759336
ACH-000257,-1.2601264396502034
ACH-000258,-1.4516718075401742
ACH-000259,-1.1074932065772791
ACH-000260,-1.1604826322308477
ACH-000261,-1.2162672713148537
ACH-000262,-1.1453101299412458
ACH-000263,-1.3751494443541945
ACH-000264,-1.0566044139537214
ACH-000265,-1.137221290431364
ACH-000266,-1.3719847327668544
ACH-000272,-1.3728404756009185
ACH-000274,-1.253989348129945
ACH-000277,-1.235090741987947
ACH-000278,-1.170077730993501
ACH-000279,-1.3364773089452129
ACH-000280,-1.3102739434563893
ACH-000281,-1.3429960346485532
ACH-000288,-1.2983451359168197
ACH-000291,-1.1729998971216526
ACH-000293,-1.0057371374437023
ACH-000294,-1.2415076691993632
ACH-000295,-1.2386185348820506
ACH-000296,-0.981677737135612
ACH-000302,-1.2570971933164825
ACH-000304,-1.286548193196876
ACH-000307,-1.2049223653840029
ACH-000308,-1.516431142168022
ACH-000310,-1.2170384016842686
ACH-000311,-1.208178346464116
ACH-000312,-1.1917825272139169
ACH-000315,-1.1575845976720969
ACH-000316,-1.0390529065069574
ACH-000317,-1.1391639517733236
ACH-000318,-1.1700281315465266
ACH-000319,-1.2176357720307531
ACH-000320,-1.1458582922459175
ACH-000322,-1.2064628607252499
ACH-000323,-1.3626228664759064
ACH-000324,-1.3798886941825876
ACH-000329,-1.208864342683135
ACH-000330,-1.3171000281443623
ACH-000331,-1.1107600942005496
ACH-000332,-1.2201070545279804
ACH-000334,-1.3555905974288494
ACH-000335,-1.0040792404117165
ACH-000336,-1.699362246335942
ACH-000337,-1.3946092844018572
ACH-000338,-0.9888908730849392
ACH-000339,-1.2469325203505088
ACH-000341,-1.186773335732562
ACH-000348,-1.1645448219700725
ACH-000350,-1.147214805323261
ACH-000352,-1.2126715706382456
ACH-000356,-1.1241198191095874
ACH-000361,-1.005358481744563
ACH-000362,-1.4685811052190223
ACH-000363,-1.242513004009555
ACH-000364,-1.1906365242591408
ACH-000365,-1.2615036695903885
ACH-000366,-1.128524113044184
ACH-000368,-1.3174242826246017
ACH-000374,-1.4116141994182196
ACH-000375,-1.0538509293532947
ACH-000376,-1.2607392627621623
ACH-000381,-1.3033286381707163
ACH-000383,-1.1878241008169883
ACH-000387,-1.5811588259382665
ACH-000389,-1.1892796811022717
ACH-000390,-1.2565235753139812
ACH-000393,-1.306257754570205
ACH-000395,-1.4951259369307026
ACH-000396,-1.2386438966283972
ACH-000397,-1.247767308970941
ACH-000401,-1.4123775886863326
ACH-000402,-1.1460508756058458
ACH-000403,-1.4619737252118508
ACH-000404,-1.0825731737648807
ACH-000406,-1.4025836765816382
ACH-000407,-1.1626771363174098
ACH-000408,-1.31779638558865
ACH-000410,-1.0299882363742259
ACH-000411,-1.2488649434426091
ACH-000414,-1.2419557824551637
ACH-000415,-1.2572244138555446
ACH-000416,-1.1613695117961151
ACH-000420,-1.1219870915208183
ACH-000421,-1.0756589732265671
ACH-000424,-1.1840740417682374
ACH-000425,-1.168149784095174
ACH-000426,-1.4839805414604468
ACH-000427,-1.323028994405128
ACH-000433,-1.388398502361817
ACH-000435,-1.3280217085071035
ACH-000436,-1.0992605487190559
ACH-000444,-1.3042009114069808
ACH-000445,-1.4244224047989742
ACH-000448,-1.2617175266551441
ACH-000450,-1.1367538549046703
ACH-000452,-1.3488760649466185
ACH-000454,-1.2168984244539132
ACH-000458,-1.2742824984821814
ACH-000459,-1.4597106713523134
ACH-000460,-1.2733481350238955
ACH-000461,-1.1992350873782371
ACH-000463,-1.0481693976644533
ACH-000464,-1.379958428006974
ACH-000466,-1.4053106047345556
ACH-000467,-1.3235317036076732
ACH-000468,-1.5218738686148312
ACH-000469,-1.1813499873253526
ACH-000470,-1.4694687736439742
ACH-000471,-1.1836264826116552
ACH-000472,-1.1628776524010018
ACH-000473,-1.1990765416149582
ACH-000475,-1.4040701208664086
ACH-000476,-1.2414148914223966
ACH-000477,-1.1489503230998166
ACH-000479,-1.1419142179055035
ACH-000480,-1.1449627292336837
ACH-000481,-1.3185059654114428
ACH-000483,-1.3296021164481358
ACH-000484,-1.4266071308105952
ACH-000485,-1.2141266225707237
ACH-000486,-1.3248118664869182
ACH-000487,-1.3416664605976076
ACH-000488,-1.327952303322188
ACH-000490,-1.1471167817254124
ACH-000491,-1.256822432828839
ACH-000495,-1.26029393375717
ACH-000496,-1.3222951630932214
ACH-000499,-1.2008470805453957
ACH-000500,-1.424417312213127
ACH-000502,-1.267766252482821
ACH-000503,-1.3458050511643027
ACH-000505,-1.1915434145815154
ACH-000507,-1.108016380231896
ACH-000510,-1.153817396317609
ACH-000511,-1.1519295064102992
ACH-000512,-1.1990378309334144
ACH-000516,-1.4341664102416756
ACH-000517,-1.2996205762992277
ACH-000518,-1.3909382258332883
ACH-000520,-1.2720670375938723
ACH-000521,-1.0874014708737918
ACH-000522,-1.3916270518154672
ACH-000524,-1.1668076029282457
ACH-000527,-1.2150647161645662
ACH-000528,-1.114566855776966
ACH-000537,-1.3111649522886597
ACH-000541,-1.5579789943999898
ACH-000542,-1.261307473664263
ACH-000544,-1.2756950580317543
ACH-000545,-1.2570435351315608
ACH-000547,-1.3666912860266327
ACH-000548,-1.0494163141215689
ACH-000549,-1.288767347799195
ACH-000550,-1.2485329480419762
ACH-000552,-1.239525030712339
ACH-000556,-1.1313484817133912
ACH-000557,-1.3617134241547142
ACH-000569,-1.0471723685725418
ACH-000570,-1.0811494929064966
ACH-000571,-1.3392731876837638
ACH-000573,-1.3353284792716995
ACH-000576,-1.334238258680437
ACH-000579,-1.473690902813403
ACH-000580,-1.4664635307344456
ACH-000584,-1.289490371347286
ACH-000585,-1.4980476369801008
ACH-000588,-1.3523927964866862
ACH-000589,-1.320336761885217
ACH-000591,-1.3543654110549397
ACH-000593,-1.2743229387692636
ACH-000600,-1.2413870619530758
ACH-000601,-1.2500502601851986
ACH-000605,-1.2808562646743384
ACH-000606,-1.1037011490280328
ACH-000608,-1.2097578617964535
ACH-000614,-1.4883875244557536
ACH-000616,-1.163584252256514
ACH-000618,-1.4005222876944476
ACH-000619,-1.247650407785963
ACH-000620,-1.3409880441085231
ACH-000621,-1.2028548465025142
ACH-000622,-1.0090109761659485
ACH-000623,-1.2594948174587033
ACH-000624,-1.2631293037947726
ACH-000627,-1.254170892997637
ACH-000630,-1.2521934518952662
ACH-000631,-1.476134822552699
ACH-000632,-1.3535956897354977
ACH-000633,-1.3288680422166137
ACH-000637,-1.0723122338084732
ACH-000638,-1.171678950250102
ACH-000646,-1.1638708344704405
ACH-000647,-1.2230696994304318
ACH-000648,-1.3097490448935682
ACH-000649,-1.1801120680527886
ACH-000651,-1.170796705289405
ACH-000652,-1.470241469331186
ACH-000653,-1.3525325605135743
ACH-000657,-1.27206977060575
ACH-000658,-1.3630896274471531
ACH-000661,-1.245257490409053
ACH-000662,-1.4408042586532628
ACH-000663,-0.9468142784019116
ACH-000665,-1.1567536290350633
ACH-000671,-1.120541393907447
ACH-000672,-1.3197621727422801
ACH-000673,-1.3053291359607393
ACH-000676,-1.2784878187802158
ACH-000677,-1.1897700397573292
ACH-000681,-1.1977697949253079
ACH-000683,-1.0699068085147605
ACH-000684,-1.4210032102718406
ACH-000688,-1.4713323882096911
ACH-000693,-1.153866326003343
ACH-000694,-1.3229387862244706
ACH-000695,-1.14518283325097
ACH-000696,-1.321930000003467
ACH-000697,-1.142095071109953
ACH-000699,-1.3109999341947651
ACH-000701,-1.2472553820820111
ACH-000706,-1.0590432388537847
ACH-000711,-1.2857501002197531
ACH-000713,-1.2534494849783182
ACH-000714,-1.4352318394172157
ACH-000718,-1.4356692115045675
ACH-000720,-1.2163647323114777
ACH-000721,-1.337450484313298
ACH-000724,-1.1578483150740249
ACH-000725,-1.347881406477588
ACH-000732,-1.309799839257947
ACH-000734,-1.3279802535246452
ACH-000735,-1.305342046262174
ACH-000736,-1.2897662984735554
ACH-000738,-1.205529839845498
ACH-000746,-1.3475135956701203
ACH-000747,-1.2107068666480971
ACH-000748,-1.1014459622886028
ACH-000753,-1.474735009790181
ACH-000756,-1.4412261697214117
ACH-000757,-1.1159613713175325
ACH-000758,-1.3497862321109255
ACH-000760,-1.3374295754979022
ACH-000762,-1.1917838942458698
ACH-000763,-1.5061716348669092
ACH-000764,-1.1633381449547346
ACH-000765,-1.2505728396357711
ACH-000766,-1.4281489175743023
ACH-000767,-1.3020298423871297
ACH-000768,-1.2449244880172978
ACH-000769,-1.279293728086853
ACH-000770,-1.26788991138462
ACH-000771,-1.1955450554954967
ACH-000773,-1.2829119313120954
ACH-000776,-1.3001151069564774
ACH-000777,-1.2625519029878272
ACH-000778,-1.4476591906045762
ACH-000781,-1.2717955521308553
