,C1D (10438)
ACH-000004,-0.4076407209202201
ACH-000005,-0.3795379439095404
ACH-000007,-0.5295648552262434
ACH-000009,-0.2302862345482336
ACH-000011,-0.5531992095402857
ACH-000012,-0.7289338204854654
ACH-000013,-0.2979107010335333
ACH-000014,-0.3465457721626739
ACH-000015,-0.2689251531350293
ACH-000017,-0.25907179756562176
ACH-000018,-0.6322000917970141
ACH-000019,-0.4163645334319065
ACH-000021,-0.532703958945293
ACH-000022,-0.2300168655515813
ACH-000025,-0.6104407420851866
ACH-000028,-0.5076776272626786
ACH-000030,-0.5137077042742624
ACH-000035,-0.35415239898293605
ACH-000036,-0.6820203845788705
ACH-000037,-0.5001619865215671
ACH-000039,-0.5892854153025512
ACH-000040,-0.5566642998117687
ACH-000041,-0.3070165623370241
ACH-000042,-0.19812611904094413
ACH-000045,-0.13912265869380616
ACH-000047,-0.6707457336682937
ACH-000052,-0.6135457789749771
ACH-000053,-0.3815096709750818
ACH-000054,-0.4409148173192993
ACH-000055,0.037511204904568614
ACH-000060,-0.46056220270348
ACH-000067,-0.7185639105330328
ACH-000070,-0.2921337551812591
ACH-000075,-0.4776995777196203
ACH-000078,-0.5495194306750449
ACH-000082,-0.2667926413634933
ACH-000085,-0.4714216898544215
ACH-000086,-0.4542579164031752
ACH-000087,-0.7148303256863986
ACH-000092,-0.5687163124247071
ACH-000095,-0.3225083580935944
ACH-000097,-0.6970573082305137
ACH-000098,-0.3767624786363344
ACH-000099,-0.7107463287495637
ACH-000108,-0.34808261104121563
ACH-000113,-0.0839106585729395
ACH-000116,-0.6230167948372388
ACH-000118,-0.3074720780460677
ACH-000120,-0.4564793014149331
ACH-000123,-0.3128434308321103
ACH-000127,-0.5931689444977765
ACH-000128,-0.2644933958936649
ACH-000132,-0.3927398249696355
ACH-000133,-0.4370109042728952
ACH-000137,-0.36160125510485785
ACH-000138,-0.4250215930921557
ACH-000142,-0.5835439718177381
ACH-000143,-0.3733335459381456
ACH-000146,-0.2694858463586107
ACH-000148,-0.4394939673592078
ACH-000150,-0.5119227712714878
ACH-000152,-0.5367515132791374
ACH-000153,-0.4753309396225016
ACH-000159,-0.2396309237472671
ACH-000160,-0.690607578773354
ACH-000163,-0.5722676379522778
ACH-000167,-0.674659279275268
ACH-000168,-0.2088809538394168
ACH-000169,-0.4610067047758794
ACH-000178,-0.386791864714204
ACH-000183,-0.18702677947649587
ACH-000188,-0.6236397963376714
ACH-000189,-0.5649294557738976
ACH-000190,-0.3473570423360386
ACH-000198,-0.3829863971198261
ACH-000203,-0.5904345801234532
ACH-000204,-0.3662841974351436
ACH-000206,-0.23558094055134576
ACH-000207,-0.4466796174048965
ACH-000208,-0.6504613086113529
ACH-000210,-0.3358118700267205
ACH-000211,-0.427939537645901
ACH-000215,-0.6506211580116547
ACH-000221,-0.15948159272497234
ACH-000222,-0.3140699342168506
ACH-000223,-0.4414867537108893
ACH-000226,-0.5641418987842011
ACH-000227,-0.572395523291405
ACH-000228,-0.4011228079910241
ACH-000231,-0.6849933219229406
ACH-000232,-0.2749943824952881
ACH-000233,-0.4499150797421231
ACH-000234,-0.2097466005518108
ACH-000235,-0.23630661271295045
ACH-000237,-0.5123766152865251
ACH-000238,-0.6428320354681493
ACH-000242,-0.5617413227004141
ACH-000243,-0.5628156528324166
ACH-000244,-0.20418197272171792
ACH-000246,-0.5491970834163713
ACH-000248,-0.3788620923193943
ACH-000250,-0.4976521712301163
ACH-000251,-0.4977891748583888
ACH-000252,-0.5543039391534298
ACH-000253,-0.292150414520654
ACH-000255,-0.3704620651440529
ACH-000256,-0.3383725518978379
ACH-000257,-0.3878271429225113
ACH-000258,-0.3563226945335124
ACH-000259,-0.33301937225775297
ACH-000260,-0.8636081645993874
ACH-000261,-0.24038407845653015
ACH-000262,-0.4521070317692519
ACH-000263,-0.5003858269378062
ACH-000264,-0.4897079761288176
ACH-000265,-0.39097701760402204
ACH-000266,-0.3191485324337212
ACH-000272,-0.6638115059742847
ACH-000274,-0.39266435428362384
ACH-000277,-0.2557683681474992
ACH-000278,-0.522805821893776
ACH-000279,-0.4228570659487909
ACH-000280,-0.3680960474279666
ACH-000281,-0.36036933083327183
ACH-000288,-0.5698297642341104
ACH-000291,-0.6121899582779813
ACH-000293,-0.5618982846147393
ACH-000294,-0.3504770224460623
ACH-000295,-0.1516351885196979
ACH-000296,-0.539692288538603
ACH-000302,-0.6370738668630473
ACH-000304,-0.7405591734407295
ACH-000307,-0.32994717625154896
ACH-000308,-0.3205341770038421
ACH-000310,-0.4532884285067441
ACH-000311,-0.490394429063577
ACH-000312,-0.4003447476191844
ACH-000315,-0.2592893158845518
ACH-000316,-0.3388980798729268
ACH-000317,-0.3680978932908675
ACH-000318,-0.3684018265766952
ACH-000319,-0.6039752664357854
ACH-000320,-0.30466570060254017
ACH-000322,-0.6365484163330143
ACH-000323,-0.7643488127523109
ACH-000324,-0.33331760405178834
ACH-000329,-0.19757233104738986
