,PPP1R14C (81706)
ACH-000411,-0.298761056986882
ACH-000414,-0.21924921710730666
ACH-000415,-0.11000252038413573
ACH-000416,-0.07733297696807377
ACH-000420,-0.13864048191200296
ACH-000421,-0.008590413689792064
ACH-000424,-0.1437332419341827
ACH-000425,-0.10112718921424813
ACH-000426,0.07800683522401165
ACH-000427,-0.22424979397223785
ACH-000433,0.038137476288585936
ACH-000435,-0.11094317518184092
ACH-000436,-0.11270053052486198
ACH-000444,-0.05512522951291343
ACH-000445,-0.14243844242374235
ACH-000448,-0.06431308297317669
ACH-000450,-0.16854064271378902
ACH-000452,-0.1024847660227469
ACH-000454,0.00026485669847772623
ACH-000458,-0.03791798883621639
ACH-000459,0.02392895608409237
ACH-000460,-0.13451801557648746
ACH-000461,-0.06210292287669132
ACH-000463,-0.14629954623134508
ACH-000464,-0.20728026671312694
ACH-000466,-0.14359544062384333
ACH-000467,0.011747256681189084
ACH-000468,-0.10039413903622382
ACH-000469,-0.1242418872126844
ACH-000470,-0.20894757893184804
ACH-000471,-0.15832915006357426
ACH-000472,-0.14981356371444954
ACH-000473,0.106593085196778
ACH-000475,-0.11319363384722285
ACH-000476,-0.12669170774362193
ACH-000477,-0.07608880432781645
ACH-000479,-0.11817257628257202
ACH-000480,-0.17474672079392164
ACH-000481,-0.1228790250888155
ACH-000483,-0.2837913773815824
ACH-000484,-0.24901276118946494
ACH-000485,-0.2634445921112732
ACH-000486,-0.19014508669926367
ACH-000487,-0.17293844056376928
ACH-000488,-0.040382363562313964
ACH-000490,-0.061205968282856724
ACH-000491,-0.16844360970293148
ACH-000495,-0.03610990072334292
ACH-000496,-0.0997472301408544
ACH-000499,-0.2181916935701821
ACH-000500,0.17243868926620512
ACH-000502,-0.09440668071853968
ACH-000503,0.19192181220560292
ACH-000505,-0.1612807822608868
ACH-000507,-0.062313034495454375
ACH-000510,-0.0998355015956454
ACH-000511,-0.1759832957504549
ACH-000512,0.170965614810643
ACH-000516,-0.05363402642061313
ACH-000517,-0.18013210946383212
ACH-000518,-0.12983840899912494
ACH-000520,0.014901916869714104
ACH-000521,-0.0961736995460752
ACH-000522,-0.17076456857665967
ACH-000524,-0.10636169555557894
ACH-000527,-0.237418439612422
ACH-000528,-0.1427609493535703
ACH-000537,-0.09705530517026333
ACH-000541,-0.2584802243411804
ACH-000542,-0.09610426441183473
ACH-000544,-0.27282372017186485
ACH-000545,-0.1053963186756482
ACH-000547,-0.01914331934821647
ACH-000548,-0.10242266916218698
ACH-000549,0.12670840269948008
ACH-000550,-0.14259495120202342
ACH-000552,-0.07100126515519367
ACH-000556,-0.1710386509341969
ACH-000557,-0.08241346414290728
ACH-000569,-0.04833878019939531
ACH-000570,-0.12312289612603293
ACH-000571,-0.15515176541908296
ACH-000573,-0.2692991521143707
ACH-000576,-0.12918912100373794
ACH-000579,-0.03077778562173857
ACH-000580,-0.1697927570197596
ACH-000584,-0.10521865772237804
ACH-000585,-0.15911037409684814
ACH-000588,-0.08634351439392121
ACH-000589,0.01566120487147601
ACH-000591,0.029797971139818913
ACH-000593,-0.11001190737924092
ACH-000600,0.002720312367369409
ACH-000601,-0.1910439224095894
ACH-000605,-0.199970913441686
ACH-000606,-0.1463679358992177
ACH-000608,-0.13473316040143962
ACH-000614,-0.14045698016924035
ACH-000616,-0.26072751610075945
ACH-000618,-0.029995693766156125
ACH-000619,-0.2870111519974571
ACH-000620,-0.09484016089151028
ACH-000621,-0.11760215964961968
ACH-000622,-0.2446909450648808
ACH-000623,-0.21059783332502385
ACH-000624,-0.1247681009672372
ACH-000627,-0.058589384267175124
ACH-000630,-0.09240073092090884
ACH-000631,-0.02414722387423333
ACH-000632,-0.15777206719411355
ACH-000633,-0.24684964675367305
ACH-000637,-0.12644542346903187
ACH-000638,-0.21098326469678574
ACH-000646,-0.2844066354790887
ACH-000647,-0.08713629462340802
ACH-000648,-0.11109348095550796
ACH-000649,-0.183286419654126
ACH-000651,-0.19158783032268314
ACH-000652,-0.07265267944193977
ACH-000653,-0.09802537553325566
ACH-000657,-0.15112836327930235
ACH-000658,-0.009794693222417451
ACH-000661,-0.1457312697938337
ACH-000662,-0.08235025403766685
ACH-000663,-0.058154368436678774
ACH-000665,-0.22635094174471454
ACH-000671,-0.2056858653257065
ACH-000672,-0.2365086688835005
ACH-000673,-0.17418384714709825
ACH-000676,-0.12994778385037006
ACH-000677,-0.17683480713422994
ACH-000681,-0.1539065633710344
ACH-000683,-0.1771379578750231
ACH-000684,-0.26081964802947144
ACH-000688,-0.2861940640165108
ACH-000693,-0.19487814920703825
ACH-000694,-0.17438596179388152
ACH-000695,-0.017514062046838974
ACH-000696,-0.1750590985949186
ACH-000697,-0.02925247904595647
ACH-000699,-0.16900414847726591
ACH-000701,-0.05987225727995335
ACH-000706,-0.08058988561621942
ACH-000711,-0.1315418833847897
ACH-000713,-0.029329843557829208
ACH-000714,-0.3219798538151412
ACH-000718,-0.13729708435130725
ACH-000720,-0.11264483041160532
ACH-000721,-0.06799597357086327
ACH-000724,-0.13082470682362402
ACH-000725,-0.12868298019122146
ACH-000732,-0.3194859488672252
ACH-000734,-0.13329870372044916
ACH-000735,-0.0831140635153226
ACH-000736,-0.16749387348614078
ACH-000738,-0.1813241746971815
ACH-000746,-0.04197041920807311
ACH-000747,-0.00267483882679895
ACH-000748,-0.17515619371866045
ACH-000753,-0.10488790892368227
ACH-000756,-0.3045703687412605
ACH-000757,-0.13144953577906288
ACH-000758,-0.2374162028189937
ACH-000760,-0.07604818344984687
ACH-000762,-0.20139652121722004
ACH-000763,-0.07043493346001882
ACH-000764,-0.13179782761904935
ACH-000765,-0.25955640404509145
ACH-000766,-0.1852189653226909
ACH-000767,0.0204519392146175
ACH-000768,-0.06760289944284166
ACH-000769,-0.1817510418740767
ACH-000770,-0.0566356114748823
ACH-000771,-0.1720415294787969
ACH-000773,-0.09054362166426294
ACH-000776,-0.24879026098113305
ACH-000777,-0.012959633449733962
ACH-000778,-0.14236783124606628
ACH-000781,-0.1131922190732512
ACH-000782,-0.07782638194479789
ACH-000783,-0.22176032917171312
ACH-000784,-0.05682073136504541
ACH-000785,-0.088919535658828
ACH-000787,-0.030295087006079708
ACH-000788,-0.13167414510163938
ACH-000791,-0.08006035924555324
ACH-000792,-0.23804527032639425
ACH-000794,-0.07434740917598984
ACH-000796,-0.24495915525122414
ACH-000798,-0.2538059551354871
ACH-000799,-0.22117200631949535
ACH-000800,0.12146793708960693
ACH-000802,-0.07626080795730676
ACH-000804,0.015984464085791617
ACH-000805,-0.14098434644537905
ACH-000809,-0.049039718831179406
ACH-000810,-0.16937375983625327
ACH-000811,-0.11094141847412373
ACH-000817,-0.2557764724117165
ACH-000819,-0.16426221057259055
ACH-000820,-0.33272467909106673
ACH-000821,0.008080088224232703
ACH-000822,-0.07841550510784473
ACH-000823,-0.07970303615269038
ACH-000824,-0.08572975302047373
ACH-000827,-0.2034505340203316
ACH-000829,-0.19732895792208105
ACH-000831,-0.22501741198525127
ACH-000832,0.0680172313889975
ACH-000833,0.05528516520205495
ACH-000834,-0.1904950002187125
ACH-000835,-0.10780080529874636
ACH-000836,-0.11670764987347006
ACH-000837,-0.17635296278136664
ACH-000838,-0.18198395679993465
ACH-000839,-0.1960590850645152
ACH-000840,0.005612884654169861
ACH-000841,-0.05055611191636115
ACH-000843,-0.1055968131265374
ACH-000846,-0.2437888160354193
ACH-000847,-0.06856542428085974
ACH-000848,-0.10380396349193684
ACH-000849,-0.34636468862398634
ACH-000851,-0.1923592002093694
ACH-000855,0.028760383915435856
ACH-000856,-0.06609140364307815
ACH-000858,-0.26481899261965325
ACH-000859,-0.012347612068729995
ACH-000861,-0.2404708167333817
ACH-000862,-0.16502407407576608
ACH-000865,-0.11590045335545199
ACH-000866,-0.10314722113018623
ACH-000867,-0.13362878768715636
ACH-000869,-0.0624434966094117
ACH-000872,-0.13345013719022394
ACH-000873,-0.2478985346830449
ACH-000876,-0.10708553707216974
ACH-000878,-0.05065718393445865
ACH-000880,-0.06904207426259781
ACH-000881,-0.1908839274241541
ACH-000882,-0.12948307154258626
ACH-000884,-0.2471279211123633
ACH-000885,-0.24906362686817696
ACH-000887,-0.12138800758759248
ACH-000889,-0.03781726378841351
ACH-000896,-0.07898036454240469
ACH-000898,-0.06942394539215575
ACH-000900,-0.4061442599149671
ACH-000901,-0.11462152011475744
ACH-000905,-0.14594404977616635
ACH-000906,-0.0989174900032321
ACH-000907,-0.05430726600721182
ACH-000910,-0.12131362647854173
ACH-000911,-0.10341217557887204
ACH-000912,-0.12398908471332062
ACH-000913,-0.14101154922851294
ACH-000915,-0.01828505154920417
ACH-000916,-0.27906950688881843
ACH-000917,-0.11663880334899895
ACH-000920,-0.12057490575320133
ACH-000921,-0.20367158947594066
ACH-000924,-0.15396932482321835
ACH-000926,-0.1122709951712772
ACH-000928,-0.11806615852763355
ACH-000929,-0.08059000200764324
ACH-000932,-0.10038121205024512
ACH-000935,-0.18645745622441667
ACH-000936,-0.053590337908150036
ACH-000937,0.016108788543163992
ACH-000938,0.06815329116743259
ACH-000939,-0.11990891780891387
ACH-000941,-0.13145553836476884
ACH-000943,-0.08485623538649002
ACH-000946,-0.3720707858724478
ACH-000947,-0.13508462897238024
ACH-000948,-0.08731146994145357
ACH-000950,-0.19613670617233653
ACH-000953,-0.021476973811659986
ACH-000954,-0.2739546816223013
ACH-000957,-0.010499310620938436
ACH-000958,-0.131260999653232
ACH-000960,-0.181460696769756
ACH-000963,-0.4613203352189745
ACH-000968,-0.2776945435457328
ACH-000969,-0.13752785064590026
ACH-000972,-0.09044370885011392
ACH-000973,-0.1986254105759089
ACH-000974,-0.10893566091126522
ACH-000978,0.024206849587431203
ACH-000984,-0.21482917745862132
ACH-000986,-0.15311713286443546
ACH-000988,-0.17568997635202752
ACH-000993,-0.14842063407094624
ACH-000994,-0.022982230251189315
ACH-000996,-0.1875625318168785
ACH-001001,-0.14336204062565128
ACH-001020,-0.32414803035252043
ACH-001028,-0.1875975164972714
ACH-001031,-0.18118970710181895
ACH-001038,-0.19903709151959975
ACH-001048,-0.251616441611633
ACH-001050,-0.19289909184816573
ACH-001053,-0.10343747512196552
ACH-001054,-0.08816719151677377
ACH-001061,-0.055658838399018966
ACH-001067,-0.2270199643146095
ACH-001075,-0.2320140750513981
ACH-001096,-0.04945567088637733
ACH-001111,0.0060341958235414425
ACH-001119,-0.2689517940539411
ACH-001128,-0.4712595161791038
ACH-001134,-0.11603557415176778
ACH-001151,-0.13806445050000365
ACH-001163,-0.014523974678147013
ACH-001164,-0.18297028213213115
ACH-001183,-0.14994119742396236
ACH-001192,-0.19117964840874047
ACH-001193,-0.02464728532821096
ACH-001196,-0.12202503125669695
