,LIN37 (55957)
ACH-000004,-0.12618546761825575
ACH-000005,-0.6821038032631451
ACH-000007,-0.4478930919793075
ACH-000009,-0.3454321818793909
ACH-000011,-0.1757651333180712
ACH-000012,-0.14014501767442175
ACH-000013,-0.3493093379638046
ACH-000014,-0.18744064184010445
ACH-000015,-0.3526567999660544
ACH-000017,-0.14931340505065802
ACH-000018,-0.4068634983432545
ACH-000019,-0.25629809249808483
ACH-000021,-0.33539795042316217
ACH-000022,-0.2610405199519205
ACH-000025,-0.23386729377960186
ACH-000028,-0.30494745748195673
ACH-000030,-0.2881483930207305
ACH-000035,-0.456682041528423
ACH-000036,-0.320714385635104
ACH-000037,-0.3619016586852172
ACH-000039,-0.15593964438175306
ACH-000040,-0.14338391004093295
ACH-000041,-0.3168447035628676
ACH-000042,-0.2201351865058324
ACH-000045,-0.26056546591580343
ACH-000047,-0.2303124117273921
ACH-000052,-0.3664520020691949
ACH-000053,-0.15456281226307586
ACH-000054,-0.2419450644470183
ACH-000055,-0.18870710262396825
ACH-000060,-0.2280976551108906
ACH-000067,-0.4138924048418287
ACH-000070,-0.10880856513200098
ACH-000075,-0.18849674391476945
ACH-000078,-0.14860909758656018
ACH-000082,-0.33734806017869023
ACH-000085,-0.38935133253902976
ACH-000086,-0.22401362945588546
ACH-000087,-0.27357837829897275
ACH-000092,-0.4022133328222854
ACH-000095,-0.2860661052458902
ACH-000097,-0.474602537869991
ACH-000098,-0.35667319957041904
ACH-000099,-0.4048372315550254
ACH-000108,-0.1937690576614768
ACH-000113,-0.18919013608938096
ACH-000116,-0.2903875800723993
ACH-000118,-0.13715163738237976
ACH-000120,-0.26018334036119856
ACH-000123,-0.30418140608147626
ACH-000127,-0.39295910817294394
ACH-000128,-0.14982482131425912
ACH-000132,-0.020609886107024567
ACH-000133,-0.10059567584347323
ACH-000137,-0.1665297460086319
ACH-000138,-0.17768539797062366
ACH-000142,-0.1349897091490317
ACH-000143,-0.03234915075126469
ACH-000146,-0.18313203898926486
