,SELENBP1 (8991)
ACH-000004,-0.09574497700044106
ACH-000005,0.10516903216227977
ACH-000007,-0.06967064737455987
ACH-000009,-0.24302160502261516
ACH-000011,-0.09710397402547424
ACH-000012,-0.26226723576395583
ACH-000013,-0.264121655494766
ACH-000014,-0.2595210689334284
ACH-000015,-0.14025641258491164
ACH-000017,-0.1172446053802156
ACH-000018,-0.2611892491615879
ACH-000019,-0.3071879850296901
ACH-000021,-0.2424177672175773
ACH-000022,-0.1565083658850374
ACH-000025,-0.13685804974525165
ACH-000028,-0.3153605034687147
ACH-000030,-0.15904608004021126
ACH-000035,-0.20084687961721995
ACH-000036,-0.09317060883148663
ACH-000037,-0.04532003223350757
ACH-000039,-0.2472695112856058
ACH-000040,-0.09514945053838206
ACH-000041,-0.09153413708371799
ACH-000042,-0.1230579819964272
ACH-000045,-0.2262452496785317
ACH-000047,-0.28914772602655664
ACH-000052,-0.2067031930105352
ACH-000053,-0.23313410366278
ACH-000054,-0.034301310537212235
ACH-000055,-0.13735052021010793
ACH-000060,-0.11809603553232315
ACH-000067,-0.2089440022377504
ACH-000070,-0.1906416527135076
ACH-000075,-0.2844467071056168
ACH-000078,-0.2090180542405899
ACH-000082,-0.08637223195598122
ACH-000085,-0.19086848551218505
ACH-000086,-0.423551861232209
ACH-000087,-0.10934189317884473
ACH-000092,-0.2481458707222949
ACH-000095,-0.2343153280080925
ACH-000097,-0.15501101868794068
ACH-000098,-0.2520561298062285
ACH-000099,-0.1410051097174041
ACH-000108,-0.2293528639999705
ACH-000113,-0.1361058328720378
ACH-000116,-0.14114100643363556
ACH-000118,-0.18317712160976848
ACH-000120,-0.2421600061398235
ACH-000123,-0.22266502774683444
ACH-000127,-0.17103870744907207
ACH-000128,-0.043860646493773886
ACH-000132,-0.19741979286224776
ACH-000133,-0.3115796621891458
ACH-000137,-0.1167955338772974
ACH-000138,-0.06584916589185844
ACH-000142,-0.3407032844088984
ACH-000143,-0.17219676919063553
ACH-000146,-0.11507950990306685
ACH-000148,-0.17986858413452828
ACH-000150,-0.23163686163219385
ACH-000152,-0.19059482592486446
ACH-000153,-0.3188828696515862
ACH-000159,-0.18027572990285134
ACH-000160,-0.054605421414260766
ACH-000163,-0.2170247845351929
ACH-000167,-0.15993878619445145
ACH-000168,-0.3477602130467576
ACH-000169,-0.1959150022391465
ACH-000178,-0.04836798019730891
ACH-000183,-0.2961977402103352
ACH-000188,-0.07194231385168058
ACH-000189,-0.2604073630437145
ACH-000190,-0.035713671746955104
ACH-000198,-0.18250959754718468
ACH-000203,-0.421025937849336
ACH-000204,0.08140325384640057
ACH-000206,0.002048865863087309
ACH-000207,-0.0004675704851338865
ACH-000208,-0.23284567510290066
ACH-000210,-0.10409836419566522
