,EXTL2 (2135)
ACH-000233,-0.08254472935824968
ACH-000234,-0.031405586795698895
ACH-000235,-0.19458044064560784
ACH-000237,-0.091797573484763
ACH-000238,-0.4335064639067837
ACH-000242,-0.043606894354265166
ACH-000243,-0.1777779342348221
ACH-000244,-0.20026843065424554
ACH-000246,-0.2846302643637452
ACH-000248,-0.2657390595742481
ACH-000250,-0.21591783394738767
ACH-000251,-0.16773960412171754
ACH-000252,-0.2332058513603383
ACH-000253,-0.17845772680750527
ACH-000255,-0.19979904319917968
ACH-000256,-0.2728215081746329
ACH-000257,-0.05522628155898653
ACH-000258,-0.045054191581930234
ACH-000259,-0.2710849029153817
ACH-000260,-0.12285134601052823
ACH-000261,-0.19113096595977772
ACH-000262,-0.2387904209545291
ACH-000263,-0.14044106088378436
ACH-000264,-0.25850328972779274
ACH-000265,-0.19847680785374214
ACH-000266,-0.17017193270132294
ACH-000272,-0.3071673019388336
ACH-000274,-0.11397520795560105
ACH-000277,-0.2343936800629014
ACH-000278,-0.2178947663218405
ACH-000279,-0.2838647101507421
ACH-000280,-0.17048231969140068
ACH-000281,-0.030315917505982132
ACH-000288,-0.34718546845544696
ACH-000291,-0.19700804147261605
ACH-000293,-0.1712199012586494
ACH-000294,-0.13569558277659546
ACH-000295,-0.16695043194456985
ACH-000296,-0.2839514610534617
ACH-000302,-0.2920093648908429
ACH-000304,-0.30814738734600605
ACH-000307,-0.10941331627870426
ACH-000308,-0.23032113872057625
ACH-000310,-0.3290589969133597
ACH-000311,-0.1687015028275891
ACH-000312,-0.1545331065292239
ACH-000315,-0.10783910468694703
ACH-000316,-0.18587930970730945
ACH-000317,-0.03111516011704072
ACH-000318,-0.2368626568451948
ACH-000319,-0.19819861351996373
ACH-000320,-0.22006256884542355
ACH-000322,-0.3714724528919019
ACH-000323,-0.44892754950781977
ACH-000324,-0.24884303690898146
ACH-000329,-0.1739859276474112
ACH-000330,-0.3713314290229488
ACH-000331,-0.2165398719489134
ACH-000332,-0.21556878323377365
ACH-000334,-0.0824632265204909
ACH-000335,-0.1882774077130545
ACH-000336,0.0684471539272698
ACH-000337,0.023597009176165862
ACH-000338,-0.4791017351788526
ACH-000339,-0.22201387150052235
ACH-000341,-0.1124324821466348
ACH-000348,-0.2858787095340495
ACH-000350,-0.08197762411088774
ACH-000352,-0.1695873519014815
ACH-000356,-0.23214059240044785
ACH-000361,-0.32185926642339097
ACH-000362,-0.027756143394522308
ACH-000363,-0.12391573800122466
ACH-000364,-0.08562113632559905
ACH-000365,-0.2436444223945708
ACH-000366,-0.13759574775056468
ACH-000368,-0.3631662482393346
ACH-000374,-0.16853137673761545
ACH-000375,-0.11849035837180245
ACH-000376,-0.2531078366982549
ACH-000381,-0.21539994488557232
ACH-000383,-0.3902850431040953
ACH-000387,-0.2351068048997737
ACH-000389,-0.2720146117735093
ACH-000390,-0.2435467331386489
ACH-000393,-0.2826095982582087
ACH-000395,-0.4688074263880769
ACH-000396,-0.4440834544409896
ACH-000397,-0.17780917457669054
ACH-000401,-0.1698153565912683
ACH-000402,-0.07072653816712869
ACH-000403,-0.16599520824330244
ACH-000404,0.1061248112093732
ACH-000406,-0.21278709874572432
ACH-000407,-0.22400552959812084
ACH-000408,-0.20738666338171236
ACH-000410,-0.30501642323064865
ACH-000411,-0.2502422256033643
ACH-000414,-0.08332935916712443
ACH-000415,-0.2767224916108668
ACH-000416,-0.21148222382268225
ACH-000420,-0.2546509874385822
ACH-000421,-0.176371010929643
ACH-000424,-0.14907322366104112
ACH-000425,-0.20210463256662414
ACH-000426,-0.06982922440607336
ACH-000427,-0.17141692008429898
ACH-000433,-0.4289977161332135
ACH-000435,-0.1285133428888834
ACH-000436,-0.10859599756760492
ACH-000444,-0.17097967270356176
ACH-000445,-0.4164391385949444
ACH-000448,-0.183050280112739
ACH-000450,-0.2803067845465057
ACH-000452,-0.15285601101698978
ACH-000454,-0.19169690723222366
ACH-000458,-0.2710263354274222
ACH-000459,-0.1648195493070477
ACH-000460,-0.22492433355976293
ACH-000461,-0.4600996853375009
ACH-000463,-0.267042310303828
ACH-000464,-0.3141720342039773
ACH-000466,-0.3013522439552109
ACH-000467,-0.28311745303274355
ACH-000468,-0.14698239605711744
ACH-000469,-0.3662853156108275
ACH-000470,-0.045931156575473586
ACH-000471,-0.2770780854884882
ACH-000472,-0.133715856583896
ACH-000473,-0.12261530388996708
ACH-000475,-0.2143801564357399
ACH-000476,-0.23217857114182214
ACH-000477,-0.03186276605662624
ACH-000479,-0.3121467040631873
ACH-000480,-0.3045722323248586
ACH-000481,-0.22426348770823185
ACH-000483,-0.3464737504885945
ACH-000484,-0.13842941989924673
ACH-000485,-0.13373719767374748
ACH-000486,-0.260297175551683
ACH-000487,-0.1898404993372615
ACH-000488,-0.2395855213623063
ACH-000490,-0.1607193997788707
ACH-000491,-0.21373162962890094
ACH-000495,-0.29571446639432003
ACH-000496,-0.20270323277064928
ACH-000499,-0.13722048559464053
ACH-000500,-0.6797763908796324
ACH-000502,-0.1887258297457884
ACH-000503,0.028474466244536437
ACH-000505,-0.16279065756321262
ACH-000507,0.011249004853775195
ACH-000510,-0.16620079703530674
ACH-000511,-0.20343860134500008
ACH-000512,-0.16303048431021908
ACH-000516,-0.0576977048027448
ACH-000517,-0.19107051411915085
ACH-000518,-0.0665377973089272
ACH-000520,-0.4748146089988229
ACH-000521,-0.3024179707546301
ACH-000522,-0.3225455788276733
ACH-000524,-0.15287284271654136
ACH-000527,-0.09219891052439604
ACH-000528,-0.11778728107492488
ACH-000537,-0.08372607951285974
ACH-000541,-0.1691656424671142
ACH-000542,-0.20851792612695727
ACH-000544,-0.2413674564228854
ACH-000545,-0.3059585208282823
ACH-000547,-0.021613302298076197
ACH-000548,-0.14035982962704807
ACH-000549,-0.057236508868199386
ACH-000550,-0.3402866555005929
ACH-000552,-0.2769043016840385
ACH-000556,-0.23742804561949346
ACH-000557,-0.16171758020723978
ACH-000569,-0.2984117112201137
ACH-000570,-0.20041619048170767
ACH-000571,-0.17087095105395034
ACH-000573,-0.15788313798187398
ACH-000576,-0.16598305974005478
ACH-000579,-0.17956813103823185
ACH-000580,-0.15980641917688754
ACH-000584,-0.13872734092808914
ACH-000585,-0.18228164572827213
ACH-000588,-0.2799342555283005
ACH-000589,-0.160649305435513
