,ESRRA (2101)
ACH-000004,-0.12357049442300527
ACH-000005,0.06129288068191266
ACH-000007,-0.4249859971938791
ACH-000009,-0.04279180562752025
ACH-000011,-0.3159578875146777
ACH-000012,-0.5693299093537084
ACH-000013,-0.14800004610086698
ACH-000014,-0.20506281130219625
ACH-000015,-0.3722976907760607
ACH-000017,-0.1537245121601408
ACH-000018,-0.18638563258955534
ACH-000019,0.01905032675221097
ACH-000021,-0.21425017736494711
ACH-000022,-0.18815461201346528
ACH-000025,-0.1395832965002296
ACH-000028,-0.1559590997494286
ACH-000030,-0.27784322689809315
ACH-000035,-0.2549466013607269
ACH-000036,-0.15646788099121084
ACH-000037,-0.3444318891587216
ACH-000039,-0.3430502402387344
ACH-000040,-0.14755785221784706
ACH-000041,-0.2920855059576381
ACH-000042,-0.3626339468947236
ACH-000045,-0.02315658300913401
ACH-000047,-0.4508407207903614
ACH-000052,-0.394917017844472
ACH-000053,-0.017490361105320346
ACH-000054,-0.12678440961194684
ACH-000055,-0.18568018584315765
ACH-000060,-0.4657329826045157
ACH-000067,-0.2741731316981003
ACH-000070,-0.2230250705047792
ACH-000075,-0.5455808395447193
ACH-000078,-0.21918014581489145
ACH-000082,-0.30659539343357084
ACH-000085,-0.30814705185047336
ACH-000086,-0.4591468446661686
ACH-000087,-0.416725524693378
ACH-000092,-0.3759294378657467
ACH-000095,-0.31452979468009473
ACH-000097,-0.12658522904669126
ACH-000098,-0.2669477498071162
ACH-000099,-0.15486639551631065
ACH-000108,-0.4662308444171784
ACH-000113,-0.4829599781973944
ACH-000116,-0.2834601078611046
ACH-000118,-0.4127784012149995
ACH-000120,-0.3637781798663011
ACH-000123,-0.2925379486930422
ACH-000127,-0.18878253615648796
ACH-000128,-0.039256428596804366
ACH-000132,-0.3361389569987053
ACH-000133,-0.1926126268008781
ACH-000137,-0.23417146001978356
ACH-000138,-0.3971165835633677
ACH-000142,-0.3434083357607212
ACH-000143,-0.2186075052564472
ACH-000146,-0.23781262024635685
ACH-000148,-0.2697799518662408
ACH-000150,-0.3520642087081258
ACH-000152,-0.2955610738763733
ACH-000153,-0.400593735259148
ACH-000159,-0.2548475818668775
ACH-000160,-0.20344892388694197
ACH-000163,-0.321384545088161
ACH-000167,0.17764932021414098
ACH-000168,-0.32422443872842394
ACH-000169,-0.3119527764940447
ACH-000178,-0.16736077994759951
ACH-000183,-0.34306873764132284
ACH-000188,-0.3752481606447802
ACH-000189,-0.4278162064776869
ACH-000190,-0.22966886851930834
ACH-000198,-0.23677364172758905
ACH-000203,-0.29960329740719377
ACH-000204,-0.19136895921882424
ACH-000206,-0.11357030231181725
ACH-000207,-0.19971031168477607
ACH-000208,-0.1279649382047376
ACH-000210,-0.22790189038711905
ACH-000211,-0.3557195288748796
ACH-000215,-0.3193868397628334
ACH-000221,-0.5015045322576962
ACH-000222,-0.4335450682961309
ACH-000223,-0.39360002625951
ACH-000226,-0.27478782370404997
ACH-000227,-0.3971334975334749
ACH-000228,-0.40782331091138985
ACH-000231,-0.33575057339255804
ACH-000232,-0.3004458883050569
ACH-000233,-0.22880322570152
ACH-000234,-0.2770146222375232
ACH-000235,-0.3954762662975299
ACH-000237,-0.2011899953570873
ACH-000238,-0.25457253850037426
ACH-000242,-0.3190395178158492
ACH-000243,-0.036391080824939255
ACH-000244,-0.3297415199263224
