,IQSEC1 (9922)
ACH-000004,0.0638304041102416
ACH-000005,0.06488750050404155
ACH-000007,0.09919096592734726
ACH-000009,-0.2216232250085077
ACH-000011,-0.08059218046211858
ACH-000012,0.08714022281806391
ACH-000013,0.0101137239624369
ACH-000014,-0.04254817558785815
ACH-000015,0.018277256523907028
ACH-000017,0.024908932159485125
ACH-000018,-0.08128768358925792
ACH-000019,-0.07250987975621398
ACH-000021,-0.0019546449006746167
ACH-000022,0.03376586696555954
ACH-000025,-0.04083095232139404
ACH-000028,-0.05264041874292227
ACH-000030,-0.048095463183671576
ACH-000035,0.004177548992165834
ACH-000036,0.023955556765620004
ACH-000037,-0.02036194244172741
ACH-000039,0.09645686265220543
ACH-000040,-0.07636258463530826
ACH-000041,0.0011906722334780516
ACH-000042,-0.12788631917999554
ACH-000045,0.1263509769067457
ACH-000047,-0.010643176379378387
ACH-000052,-0.012360561791940956
ACH-000053,0.05073605886629084
ACH-000054,-0.0562529401639063
ACH-000055,0.1917758687354008
ACH-000060,-0.15861059309473433
ACH-000067,-0.12692370055653784
ACH-000070,0.02093528526788266
ACH-000075,0.07329152517166887
ACH-000078,0.012647838707830338
ACH-000082,0.02365160680979813
ACH-000085,0.037680560485577066
ACH-000086,0.06951549573970983
ACH-000087,0.0942202881508417
ACH-000092,-0.08088458531122998
ACH-000095,-0.041114232836276535
ACH-000097,-0.04063655124764596
ACH-000098,0.004955837717790224
ACH-000099,0.0016817939923768385
ACH-000108,-0.0510492816685233
ACH-000113,0.0517755059584114
ACH-000116,-0.11858150425083773
ACH-000118,0.08526451267018166
ACH-000120,-0.11313781471804987
ACH-000123,-0.014507229130906296
ACH-000127,0.02479650179270057
ACH-000128,-0.005828768766059428
ACH-000132,-0.1318501491567897
ACH-000133,-0.06521102015605346
ACH-000137,-0.16561704606651675
ACH-000138,-0.09969076494803733
ACH-000142,-0.02725810556851643
ACH-000143,-0.4319197823960263
ACH-000146,0.14261814895066355
ACH-000148,-0.025759441598160453
ACH-000150,-0.032396488562235384
ACH-000152,0.006679478378629753
ACH-000153,0.11967819476428206
ACH-000159,0.005401161692045218
ACH-000160,-0.16341343061692215
ACH-000163,0.10301423811212723
ACH-000167,-0.17309554278908426
ACH-000168,0.012136362420891715
ACH-000169,-0.08583823845826055
ACH-000178,0.02846705339677713
ACH-000183,-0.1361043671897912
ACH-000188,-0.005290410385358055
ACH-000189,-0.07672347177489022
ACH-000190,-0.22114523714977852
ACH-000198,-0.06380768079497065
ACH-000203,0.36038292411534745
ACH-000204,-0.15078752826548358
ACH-000206,-0.21889384420498773
ACH-000207,0.0957319086480374
ACH-000208,0.022125928666794588
ACH-000210,-0.20972793513824664
ACH-000211,-0.055483089120185285
ACH-000215,-0.03479551978158555
ACH-000221,-0.08348780513606781
ACH-000222,0.06706071314277218
